CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;NOTE_RP;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002002;Faubourg D'Isle;2 427;11 723;53 856;Saint-Quentin;52,3;39,6;34,7;17,7;20,7;1,6;49,9;;7,7;;0;931;1 814;184;513;81;153;56;116;63;653;92;92;165;123;100;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002003;Neuville;1 511;11 723;53 856;Saint-Quentin;57,7;34,5;30,7;25,7;28,2;1,1;46,1;;2,1;2,2;0;635;1 293;169;300;54;112;40;49;;499;77;84;131;81;68;58;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002004;Vermandois;1 751;11 723;53 856;Saint-Quentin;53,0;39,1;35,6;16,7;20,8;2,0;42,0;;10,8;;0;699;1 436;146;368;59;126;58;46;;554;84;95;137;116;68;54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002005;Champ Roland Et Bords De L'Oise;1 314;2 272;8 800;Hirson;51,4;33,7;32,3;22,8;27,5;1,2;47,4;2,0;2,8;1,9;0;495;1 001;102;256;46;91;25;42;;370;50;55;89;77;58;41;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002006;Gare Et Verrière;958;2 272;8 800;Hirson;51,6;33,8;31,4;24,4;28,0;1,1;47,9;3,5;1,2;0,6;0;312;622;59;168;28;57;19;40;;226;40;24;58;45;32;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002007;Quartier De L'Artilleur;1 218;1 218;2 847;La Fère;55,2;41,3;40,1;16,0;19,2;2,1;37,1;3,7;4;3,9;0;450;970;112;211;42;85;36;49;12;401;55;58;109;84;46;49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002008;Roosevelt Rebequet;1 186;1 186;13 547;Tergnier;51,4;46,6;44,1;15,0;;2,5;49,0;;17;;0;406;863;83;220;30;73;32;40;;349;52;48;93;76;48;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002009;Quartier De La Résidence;1 852;1 852;11 773;Chauny;53,5;41,4;37,8;18,8;22,4;1,9;41,7;5,1;8,4;;0;762;1 510;202;415;43;102;40;44;;598;69;88;143;124;98;76;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002010;Montreuil;1 461;5 597;24 710;Laon;52,2;37,2;32,7;20,7;25,8;1,6;57,1;;13,5;;0;604;1 288;139;313;37;115;57;38;;535;73;74;136;102;81;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002011;Champagne Moulin - Roux;4 136;5 597;24 710;Laon;52,5;42,2;39,5;17,7;20,7;1,9;43,2;4,1;11,8;11,3;0;1 474;3 297;366;690;124;294;116;125;;1 404;229;239;345;243;167;181;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002012;Saint-Crépin Ouest;2 081;9 085;28 522;Soissons;56,1;25,3;23,5;29,9;36,1;;57,7;;;;0;859;1 466;144;551;74;90;27;23;;450;64;63;119;84;63;57;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
