CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038002;Champaret;940;3 085;27 163;Bourgoin-Jallieu;55,5;28,7;27,7;36,5;38,9;0,6;37,5;3,4;14,3;;271;662;76;104;18;73;28;24;;298;53;63;60;46;39;37;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038003;Essarts - Surieux;5 635;10 127;35 684;Échirolles;50,7;36,5;34,1;20,8;23,1;1,5;30,6;5,5;18,1;14,9;1 785;4 519;335;783;118;549;255;90;8;2 066;315;325;545;399;262;220;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038004;Village Sud;1 707;10 127;35 684;Échirolles;52,5;40,9;37,6;15,1;16,1;2,2;30,3;;15;14,6;601;1 481;138;245;41;177;69;22;;663;119;129;186;114;68;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038005;Alpes Mail Cachin;2 036;2 036;22 066;Fontaine;53,9;32,0;29,9;26,1;27,7;1,0;41,4;;15,7;18,4;570;1 347;87;269;36;178;66;22;;560;89;91;135;117;78;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038006;Mistral Lys Rouge Camine;2 893;23 333;160 215;Grenoble;49,9;42,7;40,0;17,4;19,1;2,1;25,4;;24,2;24,9;808;1 974;131;359;82;236;115;42;6;848;163;140;208;141;99;97;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038007;Villeneuve - Village Olympique;12 304;23 333;160 215;Grenoble;51,3;38,8;36,2;17,4;18,9;1,7;35,0;4,0;16,2;15,5;3 423;8 294;571;1 626;251;975;451;208;109;3 657;584;588;997;697;437;354;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038008;Teisseire Abbaye Jouhaux Châtelet;6 629;23 333;160 215;Grenoble;51,7;39,4;37,0;18,7;20,7;1,7;33,0;4,1;19,5;18,4;2 193;5 189;385;1 026;176;606;268;158;121;2 210;383;408;585;390;241;203;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038009;Alma - Très Cloîtres - Chenoise;1 507;23 333;160 215;Grenoble;48,3;37,3;46,0;21,6;16,9;1,1;61,1;;22,3;18,2;656;1 147;68;439;49;100;38;28;119;344;52;50;80;67;49;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038010;Iles De Mars Olympiades;1 834;1 834;11 133;Le Pont-de-Claix;51,8;41,4;38,5;13,1;14,2;2,6;26,5;5,7;15,5;14,7;572;1 569;129;201;42;200;99;26;;756;108;131;203;148;87;79;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038011;Renaudie - Champberton - La Plaine;2 473;2 473;38 019;Saint-Martin-d'Hères;49,3;41,1;40,4;;;;24,4;;31,2;30,3;614;1 519;125;243;52;194;74;37;24;667;118;95;190;128;75;61;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038012;Brunetière;1 226;1 226;19 988;Voiron;52,7;42,2;42,6;13,3;;2,6;34,2;6,8;16,9;14,3;339;800;64;142;32;101;37;22;;332;55;61;84;54;44;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038013;Champfleuri;2 145;3 085;27 163;Bourgoin-Jallieu;52,5;44,4;42,4;;;;30,8;10,1;32;31,4;619;1 633;127;233;58;201;90;33;;750;126;135;208;121;86;74;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038014;Saint Hubert;2 937;2 937;16 225;L'Isle-d'Abeau;50,2;52,2;50,0;;;;39,9;;9,2;7,8;882;2 286;244;304;56;278;97;86;;1 077;240;185;276;170;125;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038015;Saint Bonnet;2 357;4 418;18 168;Villefontaine;50,9;44,3;41,9;8,6;;3,7;43,2;5,3;14,8;13;854;2 151;182;348;63;261;111;59;29;973;177;171;269;184;103;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038016;Les Roches;2 061;4 418;18 168;Villefontaine;49,2;41,7;39,3;11,1;11,0;3,2;36,8;5,6;18,7;19,6;605;1 674;141;197;42;225;82;27;;805;139;149;196;146;112;63;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038017;La Plaine;1 168;1 168;8 086;Saint-Marcellin;52,8;39,2;37,9;16,2;18,0;1,9;41,7;4,6;19,4;17,9;351;783;75;164;35;77;29;22;;316;37;46;89;61;43;40;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038018;Vieux Péages - Les Ayencins;1 094;1 928;6 730;Le Péage-de-Roussillon;52,2;38,5;38,0;15,3;16,4;1,9;38,3;3,3;27,7;25,5;276;700;55;107;23;91;30;21;;318;54;51;86;59;42;26;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038019;Route De Sablons;1 417;2 511;14 832;Le Péage-de-Roussillon, Roussillon;50,9;32,2;34,1;25,9;26,0;0,9;41,3;1,8;31,4;29,1;400;896;63;204;23;110;41;26;;363;68;53;100;72;35;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038020;Belmont Moulin Villette;1 083;1 083;4 405;Chavanoz;49,9;41,5;40,3;12,2;10,4;2,8;24,9;9,1;21,8;19,1;296;897;43;84;23;146;61;11;;430;77;87;117;83;36;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038021;Barbières;1 253;1 253;5 609;Chasse-sur-Rhône;51,3;40,4;37,0;15,8;18,6;2,2;36,7;4,8;16,5;17,4;335;836;62;138;22;113;34;17;;364;82;60;88;55;47;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038022;Plan Des Aures;1 182;2 349;5 148;Pont-Évêque;50,5;39,1;38,1;17,7;17,6;1,7;35,3;5,7;25,5;26,2;363;854;38;181;33;111;51;10;;344;68;61;89;56;41;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038023;Estressin;2 107;6 825;29 325;Vienne;53,8;35,1;33,7;26,0;27,9;1,1;40,2;;16,8;16,2;633;1 430;104;301;61;167;71;28;;567;79;83;148;109;70;78;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038024;Vallée De Gère;2 641;6 825;29 325;Vienne;50,6;41,7;42,1;15,8;16,4;1,8;38,2;3,8;25,3;21,9;796;1 834;122;361;89;224;90;65;29;727;136;109;187;128;88;79;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038025;Les Genêts Cancane Charlemagne;1 572;9 174;34 473;Pont-Évêque, Vienne;50,6;35,2;33,7;19,6;20,5;1,4;43,0;3,0;18,4;16;495;1 211;84;205;46;160;66;23;;507;78;70;156;91;65;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP038026;Malissol;1 672;6 825;29 325;Vienne;49,7;41,0;37,9;;;;23,3;;11,6;11,4;464;1 382;88;129;42;205;89;18;;674;107;113;200;125;81;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP039001;Mesnils Pasteur;2 696;2 696;23 312;Dole;50,2;40,1;35,5;16,9;18,6;1,9;35,9;;31;31,2;1 026;2 222;145;526;107;248;109;44;6;841;143;151;222;142;106;77;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP039002;Marjorie - Les Mouillères;3 580;3 580;17 063;Lons-le-Saunier;56,1;34,8;31,8;21,4;24,4;1,4;46,1;;18,3;16,6;1 137;2 448;231;571;103;232;103;57;;976;143;171;261;189;146;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP039003;Les Avignonnets;1 322;2 297;10 346;Saint-Claude;48,8;43,9;41,9;11,6;12,1;3,1;27,4;;34,7;36,7;250;689;29;85;28;108;50;9;;304;40;39;94;72;41;18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP039004;Chabot - Le Miroir;975;2 297;10 346;Saint-Claude;48,8;29,6;26,4;28,7;30,4;0,9;43,1;;28,1;24,5;212;507;15;100;25;72;27;9;;195;25;34;50;38;30;18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP040001;Le Sablar;1 283;3 745;20 776;Dax;50,9;29,1;31,1;15,8;;1,5;56,8;;16;;534;820;74;365;43;52;10;71;28;194;41;24;42;41;33;13;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP040002;Cuyès;1 229;3 745;20 776;Dax;57,0;34,1;31,4;22,6;22,5;1,3;33,9;0,2;11,4;10;374;823;123;168;15;68;24;26;;368;49;50;94;73;63;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP040003;Le Gond;1 233;3 745;20 776;Dax;53,6;39,1;;20,5;;1,4;44,7;;6,5;;412;778;66;239;34;73;21;47;47;265;43;35;60;64;30;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP040004;Le Peyrouat;2 405;2 405;31 334;Mont-de-Marsan;51,1;42,5;37,3;;;;42,7;;10,6;8,9;799;1 942;244;317;51;187;79;76;7;912;135;145;247;174;126;85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP040005;La Moustey;1 381;1 381;9 337;Saint-Pierre-du-Mont;55,9;41,6;38,9;12,4;13,9;2,8;39,9;2,2;7,4;6,7;390;879;107;171;22;90;30;30;;380;61;48;90;83;63;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP041001;Kennedy - Coty - Croix Chevallier - Sarrazines;10 703;10 703;45 539;Blois;51,3;42,3;39,4;14,6;17,3;2,4;37,3;7,6;36,1;34,3;3 427;8 759;721;1 370;288;1 048;462;240;14;3 986;746;723;1 095;674;430;318;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP041002;Les Rottes;3 202;3 202;17 121;Vendôme;53,2;36,3;33,9;21,0;24,1;1,4;43,6;;21,4;18,8;1 059;2 306;176;537;80;266;104;100;14;901;152;147;244;179;101;78;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP041003;Les Favignolles;1 348;1 348;16 891;Romorantin-Lanthenay;53,5;37,8;36,9;18,6;21,4;1,7;41,5;;24,5;22,5;487;981;102;251;36;98;25;25;;363;62;54;95;72;50;30;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042001;Beauregard;1 257;1 257;15 673;Montbrison;58,4;33,0;29,9;18,4;21,5;1,5;47,3;;15,7;;381;808;85;177;35;84;29;28;;311;49;52;62;65;49;34;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042002;La Chapelle;3 168;3 168;9 844;Andrézieux-Bouthéon;51,7;38,8;37,1;16,0;17,0;1,9;36,9;5,2;21,1;19;837;2 041;123;366;78;270;107;33;;854;106;113;219;184;142;90;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042003;La Romière;1 259;1 659;12 523;Le Chambon-Feugerolles;53,0;34,6;;22,1;;1,4;36,4;;17,3;22,7;392;1 001;34;165;55;138;67;25;;422;69;81;107;80;46;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042004;Montrambert Méline;1 108;4 783;20 412;Le Chambon-Feugerolles, La Ricamarie;54,6;32,1;31,0;24,1;26,8;1,1;41,4;2,2;9,8;8,7;301;732;51;124;28;98;35;10;;304;53;52;69;59;43;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042005;Le Dorlay - Les Pins - La Bachasse;1 450;1 450;9 578;La Grand-Croix, Saint-Paul-en-Jarez;54,0;35,2;32,8;20,1;22,2;1,4;37,0;2,5;10,3;10,7;453;1 120;95;194;26;138;59;30;;499;87;91;143;92;48;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042006;Montcel - Centre Ville;2 416;3 124;7 889;La Ricamarie;54,5;35,3;32,6;25,3;28,9;1,1;40,3;3,9;16,1;14,7;703;1 683;105;328;67;203;98;44;;708;136;102;198;126;76;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042007;Grand Pont;1 186;3 297;14 658;Rive-de-Gier;51,6;39,8;37,2;14,3;;2,2;32,5;8,8;25,1;22,9;408;1 027;62;166;42;138;57;25;;435;68;73;95;81;64;54;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042008;Centre Ville;2 111;3 297;14 658;Rive-de-Gier;49,8;45,1;44,4;12,4;14,4;2,9;31,5;;22,8;21,3;528;1 410;101;191;48;188;85;61;5;649;111;117;175;113;81;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042009;Centre Ville;2 942;4 098;35 308;Saint-Chamond;50,0;36,9;34,1;19,6;22,6;1,5;41,5;;18,9;19,1;799;1 911;103;362;78;256;114;67;18;783;128;121;227;163;75;69;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042010;St Julien - Crêt De L'Oeillet;1 156;4 098;35 308;Saint-Chamond;49,5;43,7;40,8;;;;28,9;;22,5;23,1;260;689;37;105;20;98;46;21;;311;45;41;77;70;45;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042011;Cotonne Montferré;3 174;27 403;172 023;Saint-Étienne;53,0;43,9;44,6;15,8;16,5;2,1;35,5;6,7;25,9;25,9;724;1 763;89;350;52;233;111;32;140;756;149;138;181;131;83;74;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP042012;Tarentaize Beaubrun;7 606;27 403;172 023;Saint-Étienne;50,3;36,0;33,1;21,4;22,6;1,3;46,0;3,5;21,4;19,6;2 384;5 371;339;1 218;210;617;255;188;168;2 147;373;387;531;380;259;217;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
