CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013054;Les Aygalades;1 660;52 623;80 668;Marseille 15e Arrondissement;53,4;46,3;41,5;13,5;13,8;2,8;19,1;9,6;9,5;9,3;505;1 222;154;220;33;98;44;18;;579;70;67;123;125;99;95;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013055;Kalliste La Granière La Solidarité;8 191;52 623;80 668;Marseille 15e Arrondissement;53,2;47,4;44,7;13,4;13,0;3,0;18,4;12,3;16,8;16,5;1 745;5 124;506;611;118;510;275;65;;2 732;358;395;677;557;392;353;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013056;La Savine;2 602;52 623;80 668;Marseille 15e Arrondissement;50,4;45,7;43,3;11,3;11,8;3,5;20,5;13,2;12,6;12,6;345;748;58;186;31;70;38;13;;297;30;29;71;49;52;66;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013057;Les Tilleuls La Maurelette;2 262;52 623;80 668;Marseille 15e Arrondissement;50,5;43,0;39,2;16,7;19,1;2,2;27,2;11,6;28,6;27,8;606;1 770;174;198;35;199;98;32;;926;110;146;254;181;134;101;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013058;La Cabucelle;14 231;71 489;104 663;Marseille 2e Arrondissement, Marseille 15e Arrondissement;46,8;34,0;34,1;21,1;19,1;1,4;37,2;3,5;20,6;17,6;4 514;9 876;942;2 338;283;951;365;275;19;4 108;761;676;1 035;716;490;430;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013059;La Visitation - Bassens;1 814;88 277;141 854;Marseille 14e Arrondissement, Marseille 15e Arrondissement;52,4;36,5;33,6;23,0;24,8;1,2;23,6;8,0;13,6;15;569;1 464;116;243;38;172;71;29;;681;95;97;168;130;92;99;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013060;Saint André;1 788;5 470;16 883;Marseille 16e Arrondissement;52,0;38,7;34,5;19,8;20,7;1,6;36,8;;;;511;1 220;140;222;26;123;47;44;;556;80;100;142;105;66;63;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013061;Le Prépaou;3 048;3 048;42 937;Istres;53,1;39,1;36,3;17,8;17,3;1,8;29,4;;12,3;11,2;967;2 220;282;418;46;221;81;70;;982;165;160;257;193;132;75;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013062;La Carraire;1 623;7 392;25 002;Miramas;54,0;44,7;44,2;;;3,9;23,1;5,6;17;17,5;406;1 092;94;132;23;157;48;17;;507;76;80;140;104;68;39;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013063;La Maille;5 769;7 392;25 002;Miramas;49,6;38,2;38,5;20,2;19,1;1,6;29,7;7,8;28,4;24,6;1 353;3 516;254;559;97;443;221;57;;1 610;222;257;450;317;221;143;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013064;La Soude Bengale;1 982;5 987;74 234;Marseille 9e Arrondissement;59,0;33,1;30,0;25,3;28,9;1,0;31,0;;6,6;;676;1 522;178;325;40;133;58;21;;666;71;92;153;135;120;95;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP013065;Caillols La Moularde;1 758;2 289;60 437;Marseille 12e Arrondissement;54,2;32,6;27,5;26,2;28,4;1,0;35,9;;8,7;10,3;636;1 224;136;358;46;96;33;14;;443;61;58;98;83;73;70;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014001;Chemin Vert;4 125;15 594;107 229;Caen;54,2;41,2;33,8;18,6;23,6;1,8;40,4;3,0;13,5;11,6;1 503;3 382;416;699;80;308;112;89;22;1 480;232;255;381;255;208;149;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014002;Grâce De Dieu;3 908;15 848;111 651;Caen, Fleury-sur-Orne;52,7;42,1;40,1;14,6;15,3;2,3;37,5;3,3;20,4;17,8;1 435;2 795;275;821;98;241;80;138;36;1 021;175;181;262;165;124;114;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014003;Guérinière;4 138;15 608;118 729;Caen, Ifs;52,7;34,9;31,6;18,4;21,8;1,6;45,5;;14,1;13,6;1 778;3 263;339;1 061;136;242;91;74;;1 115;191;203;280;187;151;103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014004;Pierre Heuzé;2 159;15 594;107 229;Caen;51,1;38,2;36,6;14,7;;2,2;49,9;4,2;22,5;19,8;755;1 758;202;348;39;166;78;37;;793;145;128;184;149;105;82;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014005;Calvaire Saint Pierre;1 532;15 594;107 229;Caen;53,6;43,0;;;;1,9;47,2;;;;544;1 115;111;307;32;94;39;43;56;449;70;68;101;98;64;48;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014006;Centre Ville;1 330;1 330;5 973;Colombelles;53,1;33,1;27,2;26,9;32,4;1,0;44,9;2,6;7;6,2;391;912;84;171;34;102;42;22;;386;53;50;99;80;54;50;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014007;Grande Delle - Val - Belles Portes - Grand Parc - Haute Folie;8 624;8 624;21 393;Hérouville-Saint-Clair;53,9;41,4;37,6;17,1;19,9;1,8;42,7;3,1;11,8;10,8;2 947;6 367;614;1 475;213;645;235;196;380;2 564;379;418;674;476;331;286;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014008;Canteloup - Marronniers - Honfleur;1 343;1 343;7 676;Honfleur;54,7;42,9;38,9;13,8;16,2;2,6;30,3;5,7;4,2;3,2;345;880;108;120;19;98;39;22;;417;46;62;107;87;66;49;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP014009;Hauteville;3 522;3 522;21 132;Lisieux;58,2;37,3;31,7;24,1;28,8;1,3;42,8;;4,9;;1 165;2 440;343;561;78;183;64;83;;1 014;129;179;251;209;143;103;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP015001;Aurillac Sud;1 218;1 218;26 572;Aurillac;50,0;;;;;;40,6;;;;348;703;64;194;33;57;17;17;;264;34;41;70;57;35;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016001;Basseau - Grande Garenne;3 539;8 005;41 970;Angoulême;53,7;37,6;35,0;21,4;26,7;1,5;45,9;4,7;20;19,1;1 165;2 593;238;599;88;240;93;66;10;1 099;201;194;288;166;143;107;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016002;Ma Campagne;1 923;8 005;41 970;Angoulême;52,7;32,3;27,5;20,7;23,9;1,3;55,1;2,4;16,1;13,8;777;1 484;163;452;50;112;39;41;;546;82;94;140;89;73;68;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016003;Bel Air - La Grand Font;2 543;8 005;41 970;Angoulême;52,9;40,1;37,4;16,7;18,9;1,9;57,6;;14;12,4;1 010;1 937;244;599;40;127;39;106;30;755;132;114;173;137;101;98;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016004;L'Etang Des Moines;1 291;1 291;7 466;La Couronne;54,7;39,9;37,4;18,4;20,7;1,7;53,0;2,7;7,3;6,4;541;1 053;132;310;22;77;26;59;14;410;51;69;106;88;53;43;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016005;Champ De Manoeuvre;3 286;3 286;9 366;Soyaux;55,3;39,8;35,6;19,4;23,8;1,7;44,3;4,4;17,2;16,5;1 423;3 182;303;682;124;314;133;81;;1 318;220;235;362;228;132;141;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP016006;Crouin;1 898;1 898;18 705;Cognac;54,9;36,3;32,3;;;1,9;50,6;;8,5;;704;1 490;197;351;50;106;41;59;;632;107;103;176;115;80;51;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017001;Mireuil;6 123;13 371;74 344;La Rochelle;54,8;40,0;36,3;19,7;22,3;1,7;38,6;4,3;11,6;10,4;2 080;4 650;570;955;123;432;167;100;6;2 005;263;300;499;417;292;234;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017002;Villeneuve-Les-Salines;5 642;13 371;74 344;La Rochelle;52,8;37,0;34,6;17,3;19,4;1,7;40,6;2,5;14,8;13,7;1 965;4 012;453;1 023;141;348;124;169;13;1 554;241;259;387;277;215;175;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017003;Bellevue - Boiffiers;2 087;2 087;25 601;Saintes;61,0;30,6;27,1;26,1;30,3;0,9;60,2;;;;950;1 753;253;542;51;104;38;61;;644;95;98;167;126;93;65;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017004;Centre Ville - Avant-Garde;2 362;3 468;24 761;Rochefort;49,9;33,0;29,9;20,1;24,4;1,2;55,3;;;;985;1 635;148;640;76;121;24;91;22;466;66;72;102;106;85;35;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017005;Le Petit Marseille;1 106;3 468;24 761;Rochefort;57,2;48,4;47,6;;;3,6;20,8;;9,1;8,6;362;922;118;121;22;101;37;24;;432;60;69;120;84;55;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017006;Eco quartier l'Yeuse-La Robinière;1 207;1 207;18 138;Royan;55,0;30,4;25,8;34,0;35,9;0,7;50,7;;7,7;;436;793;88;271;14;63;18;23;5;274;34;34;69;58;46;33;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP017007;Port-Neuf;1 606;13 371;74 344;La Rochelle;53,2;32,7;28,5;19,2;22,7;1,3;53,2;0,0;4;;660;1 142;156;385;32;87;13;31;;366;74;57;73;69;55;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP018001;Bourges Nord;9 503;11 968;67 189;Bourges;53,9;37,7;34,4;22,2;25,2;1,4;48,1;3,9;16,1;15,9;3 119;6 724;691;1 589;232;607;232;198;61;2 755;429;426;706;517;339;338;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP018002;Val D'Auron - Bourges;2 465;11 968;67 189;Bourges;54,9;37,8;32,4;;;2,6;47,8;;8,6;7,1;993;2 046;294;491;51;157;42;77;7;846;157;127;211;159;111;81;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP018003;Le Vernet - Saint Amand Montrond;1 578;1 578;10 238;Saint-Amand-Montrond;54,7;30,4;26,2;27,0;31,4;0,8;53,7;;;;591;1 034;102;378;35;76;25;49;14;339;51;45;79;69;50;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP018004;Clos Du Roy - Centre Ville - Vierzon;4 581;4 581;27 113;Vierzon;53,3;34,5;30,5;20,3;24,7;1,3;50,3;;24,3;19,7;1 521;2 865;314;900;104;203;83;151;22;1 039;201;187;262;176;122;91;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP019001;Rivet;1 144;5 770;46 794;Brive-la-Gaillarde;54,1;40,3;31,4;24,7;31,7;1,4;33,4;;3,6;;404;854;90;213;26;75;23;20;;352;35;49;98;74;50;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP019002;Tujac;2 912;5 770;46 794;Brive-la-Gaillarde;53,0;35,8;33,7;23,7;27,8;1,3;34,4;4,0;26,7;25,8;761;1 945;121;299;76;265;103;39;;843;149;141;240;142;108;63;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP019003;Les Chapélies;1 714;5 770;46 794;Brive-la-Gaillarde;55,1;39,1;36,5;22,4;26,0;1,4;40,3;;25,1;22,2;527;1 282;104;225;56;142;65;34;9;560;84;91;157;114;69;45;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021001;Saint Jacques;1 665;1 665;21 838;Beaune;52,8;34,7;30,8;16,3;;1,8;37,1;;18,3;17,5;463;998;113;213;29;108;39;30;;401;68;81;104;72;48;28;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021002;Le Mail;4 887;4 887;13 982;Chenôve;55,5;35,6;33,7;24,3;26,7;1,2;34,3;4,7;24,3;25,2;1 522;3 801;251;646;155;470;230;86;6;1 666;275;266;461;304;210;150;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021003;Fontaine D'Ouche;7 466;11 799;153 003;Dijon;54,6;38,8;36,2;19,3;21,7;1,7;33,9;5,3;20;18,4;1 889;4 781;405;798;138;548;248;100;18;2 205;317;351;561;434;295;247;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021004;Les Grésilles;4 333;11 799;153 003;Dijon;50,2;36,0;35,1;17,0;16,2;1,8;38,8;4,4;32,2;31;1 628;3 487;201;851;181;395;162;65;110;1 272;253;270;358;203;92;96;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021005;Le Bief Du Moulin;1 192;1 192;8 981;Longvic;49,7;35,3;34,0;18,1;17,8;1,6;41,1;2,3;20,6;19,6;381;901;60;169;34;118;40;17;;361;65;71;97;51;50;27;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP021006;Le Belvédère;2 576;2 576;11 131;Talant;54,2;42,1;39,8;13,5;13,4;2,5;41,2;5,9;19,5;18,8;995;2 251;223;464;59;249;83;64;;946;189;172;224;167;107;87;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP022001;Ar Santé - Les Fontaines;993;1 925;19 627;Lannion;62,3;30,9;25,5;28,3;35,1;0,9;55,9;;;;366;635;92;221;17;36;8;12;;215;27;28;60;36;40;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP022002;Ker Uhel;932;1 925;19 627;Lannion;43,4;28,2;;;;1,0;70,2;;;;454;721;71;315;23;45;13;39;19;201;40;30;54;33;26;18;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP022003;Iroise;998;998;11 569;Ploufragan;53,0;34,4;28,0;17,4;21,9;1,5;57,8;0,0;;;255;438;72;142;18;23;;18;;142;18;22;41;31;20;10;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
