CODGEO;LIBGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002001;Europe;6 059;12 277;55 698;Saint-Quentin;57,1;34,5;30,6;27,2;31,7;1,0;44,8;2,6;12,3;11,3;2 014;4 482;456;984;175;399;157;131;5;1 881;278;301;478;351;248;225;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002002;Faubourg D'Isle;2 763;12 277;55 698;Saint-Quentin;53,2;38,5;34,2;18,6;21,7;1,6;43,8;;6,7;6;882;1 802;174;465;84;159;58;98;76;677;108;94;164;136;92;83;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002003;Neuville;1 705;12 277;55 698;Saint-Quentin;58,3;37,8;35,2;22,0;25,0;1,3;43,0;0,5;3,5;3,6;609;1 275;161;279;49;120;37;61;;503;89;93;125;78;71;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002004;Vermandois;1 750;12 277;55 698;Saint-Quentin;54,0;41,8;40,5;17,6;22,8;1,9;39,1;;8;;658;1 437;127;313;54;164;53;56;;562;114;106;132;102;56;52;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002005;Champ Roland Et Bords De L'Oise;1 606;2 600;9 346;Hirson;51,5;35,1;33,6;22,1;26,2;1,3;46,8;1,8;2,6;2;493;1 029;101;246;51;95;32;39;;394;63;59;95;79;54;44;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002006;Gare Et Verrière;994;2 600;9 346;Hirson;52,1;34,3;32,2;23,8;27,1;1,2;47,5;4,0;1,2;0,6;296;650;53;145;32;66;26;29;;264;38;42;72;44;36;32;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002007;Quartier De L'Artilleur;1 311;1 311;2 915;La Fère;55,1;44,1;41,3;14,4;17,5;2,5;39,0;5,0;3,6;3,5;425;993;110;178;37;100;40;38;;435;60;78;104;83;63;47;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002008;Roosevelt Rebequet;1 315;1 315;13 938;Tergnier;54,9;44,7;49,3;;;2,7;43,0;;;;384;817;81;199;27;77;28;47;;327;51;53;79;61;45;38;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002009;Quartier De La Résidence;1 823;1 823;11 874;Chauny;53,4;36,9;33,8;17,5;19,4;1,8;40,5;;4,6;;806;1 599;194;424;66;122;46;55;;607;103;102;131;131;73;67;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
QP002010;Montreuil;1 376;5 772;25 219;Laon;54,0;34,1;30,0;25,9;31,3;1,0;57,7;;6;;572;1 222;132;280;43;117;49;41;;490;80;72;136;92;64;46;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
