CODGEO;POP_MUN;POP_COM_QP;POP_COM;LIB_COM;TX_F;TX_TOT_0A24;TX_F_0A24;TX_TOT_60ETPLUS;TX_F_60ETPLUS;IND_JEUNE;TX_TOT_MEN1;TX_TOT_MEN6;TX_TOT_ET;TX_F_ET;A;PERCOU;AM;AI;ACSSENF;ACAVENF;AC3ENF;A_NETUD_24;A_ETUD;ENF;ENF_2;ENF_3_5;ENF_6_10;ENF_11_14;ENF_15_17;ENF_18_24;NOTE_CNAF
QP013005;2887;52623;80668;Marseille 15e Arrondissement;53,1;38,9;35,9;18,7;20,3;1,7;35,9;;19,9;20;1036;2641;230;439;79;288;149;42;;1225;170;192;305;248;164;146;0
QP013006;1029;2110;15780;Châteaurenard;51,7;35,1;;;;1,3;36,9;;23;22,6;233;603;59;75;16;83;25;13;;267;41;45;73;58;27;23;0
QP013007;1403;1403;10713;Septèmes-les-Vallons;48,7;41,2;36,7;14,7;;2,3;17,3;10,3;17,9;22,2;431;1094;107;171;27;126;57;18;;505;68;71;127;94;62;83;0
QP013008;960;6984;55315;Marseille 10e Arrondissement;60,9;48,8;44,9;12,5;13;3,5;25,7;;8,6;8,8;289;658;79;133;21;56;24;16;;286;18;30;85;46;53;54;0
QP013009;2043;6984;55315;Marseille 10e Arrondissement;54,3;36,8;36,8;;;2;37,5;;9,7;;681;1333;100;408;28;145;41;28;8;478;96;84;112;87;61;38;0
QP013010;2438;9154;52566;Arles;56,9;32,2;30,7;29,7;31,1;0,9;45;;15,9;15,1;803;1698;155;418;63;167;65;30;;661;112;102;165;116;89;77;0
QP013011;4171;9154;52566;Arles;53,3;37,6;34,8;20,8;22;1,5;39,1;3,5;20,7;18,7;1198;2983;247;511;96;344;160;44;;1336;189;193;379;282;157;136;0
QP013012;2545;9154;52566;Arles;53;36,9;35;22,3;21;1,4;32,5;;23;22,6;709;1704;167;286;60;196;65;26;;738;109;107;173;148;111;90;0
QP013013;3733;3733;13941;Tarascon;48,7;38,3;37,3;20;20,3;1,6;41,4;;30,7;25,6;886;2023;166;428;68;224;94;72;;847;147;168;231;133;97;71;0
QP013014;6900;14027;141545;Aix-en-Provence;56;32,3;27,3;23,8;28,4;1,1;37;3,3;11,6;11;1990;4498;430;955;137;468;187;53;5;1885;232;240;477;376;290;270;0
QP013015;1312;14027;141545;Aix-en-Provence;54,9;;32,1;;;1,3;38,4;;14,8;15,3;450;916;103;240;27;80;26;16;;356;43;50;104;82;45;32;0
QP013016;4642;14027;141545;Aix-en-Provence;52,3;33;30,2;25,6;29,1;1;41,4;;17,6;15,8;1405;3119;275;705;101;324;139;60;36;1277;165;200;336;246;176;154;0
QP013017;1173;14027;141545;Aix-en-Provence;53,1;;;;;;;;;;367;796;74;191;21;81;30;13;;325;50;47;87;69;41;31;0
