"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP035001";3562;3562;46478;51,3;27,6;25,6;28,3;32,2;0,7;58,4;;3,5;;0;1492;2769;306;859;101;226;60;125;7;961;176;155;234;179;134;83;0
"QP035002";8883;33227;217728;54,4;54,7;54,7;12,8;13,6;2,6;37,1;5,2;21,9;21,6;0;4004;7387;536;2761;190;517;248;401;1418;2666;356;425;677;523;386;299;0
"QP035003";5271;33227;217728;51,9;40,5;38,7;14,9;17,6;2,2;47,4;3,2;31,2;30,9;0;1991;4029;362;1111;128;390;144;171;106;1537;313;254;403;246;183;138;0
"QP035004";6206;33227;217728;51,3;35,6;32,9;19,4;24,7;1,5;55,6;2,7;23,8;22,1;0;2544;4718;453;1608;130;353;135;156;94;1691;328;288;470;284;168;153;0
"QP035005";11550;33227;217728;51,9;40,7;38,1;18,1;20,3;1,8;42,3;5;26,5;25,5;0;3935;9092;722;1922;301;990;451;337;191;3885;582;665;1074;685;501;378;0
"QP035006";1317;33227;217728;54,5;35,9;43,1;;;2,4;53,7;;23;22,5;0;671;1214;122;435;31;83;40;57;13;428;58;55;110;92;64;49;0
"QP035007";766;766;9151;55,8;35,7;32,1;24,1;28,5;1,2;47,4;1,6;19;17;0;295;609;70;138;28;59;23;20;;236;24;29;57;56;34;36;0
"QP036001";1669;7515;43442;56,7;30,6;31,4;21,7;24,2;;65;;14,8;12,8;0;818;1341;143;550;54;71;25;65;;397;76;63;101;72;45;40;0
"QP036002";4343;7515;43442;54,4;42,9;38,3;16,7;19,1;2,2;40,7;;23,2;23,3;0;1679;3897;391;773;145;370;160;99;;1701;290;262;421;320;227;181;0
"QP036003";1503;7515;43442;54,1;38;36,9;;;1,9;44,8;;12,2;12,9;0;509;1151;123;245;30;111;38;56;10;500;81;74;133;102;67;43;0
"QP036004";1442;1442;11690;52,9;36,3;32,7;19,2;25;1,4;57,8;;6,8;5,8;0;520;986;136;281;32;71;16;50;;364;61;77;92;62;35;37;0
"QP037001";1039;2494;12693;52,2;43,2;42,1;;;;24,5;;15,2;15,5;0;313;838;72;111;29;101;48;28;;388;49;63;99;86;57;34;0
"QP037002";6087;6087;38250;53,4;41,5;37,3;19,3;22,7;1,9;39,8;6,1;29,1;27,9;0;1920;4768;452;802;162;504;245;126;19;2175;322;383;557;404;267;242;0
"QP037003";2037;2037;10331;55,5;35,7;30,1;20,7;24,9;1,4;44,3;3,5;16;17;0;708;1408;135;407;42;124;42;46;23;532;87;78;151;88;72;56;0
"QP037004";5114;5114;15766;53,1;35,8;33,8;25,5;28,1;1,2;44,8;4;22;20;0;1595;3566;305;801;98;391;155;104;8;1472;243;247;374;301;159;148;0
"QP037005";2820;21518;136463;51,1;32;32,8;19,6;22,5;1,3;59,7;;22,7;20,8;0;1333;2444;230;824;92;187;76;79;20;829;189;149;215;126;93;57;0
"QP037006";958;21518;136463;50,9;35,8;35,6;16,2;20,8;1,8;58,8;1,4;24,8;24,3;0;530;1065;104;297;36;93;33;48;11;412;88;78;113;68;40;25;0
"QP037007";2989;21518;136463;56;48,9;47;14,9;;2,9;27,3;14,1;23,6;24,6;0;743;2002;213;265;42;223;101;48;28;989;146;170;270;185;119;99;0
"QP037008";2787;21518;136463;54,1;35,3;33,9;17;18,7;1,8;41,6;;15,3;14,7;0;1095;2168;257;574;91;173;61;78;9;826;129;136;222;139;109;91;0
"QP037009";7815;21518;136463;53,4;40,9;38,8;18,6;22,3;1,8;47;4,8;33,9;32,8;0;3301;6654;603;1899;235;564;233;246;262;2554;406;417;672;458;335;266;0
"QP037010";2122;21518;136463;55,6;40,6;37,5;14,1;;;39,7;;21,6;20,7;0;753;1740;229;324;42;158;63;39;13;789;107;133;220;153;98;78;0
"QP037011";2027;21518;136463;53,7;32,8;29,5;24,3;31;1;66,3;;20,7;20,3;0;917;1418;116;662;50;89;24;79;83;360;65;57;92;67;43;36;0
"QP037012";1455;2494;12693;52;30,3;25,7;25;30,5;1;54,5;;;;0;535;997;121;297;39;78;19;45;;348;55;57;76;75;47;38;0
"QP038001";2785;10341;36961;51,9;40,9;41,1;14;15,3;2,4;37;;22,5;21,7;0;904;2085;183;416;70;235;95;44;;872;137;141;226;161;110;97;0
"QP038002";1197;3222;28494;56,2;40,6;37,2;;;;43,9;;20;20,4;0;267;660;71;105;20;71;34;26;;301;52;53;82;49;38;27;0
"QP038003";5764;10341;36961;51;43,8;40,8;16,4;18,8;2,3;28;5,7;29;27,7;0;1706;4542;350;668;119;569;275;104;6;2151;350;359;551;389;266;236;0
"QP038004";1792;10341;36961;54,2;39,7;38,2;16,5;18,7;2,1;33,3;4,1;20,9;20,3;0;658;1548;127;303;53;175;79;29;;663;103;101;193;127;83;56;0
"QP038005";1892;1892;22906;53;34,5;32,5;;;;45,9;;20;17,6;0;659;1444;98;352;35;174;71;38;;574;88;78;142;122;82;62;0
"QP038006";2186;22375;157650;54,3;41,8;40,4;19,5;22,6;1,8;35,8;;25,6;25,4;0;761;1848;122;358;73;208;102;38;;802;112;142;206;167;95;80;0
"QP038007";11708;22375;157650;50,7;39,3;39,1;20,2;20,7;1,6;39,5;6;25,5;23,8;0;3856;9094;656;1949;247;1004;490;344;130;3976;596;617;992;827;533;411;0
"QP038008";7003;22375;157650;51,7;40,2;39;19;20,4;1,8;39,3;5;22,3;21,8;0;2456;5745;406;1184;210;656;296;201;91;2420;401;410;621;463;299;226;0
"QP038009";1478;22375;157650;51,7;34,1;40,2;25,1;;0,9;50,7;;34,3;30,4;0;649;1096;66;450;54;79;31;30;123;316;45;46;76;63;48;38;0
"QP038010";1711;1711;10605;53,5;43,2;39,7;16,8;19,8;2,1;29,6;5,3;25,6;25,5;0;604;1618;132;222;41;209;103;53;;763;125;120;194;154;110;60;0
"QP038011";2432;2432;38398;49,6;38,3;37,6;;;2,4;33,7;;27,9;27,9;0;661;1579;122;296;53;190;78;49;29;676;80;118;182;135;105;56;0
"QP038012";1066;1066;20248;55,1;39,7;35,1;15,3;15,8;2,1;36,6;5,3;18,2;18,4;0;358;822;69;172;27;90;45;15;;349;45;62;98;69;45;30;0
"QP038013";2025;3222;28494;53,2;39,8;39,2;18,2;18,1;1,9;32;;25,8;24,6;0;656;1759;116;251;58;231;106;22;;807;113;119;238;162;95;80;0
"QP038014";3045;3045;16169;50,8;43,9;42,9;;;4,9;37,5;4,5;19,9;19,2;0;1054;2651;274;428;51;301;126;94;;1246;226;248;311;220;149;92;0
"QP038015";2554;4660;18808;50,6;44,9;41,2;;;2,7;39,5;;20,1;20,4;0;919;2327;193;380;67;279;133;67;28;1067;163;170;290;212;145;87;0
"QP038016";2106;4660;18808;50,6;41,6;39,3;15,4;;2,4;32;6;16;17,8;0;569;1530;112;214;39;204;87;26;;716;107;116;192;135;96;70;0
"QP038017";1071;1071;7791;52,4;32,5;29,4;22,6;27,4;1,2;50,3;3,4;18,8;16,6;0;402;841;75;209;35;83;22;37;;319;51;42;80;67;42;37;0
"QP038018";1036;1844;6588;52;35,6;34,4;17,9;19,2;1,7;40,2;2,6;32,2;31,3;0;303;732;62;131;25;85;28;32;;320;45;59;81;68;36;31;0
"QP038019";1368;2404;15041;50,8;31;31,4;26,2;25,9;1;42,5;3,3;31,6;27,6;0;407;886;51;227;23;106;44;29;;348;40;57;97;78;52;24;0
"QP038020";1150;1150;4777;49,8;39,8;38,3;14,9;15;2,4;26,2;6,5;20,5;20,6;0;317;918;49;105;21;142;65;19;;437;58;77;128;91;56;27;0
"QP038021";1206;1206;6128;53;39,9;38,8;18;20,9;1,8;38,4;4,1;15,2;15;0;363;893;73;156;20;114;43;28;;394;95;73;94;68;33;31;0
"QP038022";1114;2257;5207;50,6;37,9;38,1;20,9;24,1;1,5;38,2;5,1;28,5;29,8;0;376;904;36;181;38;121;58;15;;367;62;62;114;60;44;25;0
"QP038023";2025;6862;29583;50,2;34,5;31,1;24,4;25,6;1,1;47,5;;20,4;19,1;0;646;1474;96;307;64;179;75;31;;582;88;95;140;109;85;65;0
"QP038024";2669;6862;29583;48,9;40,6;41,1;14,7;14,7;2,2;42,7;5,5;30,1;28,6;0;874;1996;146;403;96;229;92;78;16;797;118;142;211;164;96;66;0
"QP038025";1597;9119;34790;50,9;36,3;33,6;19,7;21,5;1,6;39,5;5;18,9;18,1;0;515;1219;71;229;61;154;64;33;;490;79;75;104;111;68;53;0
"QP038026";1714;6862;29583;53,3;43,5;40,9;;;2,9;22,1;8,6;14,1;14,1;0;482;1408;87;146;39;210;91;29;;677;98;106;184;141;86;62;0
"QP039001";3025;3025;23770;54,6;36,7;36,1;19;21,5;1,7;43,4;;37,4;35,9;0;1050;2271;150;548;104;248;100;64;;863;143;157;253;134;100;76;0
"QP039002";3754;3754;17320;52,8;35,1;32,3;22;25,2;1,3;47,9;;19,8;20,2;0;1331;2815;264;692;118;257;116;85;;1124;184;172;284;213;160;111;0
"QP039003";1067;1839;9103;48,7;38,1;36;20,4;21,8;1,7;29,8;4,8;36,4;37,2;0;311;817;28;119;39;125;57;18;;346;36;51;93;81;55;30;0
"QP039004";772;1839;9103;51,3;33,7;34,4;22,9;;1,2;52,7;;18,2;16,4;0;220;505;19;107;27;67;28;11;;188;24;23;42;43;30;26;0
"QP040001";1223;3802;20762;49,1;28,4;27,4;22,4;26,5;0,9;60,4;;15,8;16,7;0;559;853;70;406;29;54;13;70;33;211;32;38;51;32;36;22;0
"QP040002";1238;3802;20762;57,5;36,2;36,1;22,4;22,4;1,3;36,7;;12,4;12,7;0;335;723;107;155;20;53;15;25;5;314;37;56;87;59;53;22;0
"QP040003";1341;3802;20762;55,4;30,4;23,1;34,7;40,7;0,7;46,1;;15,9;13,2;0;500;890;75;315;33;77;18;59;55;285;33;42;74;54;56;26;0
"QP040004";2787;2787;29683;54,8;43,9;40,6;12,9;;3;39,3;5,4;15,3;14,5;0;854;2081;215;367;56;216;88;92;15;968;126;148;272;219;116;87;0
"QP040005";1295;1295;9625;53,3;38,9;33,5;16,7;19,6;2;50,1;4,2;26,8;23,9;0;421;897;97;215;26;83;33;39;;368;47;57;98;59;64;43;0
"QP041001";10843;10843;45871;51,1;42,9;39,8;16;18,2;2,3;38;7,7;43,8;41,8;0;3660;9075;740;1574;338;1008;472;260;12;4070;677;709;1129;790;441;324;0
"QP041002";3038;3038;16133;50,8;38,1;36,3;18,7;20,8;1,7;46,3;4,3;22,1;20,9;0;1099;2273;167;595;94;243;103;80;23;837;134;129;207;190;115;62;0
"QP041003";1279;1279;17871;51,3;33,6;31,9;;;;52,5;;24,4;23,5;0;480;949;92;267;38;83;33;29;;348;53;55;93;63;54;30;0
"QP042001";1110;1110;15656;56,5;41,3;38,5;;;1,6;44,6;;22,8;22,5;0;388;774;72;210;29;77;23;21;;283;41;52;78;47;41;24;0
"QP042002";2983;2983;9740;52,3;35,6;35;22,7;26,1;1,3;38,6;3,9;24,6;24,1;0;798;1898;119;361;72;246;102;57;;780;96;104;183;190;127;80;0
"QP042003";1236;1637;12200;53,4;39,4;;;;1,5;40,6;;29,3;30,1;0;410;1035;46;180;47;137;69;20;;444;62;72;116;87;65;42;0
"QP042004";833;4256;20089;52,7;34,5;32,2;24;26,4;1,2;36,2;;17,2;16,2;0;251;652;43;96;24;88;42;11;;287;33;40;81;58;39;36;0
"QP042005";1429;1429;9999;52,3;37,1;31,3;20,6;24,2;1,5;34,5;3,9;13,3;14,1;0;478;1131;104;215;35;124;53;32;;497;72;81;140;112;54;38;0
"QP042006";2187;2619;7889;53,1;36,7;33,9;26,1;29,3;1,2;40,4;4,3;25,2;24,3;0;684;1627;94;333;66;191;104;36;;689;108;128;179;137;79;58;0
"QP042007";1255;3173;15105;51,2;42,1;38,6;16,1;16,9;2,2;26,4;;22,8;22,4;0;425;1089;61;184;45;135;74;20;;483;82;80;118;80;65;58;0
"QP042008";1918;3173;15105;52,1;43,6;44,5;;;3,1;35,7;;33,8;32,8;0;512;1341;100;209;39;164;82;51;6;625;95;107;181;121;63;58;0
"QP042009";2607;3506;34979;52,3;31,7;29,4;28,4;32,5;0,9;46,9;;20,3;22,3;0;900;2093;115;425;92;268;120;82;12;832;131;125;228;171;121;56;0
"QP042010";899;3506;34979;50,8;40,1;32,9;20,2;22,8;1,5;31,9;;25,3;24,6;0;321;836;44;135;30;112;54;30;;370;54;54;92;77;51;42;0
"QP042011";3050;24835;173089;51,8;48,2;45,4;14,8;16,8;2,6;33,9;;27,4;27,2;0;816;1893;95;431;57;233;111;54;147;787;126;132;206;149;106;68;0
"QP042012";7771;24835;173089;50;39,4;39,3;18,9;18,6;1,6;43,8;4,6;26,6;25,9;0;2538;5659;396;1313;216;613;268;243;142;2275;342;365;601;427;314;226;0
"QP042013";6294;24835;173089;49,9;39,6;37,9;19,1;19,1;1,8;29,4;6,8;27,6;30;0;1786;4663;221;726;191;648;308;104;7;2030;325;311;555;397;256;186;0
"QP042014";5067;24835;173089;49,4;39,9;37,7;19,1;20,9;1,5;52,7;4;26;25,2;0;1712;3491;218;987;145;362;146;214;172;1275;198;210;331;233;169;134;0
"QP042015";1259;24835;173089;50,8;46;43,7;;;2,7;32;;35,4;39;0;442;1149;77;188;47;130;80;28;8;528;55;73;130;134;74;62;0
"QP042016";1394;24835;173089;51,9;40,7;36,1;15,7;;2,2;37,7;;22,4;21,5;0;469;1099;86;225;38;120;52;25;7;468;64;58;139;99;55;53;0
"QP042017";1669;3797;34004;62,1;34,9;30,5;28,7;34;1;59,9;3,1;16,1;15,8;0;755;1466;143;441;51;120;55;62;13;537;81;82;150;109;66;49;0
"QP042018";1190;3797;34004;53,6;33,9;29,2;25,5;29;1,1;45,3;;14,2;14;0;351;790;58;178;34;81;33;30;;327;50;58;90;61;36;32;0
"QP042019";938;3797;34004;53,2;37,9;;;;;30,3;;20,9;21;0;275;649;49;127;19;80;28;19;;278;34;39;75;50;43;37;0
"QP043001";1191;2617;19061;54,9;32,1;;;33,6;;51,6;;25,7;26,7;0;443;973;75;227;45;96;45;31;;398;56;74;101;73;53;41;0
"QP043002";1426;2617;19061;51,6;31,9;28,9;29;32,3;1;34,5;;20,8;22,1;0;390;855;47;193;51;99;43;17;;326;40;51;89;72;40;34;0
"QP044001";7072;9189;70619;53,7;41,2;37,5;16,2;18,5;2,1;44,5;3,7;16,1;14,6;0;2640;5772;689;1302;139;510;185;220;30;2499;430;415;658;417;337;242;0
"QP044002";1027;9189;70619;53,3;35,1;;;;;48,8;;;;0;439;887;104;242;23;70;29;36;;358;48;67;80;65;56;42;0
"QP044003";1090;9189;70619;45,3;37,7;37,6;;;1,7;49,9;;29,2;24,1;0;410;854;74;226;25;85;29;24;;338;58;51;88;51;52;38;0
"QP044004";1325;1325;12011;49,7;40,3;42,2;;;;37,5;;28,9;24,1;0;396;919;60;188;38;110;49;27;;377;46;55;90;87;60;39;0
"QP044005";16290;50544;360490;53,2;38,4;36,2;17,7;20,9;1,8;42,9;3,9;20,6;19,5;0;5258;11968;1036;2564;396;1262;539;383;92;5069;846;829;1376;945;582;491;0
"QP044006";5375;43975;314138;52,4;42,6;40,5;14,8;18,4;2,4;47;4,1;28,4;26,2;0;2085;4506;457;1091;129;408;164;157;18;1874;346;298;430;344;271;185;0
"QP044007";3917;43975;314138;53,3;39,3;33,6;;19,5;2,1;46,9;;23;22;0;1483;3366;360;717;104;302;126;81;32;1470;250;244;364;259;183;170;0
"QP044008";5628;43975;314138;51,6;35,3;35,5;14,2;15,9;2,1;48,6;2,6;20,4;17,8;0;2054;4340;404;1071;141;438;157;101;45;1716;324;327;453;280;187;145;0
"QP044009";1657;43975;314138;51,5;30,3;;19;;1,3;62,7;;24,3;21,6;0;894;1556;159;581;52;102;31;41;9;507;98;99;129;74;54;53;0
"QP044010";1713;43975;314138;52,7;34;32,8;16,8;19,9;1,8;45,5;0,5;20,3;18,5;0;714;1420;173;357;55;129;38;36;10;521;122;119;130;78;39;33;0
"QP044011";1615;43975;314138;57,2;39,7;37,2;15,1;19,3;2,3;42,4;2;19,3;18,9;0;576;1343;148;267;35;126;59;23;;604;87;100;162;104;81;70;0
"QP044012";1428;43975;314138;49,1;37,6;;;;;53,7;;;;0;517;1039;87;303;31;96;38;34;18;399;71;78;101;64;57;28;0
"QP044013";3486;43975;314138;52,5;39;36,3;16,7;18,3;2;37,5;;27,9;28;0;1405;3134;267;722;91;325;139;108;116;1313;228;245;318;216;160;146;0
"QP044014";5757;43975;314138;50,2;38,8;35,6;15,7;16,8;2;45,5;4,1;27,7;26,3;0;2177;4487;380;1233;138;426;186;150;49;1749;301;304;453;330;209;152;0
"QP044015";1492;43975;314138;48,8;42,1;39,5;;;3,2;51,6;;30,4;32;0;507;1246;108;219;37;143;56;33;;566;95;100;144;114;62;51;0
"QP044016";1089;43975;314138;50,7;;;;;;57,7;;12,6;;0;499;996;57;308;31;103;43;49;96;359;71;50;84;61;50;43;0
"QP044017";1523;1523;26924;53,7;44,9;42,4;;;;42,9;;17,5;18,8;0;470;1074;101;247;17;105;52;28;15;477;77;77;128;83;63;49;0
"QP044018";2785;2785;42368;57,1;32,8;31,1;20,5;25,2;1,3;51,5;;14,7;13,9;0;1050;2168;258;558;53;181;61;90;22;888;145;136;201;177;141;88;0
"QP044019";1097;6569;46352;47;39;40,2;;;;52,3;;44,5;37,6;0;585;1315;100;316;33;136;64;22;;555;100;85;152;89;68;61;0
"QP045001";1040;3331;16445;51,7;36,7;34,1;22;23,8;1,4;43,5;2,7;19,3;19,6;0;301;681;56;149;20;76;35;21;;286;53;54;84;50;29;16;0
"QP045002";1060;4038;12790;50,1;37,5;34,7;20;22,1;1,5;26,9;;41;42;0;312;768;56;129;34;93;43;16;;325;36;40;81;80;54;34;0
"QP045003";4487;10732;34346;51,8;41,9;40;15;16,2;2,3;41,3;6,3;31;28,8;0;1497;3404;290;714;124;369;152;93;;1415;237;220;362;271;182;143;0
"QP045004";3453;6638;14789;59,2;35,6;31,1;25,5;30,6;1,2;54,1;;21,6;19,5;0;1114;2356;259;566;86;203;76;69;;948;165;167;243;177;117;79;0
"QP045005";1732;10676;27579;54,6;39,1;34,2;17,5;;1,9;49,3;;24,3;19,9;0;654;1603;162;283;36;173;82;47;6;739;136;104;184;133;103;79;0
"QP045006";1687;4725;21070;50,4;41,6;36,8;;;3,1;38,1;;23,3;22,6;0;537;1413;153;185;37;162;72;33;;679;106;116;188;126;79;64;0
"QP045007";1950;4725;21070;54,1;41,7;39,2;;;3,6;38,2;;29;27,8;0;572;1411;175;212;43;142;69;38;;657;106;108;168;128;81;66;0
"QP045008";1088;4725;21070;49,9;40,5;;;;;29,8;;19,3;;0;291;847;60;100;17;114;57;16;;425;60;78;124;74;52;37;0
"QP045009";1573;21780;116238;56,4;43,3;40,7;;;;33,7;;20,9;20,5;0;498;1200;118;226;25;129;61;37;59;547;95;91;137;105;60;59;0
"QP045010";11284;21780;116238;52,5;46,9;45,7;12,7;13,1;3;37,9;8;36,3;35,8;0;3757;9619;630;1667;310;1150;602;254;377;4368;764;787;1144;855;472;346;0
"QP045011";7471;21780;116238;51,2;40,1;38,4;17,9;18,2;1,9;31,1;9;31,7;31,1;0;2167;5184;340;1025;189;613;289;96;15;2201;356;348;589;434;280;194;0
"QP045012";1452;21780;116238;52,2;40,3;35,3;;;2;34,7;;22,9;22,9;0;458;1266;147;130;30;151;65;25;;629;104;112;158;113;81;61;0
"QP045013";1243;1243;21054;48,4;40,3;35,5;;;3;36,6;;29,4;;0;325;856;69;134;18;104;53;30;;412;81;74;118;81;42;16;0
"QP045014";2291;3331;16445;52,1;42,8;40,5;16,8;;2,1;27,7;9,2;33,8;33,8;0;680;1925;131;222;65;262;124;59;;917;134;162;256;176;106;83;0
"QP045015";1391;1391;5286;50,4;39,9;36,8;18,7;19,8;1,8;32,2;6,3;20,5;17,9;0;356;987;59;121;30;146;59;27;;452;75;65;127;92;57;36;0
"QP045016";1360;2790;13732;55,5;39,7;39,1;22,1;25,5;1,6;44,5;;37,2;35,9;0;521;1222;83;257;58;123;65;22;;519;57;78;144;122;73;45;0
"QP045017";1430;2790;13732;46,8;36,7;30,1;16,1;20,8;1,9;33,4;3,5;33,5;28,8;0;382;864;61;184;36;101;43;27;;355;72;64;88;64;43;24;0
"QP045018";1438;2587;8935;52,7;42,4;40;16,1;17,8;2,2;33,4;3,1;23,3;25,2;0;454;1134;122;182;29;121;53;17;;525;75;74;161;101;68;46;0
"QP045019";1149;2587;8935;51,2;38,3;39;18,9;18;1,8;36,7;5,2;31,4;31,3;0;372;854;52;175;47;98;34;17;;332;47;47;102;71;37;28;0
"QP046001";1372;1372;19907;51;40,4;32;17,4;17,3;2,1;39;1,7;19,5;20,1;0;337;747;99;156;15;67;26;28;10;332;33;53;108;73;39;26;0
"QP047001";2158;5145;33012;56,3;44,8;40;15,3;19,3;2,7;38,4;;25,3;24,3;0;615;1689;173;218;36;188;104;22;;845;118;127;233;174;123;70;0
"QP047002";1627;5145;33012;51,7;47,9;43,4;;;3,2;23,3;;36,1;37,2;0;513;1402;113;195;46;159;90;24;;678;115;109;181;145;75;53;0
"QP047003";1360;5145;33012;47,6;33,2;30,1;18;20,1;1,3;62,3;;16,1;14,6;0;676;1055;99;479;36;62;13;111;73;279;44;45;70;48;44;28;0
"QP047004";1176;1176;6458;50,9;34;32,8;24,1;27,6;1,1;46,9;2,7;29,3;27,4;0;341;674;50;196;25;70;26;35;14;238;49;45;60;50;22;12;0
"QP047005";2312;2312;21915;53,7;31;30,2;27,9;31,5;0,7;67,1;;10,3;9,8;0;1188;1854;174;835;68;111;26;167;36;494;93;91;127;82;64;37;0
"QP047006";1530;1530;17534;52,3;33,5;28,6;27,6;31,3;1,1;51,9;;24,8;23,3;0;409;855;88;200;40;81;32;29;;331;43;53;104;72;39;20;0
"QP047007";1188;1188;9107;55;31,7;29,2;30,6;37;0,8;58,8;2,2;19;17,5;0;398;790;78;221;21;78;24;47;;297;46;50;69;49;47;36;0
"QP049001";6013;30233;154508;53,2;40,6;38,5;16,9;19,4;1,9;44,5;2,6;16,7;15,8;0;2349;4681;558;1267;146;378;124;202;170;1811;301;310;454;321;227;198;0
"QP049002";9589;30233;154508;54,5;39,4;34,7;19,7;23,6;1,7;49,8;4,6;23,3;21,2;0;3183;7528;787;1503;193;700;314;234;61;3437;533;573;892;627;435;377;0
"QP049003";1079;30233;154508;56,9;41;36,5;17,5;24,3;1,6;50;;18,6;14,9;0;456;912;98;282;16;60;31;43;95;379;44;55;93;77;54;56;0
"QP049004";2517;30233;154508;51,5;42,1;36,8;;;;48,8;;25,8;24;0;965;2093;238;501;48;178;66;74;;900;129;169;245;179;93;85;0
"QP049005";7212;30233;154508;54,4;39,9;37,3;19,2;23,1;1,7;46,5;4,3;23,4;21,7;0;2628;5690;589;1351;185;503;215;264;76;2364;373;396;618;426;303;248;0
"QP049006";1236;30233;154508;54,7;40,3;38,2;;;;60,1;0,8;6,5;6,1;0;586;1170;119;325;39;103;30;42;100;443;60;66;106;91;68;52;0
"QP049007";2587;30233;154508;53,8;42,5;39,3;13,4;16,1;2,6;40,2;;19,9;18,6;0;880;1927;217;449;45;169;74;73;86;835;149;144;218;130;109;85;0
"QP049008";1959;1959;14759;53;40,5;40,1;;;2,1;45,6;;17,9;18,3;0;726;1693;123;359;59;185;93;72;23;718;111;104;194;127;95;87;0
"QP049009";1785;8068;54186;52,7;39;36,2;;;1,8;43,7;;25,2;22;0;641;1386;146;323;42;130;53;30;;574;89;105;156;99;83;42;0
"QP049010";2136;8068;54186;54,3;40,2;38,5;17,2;;2;47,1;;35,9;35,6;0;733;1680;108;379;55;191;96;53;33;691;109;127;197;121;75;62;0
"QP049011";1966;8068;54186;50;40,1;36,9;15,8;19;1,9;48,4;;23,1;24,9;0;712;1433;146;396;43;127;49;104;18;552;101;97;144;88;77;45;0
"QP049012";2181;8068;54186;54,2;37,6;37,1;16,3;19,4;1,9;52,9;;16,1;15,6;0;805;1555;160;465;39;141;48;44;;576;116;106;157;101;66;30;0
"QP049013";3591;3591;26599;53,2;34,3;31,6;24,2;28,6;1,1;47,8;3,3;10,5;10;0;1398;2743;311;804;81;202;73;108;74;1054;164;164;258;215;155;98;0
"QP050001";1162;1162;10246;55;26,7;23,1;31,9;37,7;0,7;58,2;0,9;4,3;3,7;0;495;848;92;313;27;63;19;29;5;262;39;38;68;61;34;22;0
"QP050002";1928;3364;19024;55,7;33,4;31,5;22,4;27,1;1;63,8;;8,3;8,4;0;723;1298;155;431;43;94;28;53;6;446;58;63;128;101;58;38;0
"QP050003";1436;3364;19024;55,6;30,7;28,9;;24,4;;65,3;;10,8;;0;587;1024;109;383;25;70;25;42;18;345;40;64;88;62;59;32;0
"QP050004";1318;1318;8454;53,1;34,5;29,9;23,2;28,1;1,2;57;1,6;8,2;6,5;0;602;1007;109;388;47;58;14;75;7;317;40;43;79;75;48;32;0
"QP050005";6288;9133;79144;52,5;35,7;33,8;18,9;22,2;1,4;53,6;;13,2;11,9;0;2452;4382;450;1485;192;325;91;216;61;1421;255;227;374;256;193;116;0
"QP050006";1510;9133;79144;55,1;37,6;34,4;;19,6;1,6;44,6;;;;0;583;1169;99;323;44;117;37;59;15;427;70;72;107;79;58;41;0
"QP050007";1335;9133;79144;52,3;36,4;;;;;49,1;;;;0;411;768;79;254;17;61;25;26;;276;38;49;61;53;42;33;0
"QP051001";3619;6448;44246;50,1;37,2;32,2;21;23,6;1,4;51,1;;19,2;17,5;0;1280;2822;284;610;103;283;93;111;9;1154;205;211;297;205;139;97;0
"QP051002";2829;6448;44246;53,8;38,1;35,7;16,8;20,1;1,9;52,5;;10,8;9,5;0;1043;2004;233;600;67;143;55;101;;747;123;116;199;130;107;72;0
"QP051003";12005;35305;182211;51,9;47,5;44,9;10,9;11,9;3,5;37,7;8,3;31,2;31,7;0;4059;9371;1038;1986;245;790;362;278;345;4266;668;659;1155;827;516;441;0
"QP051004";12297;35305;182211;53,5;37,6;34,1;19;21,8;1,6;43,8;2,4;18;16,9;0;4456;9795;962;2165;329;1000;394;320;127;4014;695;691;1044;759;429;396;0
"QP051005";4691;35305;182211;54,8;40,6;37,5;18;20,5;1,9;35,3;3,2;23,5;22,7;0;1511;3758;325;608;149;429;185;93;15;1669;258;256;439;324;207;185;0
"QP051006";2540;35305;182211;55,2;36,5;33,5;17,4;21,5;1,8;46,3;;8,8;;0;923;1839;212;496;63;152;44;66;9;698;109;112;173;136;88;80;0
"QP051007";907;35305;182211;54,9;41,2;38;;;;34,2;;;;0;304;818;89;105;18;92;45;27;;406;73;77;96;72;53;35;0
"QP051008";1269;35305;182211;56,3;34,7;31,3;21,1;25,1;1,5;38,1;;10,2;9,1;0;391;849;92;206;20;73;32;29;;364;47;61;86;55;57;58;0
"QP051009";1596;35305;182211;51,2;41,6;40;;;;38,3;;16,9;;0;523;1198;95;269;32;127;50;39;17;516;74;85;124;93;86;54;0
"QP051010";1475;2588;11743;57,1;27,7;22,4;28,8;34,1;0,8;55,6;;7,1;7;0;398;758;69;233;31;65;30;12;;265;35;30;80;45;45;30;0
"QP051011";1113;2588;11743;52,8;35,3;35,4;25,6;;1,1;46,9;;18,9;19,4;0;415;807;61;244;37;73;29;11;;281;48;39;69;55;37;33;0
