"CODGEO";"POP_MUN";"POP_COM_QP";"POP_COM";"TX_F";"TX_TOT_0A24";"TX_F_0A24";"TX_TOT_60ETPLUS";"TX_F_60ETPLUS";"IND_JEUNE";"TX_TOT_MEN1";"TX_TOT_MEN6";"TX_TOT_ET";"TX_F_ET";"NOTE_RP";"A";"PERCOU";"AM";"AI";"ACSSENF";"ACAVENF";"AC3ENF";"A_NETUD_24";"A_ETUD";"ENF";"ENF_2";"ENF_3_5";"ENF_6_10";"ENF_11_14";"ENF_15_17";"ENF_18_24";"NOTE_CNAF"
"QP011008";5241;10411;55375;52,8;34,8;34,7;20,4;24,1;1,2;62,3;;10,4;9,3;0;2729;4272;427;1904;166;232;53;349;148;1151;224;181;269;216;157;104;0
"QP011009";1736;10411;55375;52,8;42,3;37,5;;22,9;1,9;36,3;;;;0;646;1418;156;318;41;131;41;34;;603;87;104;164;116;72;60;0
"QP011010";3059;3059;11248;49,8;37,7;32,2;22,2;25,2;1,4;35,1;;8,9;8,3;0;911;1904;202;446;94;169;57;105;5;754;113;124;211;154;92;60;0
"QP012001";1535;1535;11659;49,4;40;38,1;17,2;17,9;2,1;36,5;4,4;32,3;31,8;0;463;1103;73;215;43;132;55;37;5;463;64;81;126;88;66;38;0
"QP012002";1955;1955;11781;51,9;38,5;36,6;21,4;24,7;1,3;56,7;;20,4;17,9;0;773;1387;127;492;46;108;41;110;18;468;76;62;121;104;67;38;0
"QP013001";930;6577;32793;52,7;43,1;39,3;;17,9;2,4;20;;19,3;17,4;0;286;731;40;109;43;94;34;20;;306;38;46;85;64;42;31;0
"QP013002";1056;3062;13520;40,6;31,9;34,2;29,5;;1;27;;14;14,5;0;299;621;46;164;27;62;31;10;;233;26;38;72;49;26;22;0
"QP013003";1904;5069;16105;54,8;38,9;34,1;17,3;18,8;1,8;36,3;;8,2;9,1;0;654;1529;161;293;40;160;64;30;;671;88;91;164;137;91;100;0
"QP013004";1224;1224;21376;51,9;40,9;36,1;;;;20,2;;;;0;267;728;84;82;11;90;26;23;;361;33;62;113;63;61;29;0
"QP013005";3044;48819;76610;53,7;41,4;37,1;17,6;19,4;2;36,1;;18,7;20;0;1057;2706;228;460;79;290;152;44;;1267;174;192;319;260;161;161;0
"QP013006";1009;2004;16012;50,2;34,8;27,9;23,7;24,4;1,2;35,3;;32,3;30;0;230;557;51;95;12;72;24;12;;241;28;40;73;49;37;14;0
"QP013007";1419;1419;11058;48,7;44,1;39,7;;;;21;11,1;16;19,6;0;;;;;;;;;;;;;;;;;5
"QP013008";883;7058;57093;58,3;43,8;37,4;13,3;13,8;2,8;33,9;;10,6;10;0;275;624;74;128;20;53;22;12;;270;25;21;70;65;37;52;0
"QP013009";1810;7058;57093;51,2;33,2;37,4;;;1,2;50,5;;14,8;;0;688;1348;89;416;36;147;42;45;10;475;90;73;124;81;66;41;0
"QP013010";2104;8454;51031;58;31,5;29;30,5;32,8;0,8;49,2;;16;14,9;0;846;1794;159;450;72;165;69;34;;708;104;123;172;134;87;88;0
"QP013011";4102;8454;51031;52,5;38,3;35,8;23,6;23;1,4;32,3;4,2;25,6;24,3;0;1275;3157;249;565;92;369;172;51;;1411;197;203;367;295;184;165;0
"QP013012";2248;8454;51031;52,9;34,1;33,3;24,9;23;1,2;29,9;;28;27,7;0;719;1661;165;317;58;179;72;34;;703;91;103;157;149;115;88;0
"QP013013";4509;4509;15195;49,2;38,1;37,3;21,1;21,5;1,6;44,8;5,1;31,9;26,4;0;968;2100;180;506;59;223;88;88;9;848;156;142;250;143;96;61;0
"QP013014";6019;12438;143097;55,7;33,7;28,4;24,1;27,4;1,2;35,1;3,3;11,4;11,9;0;2080;4535;391;1058;148;483;197;80;;1810;226;254;446;359;285;240;0
"QP013015";1146;12438;143097;55,8;36,7;32,5;;24,8;;39,7;;15,6;16,2;0;511;1061;116;266;31;98;33;14;;419;54;54;116;94;60;41;0
"QP013016";4232;12438;143097;52;33,1;31;25,1;28;1;41,6;;16,8;14;0;1534;3228;270;834;111;319;133;67;36;1255;143;204;348;254;170;136;0
"QP013017";1041;12438;143097;54;39,5;33,5;22,5;;1,6;38;;18,6;21,4;0;;;;;;;;;;;;;;;;;5
"QP013018";6341;7485;33101;56,4;41,5;37,9;17,4;19,4;2;31,9;5,2;9;7,9;0;2213;5451;536;945;138;594;277;130;7;2503;327;375;643;508;348;302;0
"QP013019";1144;7485;33101;55;42,6;39,6;;;3;27,1;;;8;0;420;1103;110;152;22;136;56;23;;524;75;96;154;107;52;40;0
"QP013020";2269;2269;47208;55,1;36,5;33,8;22,3;24,8;1,3;30,4;2,1;10,1;9,5;0;772;1747;201;348;51;172;72;38;;746;115;118;196;159;98;60;0
"QP013021";1420;5036;48420;55,7;40,5;36,9;;;1,9;32,8;6,5;17,9;17,1;0;481;1223;131;186;40;124;61;22;;574;63;81;156;108;94;72;0
"QP013022";1807;5036;48420;52,4;39,4;38;18,2;19,5;1,8;27,2;2,4;16,2;17,1;0;;;;;;;;;;;;;;;;;5
"QP013023";1809;5036;48420;50,4;39,5;36,2;15,3;14,6;2,1;30,7;4,4;15,6;12,7;0;529;1281;146;226;27;130;69;35;;587;85;101;151;122;74;54;0
"QP013024";2359;5992;16569;55,9;40,1;38,3;22;24;1,6;30,7;6,9;8,6;8,7;0;725;1643;159;352;63;151;63;49;;699;86;102;184;157;94;76;0
"QP013025";3633;5992;16569;53,1;28,6;27,6;33,3;33,7;0,7;41,5;;12,5;9,1;0;1240;2413;225;698;100;217;79;54;;841;113;120;221;166;113;108;0
"QP013026";995;2004;16012;47,1;27,8;;;;0,9;51,7;;22,8;;0;272;525;49;153;23;47;10;44;;183;33;17;53;41;28;11;0
"QP013027";1012;1012;2892;48,6;29,4;28;25,4;28,2;1;46,3;3,2;20,4;19,2;0;224;550;42;95;15;72;31;13;;243;41;37;74;46;27;18;0
"QP013028";2006;3062;13520;47,9;39,1;36,1;20,6;20;1,6;28,6;;37,1;34;0;;;;;;;;;;;;;;;;;5
"QP013029";3455;5124;45400;53,6;44,2;37,4;17,4;19,3;2,2;28,3;7,1;14,8;15,5;0;1072;2740;245;445;81;301;136;46;;1279;151;208;341;247;193;139;0
"QP013030";1669;5124;45400;55,2;36,6;34;18,1;19,1;1,8;30,5;;19,6;18,6;0;484;1143;132;178;46;128;41;22;;482;72;73;116;92;73;56;0
"QP013031";5647;6577;32793;52,6;35,6;33,7;19,4;20,5;1,6;37,9;;19,5;16,8;0;1914;4574;369;821;143;581;214;146;6;1929;291;341;522;359;237;179;0
