CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
200040400;CC du Pays Ribéracois;8833;18973;13425,0;13630,7;18303,6;23885,3;10254,7;9826,9;12474,0;14548,1;16464,3;20279,3;22536,0;25490,5;31107,0;3,2;3,9;0,3;48,6;6,5;41,1;12,0;5,2;1,8;1,9;1,5;-13,4
200040418;CC du Pays de Serres en Quercy;3713;8122;5710,1;12469,5;16888,2;22613,3;10143,8;8857,5;11524,3;13354,0;14976,5;18713,9;20991,7;24266,7;31012,0;3,5;4,3;0,3;42,6;9,5;39,9;15,2;5,7;1,9;2,4;1,4;-12,9
200040426;CC du Val de L'oise;6685;16364;10957,2;14542,7;19537,6;25297,8;10755,1;10929,3;13480,5;15663,0;17606,7;21507,7;23830,7;27216,5;33282,7;3,0;3,8;0,3;61,0;8,7;29,5;10,7;5,5;2,6;1,8;1,2;-15,4
200040442;CC Luberon Monts de Vaucluse;20753;49052;33266,1;13025,2;18214,0;24769,5;11744,3;9288,0;11972,0;14113,3;16165,3;20422,0;23157,0;26855,0;34035,4;3,7;4,6;0,3;61,3;6,2;30,3;12,3;6,1;2,4;1,9;1,8;-16,2
200040459;CA Montélimar-Agglomération;27618;64348;43727,3;14347,0;19601,3;26439,2;12092,2;10311,3;13153,0;15455,8;17496,1;21894,0;24704,0;28578,0;35489,3;3,4;4,2;0,3;63,0;6,3;29,9;11,4;5,8;2,5;1,6;1,7;-16,4
200040475;CC Loué - Brûlon - Noyen;7283;18370;12073,5;15197,3;19287,3;23788,7;8591,3;11812,8;14252,8;16053,8;17724,4;20747,8;22732,7;25166,0;29516,7;2,5;3,0;0,2;66,6;6,8;26,0;8,6;5,5;3,3;1,0;1,1;-13,5
200040483;CA Valence-Romans Sud Rhône-Alpes;92734;214544;146144,3;14467,8;19649,0;26072,0;11604,2;10580,3;13309,2;15543,3;17598,8;21795,0;24440,7;28144,0;34867,5;3,3;4,0;0,3;63,9;5,0;29,6;11,2;6,2;2,6;1,8;1,8;-15,9
200040491;CC Porte de Drômardèche;18647;45644;30343,5;14496,8;18998,8;24210,4;9713,6;10745,9;13400,0;15470,9;17232,4;20826,1;22923,3;25803,3;30687,3;2,9;3,4;0,2;63,7;4,9;29,0;9,9;6,2;3,3;1,3;1,5;-13,7
200040509;CC du Crestois et du Pays de Saillans Coeur de Drôme;6783;14771;10309,4;13829,0;18318,7;24395,5;10566,5;10333,1;12905,8;14806,0;16594,8;20341,0;22690,7;26289,0;32092,4;3,1;3,9;0,3;53,7;6,2;34,7;13,5;6,5;2,6;2,0;1,9;-14,6
200040541;CC Saône Beaujolais;13870;34291;22721,8;15798,6;20432,2;25888,0;10089,4;12094,0;14744,5;16728,0;18645,3;22206,2;24472,0;27496,5;33029,3;2,7;3,4;0,2;68,1;7,2;23,9;10,5;5,1;2,9;1,1;1,1;-14,8
200040558;CC Ecueillé-Valençay;5304;10857;7822,8;14144,0;18243,0;23122,7;8978,7;10398,4;13167,0;15021,0;16613,3;19998,7;21899,3;24634,0;29820,7;2,9;3,5;0,2;44,8;6,9;45,6;10,8;4,8;1,8;1,8;1,2;-12,9
200040566;CC de L'ouest Rhodanien;20948;49763;33524,3;15105,2;19487,3;24578,0;9472,8;11332,1;14049,0;16051,2;17802,1;21254,6;23329,3;26106,7;31528,1;2,8;3,3;0,2;62,5;5,0;30,8;9,4;5,9;2,9;1,6;1,4;-13,6
200040574;CC Beaujolais Pierres Dorées;18560;48695;31722,5;18735,0;24517,7;32469,0;13734,0;14170,0;17385,0;19900,5;22191,3;27194,0;30477,6;34918,5;42765,0;3,0;3,7;0,3;73,2;5,3;24,9;11,8;3,1;2,1;0,5;0,5;-18,3
200040590;CA Villefranche Beaujolais Saône;32783;77965;52307,8;14527,9;19864,6;26359,2;11831,3;10643,3;13354,0;15643,0;17828,8;22099,1;24691,9;28377,0;34928,0;3,3;4,0;0,3;68,1;4,6;26,6;10,1;6,6;2,9;1,8;1,9;-16,0
200040616;CC du Pays Vernois et du Terroir de la Truffe;3695;8654;5907,6;14066,6;18701,0;24047,6;9981,1;10296,5;13039,6;14980,0;16793,8;20570,0;22736,2;25721,0;31626,7;3,1;3,8;0,3;54,7;8,3;33,8;11,9;4,9;2,1;1,5;1,2;-13,6
200040624;CC Pays d'Apt-Luberon;13130;29293;20335,0;13247,8;18634,0;25210,7;11962,9;9342,8;12165,0;14331,0;16499,0;20720,3;23454,0;27239,1;34316,1;3,7;4,6;0,3;49,3;8,6;38,6;14,5;5,2;2,0;1,7;1,6;-16,2
200040657;CC de la Matheysine du Pays de Corps et des Vallées du Valbonnais;8412;18934;13046,7;15338,0;20158,7;25735,3;10397,3;11718,5;14302,7;16462,2;18275,0;22199,6;24448,7;27339,1;32651,3;2,8;3,3;0,2;60,7;4,5;34,6;9,4;4,7;2,3;1,3;1,1;-13,9
200040673;CA Poissy-Achères-Conflans Sainte Honorine;37667;94125;62077,2;16130,0;22716,2;31038,7;14908,7;11544,0;14737,0;17444,0;20004,0;25706,0;29038,0;33342,8;40460,0;3,5;4,1;0,3;81,7;2,3;22,9;7,6;4,5;2,3;1,0;1,2;-19,0
200040681;CC Enclave des Papes-Pays de Grignan;9793;22766;15598,2;13372,0;18565,0;24881,0;11509,0;9715,6;12325,4;14409,3;16488,0;20623,3;23235,5;26821,3;33520,4;3,5;4,2;0,3;55,2;6,5;35,7;12,0;5,5;2,3;1,6;1,6;-14,9
200040715;Grenoble-Alpes-Métropole;186986;418809;288367,2;15486,0;21407,4;29090,0;13604,0;11052,7;14177,0;16710,0;19054,6;24014,8;27169,0;31414,7;38828,3;3,5;4,3;0,3;70,2;4,4;26,8;11,1;5,2;2,1;1,5;1,6;-17,7
