CODGEO;LIBGEO;NBMEN18;NBPERS18;NBUC18;Q118;Q218;Q318;Q3_Q1;D118;D218;D318;D418;D618;D718;D818;D918;RD;S80S2018;GI18;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18
200000172;CC Faucigny-Glières;11098;27102;18081,9;18840;25420;35000;16160;13620;17380;20170;22650;28530;32490;38320;48360;3,6;4,3;0,290;86,2;79,3;3,1;3,8;18,8;9,1;3,0;1,6;0,8;0,6;-17,1
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;14078;34889;23045,6;17390;21500;26160;8770;13860;16440;18280;19930;23190;25070;27530;31380;2,3;2,6;0,191;76,1;69,9;3,0;3,2;26,7;6,3;5,2;3,0;1,4;0,8;-14,3
200000545;CC des Portes de Romilly-sur-Seine;8223;18308;12603,1;13050;17940;23230;10190;9840;12160;14050;16050;19890;22020;24520;29390;3,0;3,6;0,251;60,4;53,3;3,8;3,3;36,5;6,9;10,0;3,5;4,0;2,5;-13,8
200000628;CC Rhône Lez Provence;10147;24422;16424,0;14220;19440;25780;11560;10490;13010;15310;17440;21740;24350;27720;33680;3,2;3,8;0,261;68,0;60,7;3,7;3,6;30,7;8,8;7,3;2,9;2,7;1,7;-14,8
200000800;CC Coeur de Sologne;4557;9924;6949,5;16970;21380;26810;9840;13110;15900;17900;19650;23330;25520;28640;34110;2,6;3,3;0,236;64,5;56,9;2,9;4,7;36,8;10,1;4,5;1,9;1,7;0,9;-15,9
200000925;CC de la Plaine Dijonnaise;8564;21899;14444,3;18920;23600;28410;9490;14790;17750;19990;21830;25250;27190;29980;34580;2,3;2,8;0,199;79,2;73,4;2,2;3,6;26,4;6,4;4,1;2,3;1,2;0,6;-16,1
200000933;CC Sauldre et Sologne;6391;13215;9452,9;16220;20720;26530;10320;12500;15110;17100;18920;22550;24930;28170;33550;2,7;3,4;0,246;60,5;51,6;2,5;6,4;38,7;11,0;5,1;1,8;2,1;1,2;-15,3
200004802;CC du Pays de Fayence;11897;28052;19105,7;16270;22710;30410;14140;11390;14810;17600;20230;25250;28460;32760;40210;3,5;4,5;0,292;67,8;57,3;3,3;7,2;33,6;13,8;3,8;1,7;1,4;0,7;-19,0
200005932;CC des Portes de Sologne;6486;15435;10440,1;18850;24090;31480;12630;14290;17520;19950;22080;26600;29620;33550;40770;2,9;3,7;0,261;74,5;68,5;2,2;3,8;30,8;10,7;3,1;1,7;0,8;0,6;-19,1
200005957;CC de la Région de Rambervillers;5335;12380;8437,5;14370;19280;24890;10520;10720;13290;15410;17400;21300;23570;26530;31700;3,0;3,6;0,252;65,7;57,1;3,3;5,3;31,8;8,8;7,6;3,0;2,9;1,7;-13,9
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22751;50280;35007,1;17440;22760;29690;12250;13130;16200;18560;20660;25020;27910;32230;41940;3,2;4,3;0,298;73,1;59,6;2,3;11,2;28,1;14,1;3,9;1,6;1,4;0,9;-19,2
200006716;CC du Nogentais;6805;15840;10742,2;15670;20690;27170;11510;11930;14550;16820;18820;22910;25570;29100;35650;3,0;3,8;0,262;72,3;63,8;2,8;5,7;28,4;9,5;6,2;2,7;2,1;1,4;-16,4
200006930;CC du Haut-Allier;2225;4522;3260,5;15070;19620;25030;9960;11490;13970;16110;17870;21370;23610;26520;32230;2,8;3,5;0,242;59,6;50,1;2,3;7,2;38,4;10,4;5,4;1,9;2,3;1,2;-13,8
