CODGEO;LIBGEO;NBMEN17;NBPERS17;NBUC17;Q117;Q217;Q317;Q3_Q1;D117;D217;D317;D417;D617;D717;D817;D917;RD;S80S2017;GI17;PACT17;PTSA17;PCHO17;PBEN17;PPEN17;PPAT17;PPSOC17;PPFAM17;PPMINI17;PPLOGT17;PIMPOT17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200007177;CC Pays de Nérondes;2127;4616;3230,8;14390;19060;24160;9770;10780;13250;15310;17140;20610;22980;25340;29970;2,8;3,296;0,232;58,8;50,9;3,2;4,7;38,6;8,3;6,6;2,4;2,9;1,4;-12,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200010650;CA du Grand Dole;24454;54231;37569,5;15610;20640;26490;10880;11620;14400;16750;18800;22730;25160;28270;34140;2,9;3,541;0,247;67,1;59,9;2,7;4,4;34,1;7,7;6,0;2,3;2,2;1,5;-14,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200010700;CA Caux Seine Agglo;31432;76841;51305,0;15720;20700;26590;10870;12040;14600;16790;18770;22840;25210;28280;33680;2,8;3,284;0,234;73,2;66,3;3,2;3,7;28,4;6,4;6,0;2,7;2,0;1,3;-14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200011773;CA Annemasse-les Voirons-Agglomération;36427;80508;55310,5;15550;25320;40960;25410;10320;13880;17410;21050;30340;36860;46120;61220;5,9;7,527;0,382;83,8;76,4;4,1;3,3;19,5;8,2;3,2;1,1;1,2;1,0;-14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200011781;CC Portes du Berry entre Loire et Val d'Aubois;4429;9659;6751,1;15610;19930;24630;9030;11770;14600;16620;18290;21580;23490;26120;30790;2,6;3,089;0,219;63,8;56,3;3,0;4,5;37,2;7,0;5,2;2,0;2,2;1,0;-13,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200012060;CC Petite Montagne;2815;6178;4314,0;15770;20100;25410;9640;12170;14780;16790;18400;22040;24150;27100;31840;2,6;3,119;0,222;66,5;56,8;3,3;6,4;34,9;7,5;4,4;2,2;1,4;0,9;-13,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200013050;CC Sauer-Pechelbronn;6984;17160;11555,6;18230;22970;28830;10600;14260;17070;19310;21180;24950;27260;30610;36290;2,5;3,059;0,222;75,9;69,3;2,5;4,1;29,3;7,3;2,9;1,7;0,8;0,5;-15,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200015162;CC de l'Oriente;2218;4758;3364,9;11970;17240;24460;12490;8720;10960;13020;15040;19880;22660;26780;33170;3,8;5,090;0,318;60,6;47,1;2,9;10,6;36,0;10,3;7,4;1,7;4,0;1,7;-14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200016905;CC du Pays de Lamastre;2993;6333;4504,6;13440;17880;23040;9600;9930;12630;14380;16050;19630;21680;24520;29670;3,0;3,620;0,251;56,2;45,8;3,6;6,9;39,0;10,2;6,5;2,2;2,7;1,5;-11,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200017341;CC Lodévois et Larzac;6763;14752;10293,8;12860;17620;23470;10620;9440;11780;13840;15640;19650;22110;25260;30700;3,3;3,944;0,266;60,0;48,8;3,9;7,2;35,3;8,9;9,2;2,8;3,9;2,5;-13,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200017846;CA Étampois Sud-Essonne;21426;53714;35469,6;16180;21600;27940;11750;11790;14810;17380;19540;23940;26480;29820;35740;3,0;3,650;0,251;78,3;71,8;2,9;3,6;25,2;8,1;5,5;2,7;1,6;1,1;-17,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200018083;CC de Desvres-Samer;8796;22832;14933,4;14720;19400;24690;9970;11380;13710;15730;17570;21350;23450;26170;31280;2,7;3,263;0,233;73,1;64,1;3,2;5,8;25,5;8,0;6,9;3,2;2,3;1,4;-13,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200018166;CC Le Grésivaudan;41332;103453;68720,5;19690;25800;33880;14190;14920;18300;20910;23310;28510;31780;36410;44730;3,0;3,694;0,261;79,4;71,9;2,5;5,0;25,2;11,2;2,9;1,6;0,7;0,5;-18,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200018406;CC du Romorantinais et du Monestois;14898;32786;22856,2;15030;19880;25220;10190;10890;13800;16150;18040;21650;23910;26850;32730;3,0;3,578;0,245;61,4;54,3;3,3;3,9;38,4;7,9;6,4;2,3;2,5;1,6;-14,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200018521;CC du Val de Bouzanne;2734;5913;4149,8;14860;19610;24220;9370;11060;13810;15750;17580;21060;23070;25570;30320;2,7;3,322;0,233;63,1;53,4;3,1;6,6;36,4;8,3;5,0;2,1;1,9;1,0;-12,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200022986;CC du Grand Pic Saint-Loup;19114;48867;32367,0;19150;25460;34000;14850;13990;17760;20410;22950;28390;31910;37060;45960;3,3;4,125;0,280;76,4;64,3;2,8;9,3;28,7;12,0;2,9;1,5;0,9;0,6;-20,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023075;CC du Pays de Maîche;8053;18458;12588,6;18870;26050;35250;16380;13920;17440;20290;23160;29290;33100;37680;45310;3,3;3,775;0,258;89,3;80,8;4,2;4,2;20,9;5,5;2,7;1,2;0,9;0,5;-18,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023125;CC Les Portes Briardes entre Villes et Forêts;17344;45926;29985,4;18680;25120;33230;14550;13330;17080;20110;22680;27920;31250;35700;43310;3,2;3,962;0,268;82,7;75,8;2,8;4,1;25,1;8,9;3,5;1,8;1,0;0,7;-20,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023240;CC Pays de Nemours;12353;29544;19931,7;15570;21140;27620;12050;11360;14360;16780;19010;23480;26130;29600;35770;3,1;3,908;0,267;71,1;64,0;3,0;4,2;30,1;9,3;5,8;2,4;2,0;1,3;-16,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023299;CC Coeur de Tarentaise;4226;9004;6335,0;15960;21510;28200;12240;11590;14680;17170;19310;23920;26620;30350;37880;3,3;4,152;0,278;75,9;60,4;4,7;10,8;23,8;14,1;4,0;1,8;1,2;1,1;-17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023307;CA du Grand Villeneuvois;21946;48259;33618,1;14100;18840;24700;10600;10520;12990;15060;17040;20930;23250;26410;32080;3,0;3,758;0,261;60,1;50,6;3,5;6,1;37,3;10,0;7,2;2,5;2,9;1,8;-14,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023372;CC de la Vallée de Chamonix-Mont-Blanc;6696;14268;10042,0;16350;22450;31070;14720;11690;15000;17650;19950;25330;28610;33600;43260;3,7;4,997;0,316;75,6;61,3;3,3;11,0;23,9;17,8;2,3;1,2;0,6;0,5;-19,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023414;Métropole Rouen Normandie;208848;455900;316587,5;14800;20550;27520;12730;10670;13520;16010;18300;22950;25760;29670;36640;3,4;4,207;0,281;72,1;64,0;3,3;4,8;29,8;7,3;7,2;2,4;2,8;2,0;-16,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023620;CC de la Gascogne Toulousaine;8438;21602;14125,6;18430;24180;30980;12550;13830;17150;19570;21920;26530;29250;33060;39400;2,8;3,443;0,242;85,6;78,5;2,6;4,4;19,0;8,4;4,0;2,1;1,1;0,8;-17,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023737;CA du Grand Cahors;19092;39988;28427,0;15320;20630;27110;11790;11210;14140;16460;18590;22850;25560;29130;35420;3,2;3,807;0,261;62,2;53,1;3,1;6,0;37,5;10,1;5,8;1,8;2,4;1,5;-15,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023778;CC du Pays de Saint-Gilles-Croix-de-Vie;24733;51655;36905,1;16910;21440;27140;10230;13280;15890;17910;19710;23390;25720;28910;34560;2,6;3,137;0,228;52,2;44,5;3,0;4,7;48,0;11,5;3,4;1,5;1,1;0,8;-15,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023794;CC de Blaye;8792;20053;13797,2;14740;19760;26090;11350;10970;13660;15790;17800;21970;24360;28040;34210;3,1;3,692;0,256;69,0;60,4;3,7;5,0;31,1;7,7;6,2;2,1;2,7;1,4;-14,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200023919;CC Gâtinais Val de Loing;7612;18889;12583,0;16120;21070;26790;10660;11700;14840;17070;19120;23110;25510;28460;34180;2,9;3,504;0,243;72,7;64,6;3,1;5,0;29,0;8,3;5,5;2,6;1,8;1,1;-15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200026573;CC Haut-Jura Saint-Claude;9051;20581;14152,8;15340;20510;26750;11420;11560;14170;16500;18610;22680;25280;28830;35210;3,0;3,643;0,253;69,3;62,5;3,3;3,5;32,4;7,6;5,4;2,3;1,7;1,4;-14,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
