CODGEO;LIBGEO;NBMEN19;NBPERS19;NBUC19;Q119;Q219;Q319;Q3_Q1;D119;D219;D319;D419;D619;D719;D819;D919;RD;S80S2019;GI19;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19
200000172;CC Faucigny-Glières;11223;27070;18148,7;18780;25520;35110;16330;13440;17100;20230;22700;28510;32540;38500;49050;3,6;4,500;0,294;85,7;78,6;3,1;4,0;19,3;8,5;3,1;1,5;1,0;0,6;-16,6
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;14399;35413;23482,3;17480;21700;26410;8930;13960;16500;18380;20040;23410;25280;27740;31760;2,3;2,700;0,193;75,2;69,1;3,0;3,1;26,8;6,1;5,4;2,8;1,8;0,8;-13,5
200000545;CC des Portes de Romilly-sur-Seine;8318;18399;12698,0;13200;18120;23360;10150;9780;12080;14250;16210;20120;22140;24720;29200;3,0;3,600;0,249;59,4;52,4;3,7;3,3;36,5;6,1;10,8;3,5;4,8;2,5;-12,8
200000628;CC Rhône Lez Provence;10314;24616;16606,4;14310;19770;26020;11710;10540;13160;15460;17660;21850;24430;27740;33130;3,1;3,800;0,257;66,9;59,4;3,8;3,7;31,2;8,0;7,9;2,9;3,3;1,7;-14,0
200000800;CC Cœur de Sologne;4606;9927;6974,5;17090;21640;27170;10080;13470;15990;18000;19830;23640;25840;28720;34480;2,6;3,200;0,235;64,4;56,8;2,6;5,0;36,7;8,7;5,0;1,9;2,2;0,9;-14,8
200000925;CC de la Plaine Dijonnaise;8702;22059;14601,8;19210;23660;28650;9440;14870;18160;20250;21960;25320;27500;30210;34920;2,3;2,800;0,201;78,6;72,5;2,1;4,0;26,5;6,3;4,1;2,1;1,4;0,6;-15,5
200000933;CC Sauldre et Sologne;6479;13218;9506,7;16390;20770;26250;9860;12570;15480;17280;19060;22650;24890;27820;33610;2,7;3,400;0,241;58,9;50,0;2,6;6,3;39,7;10,3;5,4;1,7;2,6;1,1;-14,3
200004802;CC du Pays de Fayence;12000;28207;19223,9;16410;22840;30630;14230;11330;14910;17830;20340;25660;28800;32980;40490;3,6;4,600;0,293;67,7;56,9;3,3;7,5;33,3;13,1;4,0;1,6;1,7;0,7;-18,1
200005932;CC des Portes de Sologne;6596;15489;10526,5;19070;24450;31490;12430;14450;17790;20210;22300;26750;29650;33510;40250;2,8;3,500;0,254;73,2;67,5;2,2;3,5;31,3;10,2;3,5;1,7;1,2;0,6;-18,2
200005957;CC de la Région de Rambervillers;5391;12404;8479,6;14580;19530;25090;10510;10840;13470;15650;17710;21430;23700;26740;31620;2,9;3,500;0,246;64,9;56,5;3,1;5,3;32,1;7,9;8,3;3,0;3,6;1,7;-13,2
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;22775;49863;34857,8;17570;22990;30000;12430;13360;16320;18720;20820;25210;28150;32480;41980;3,1;4,200;0,294;71,9;58,7;2,2;11,0;28,6;14,5;4,1;1,6;1,7;0,8;-19,1
200006716;CC du Nogentais;6839;15773;10740,3;15800;21000;27140;11340;11920;14680;16950;19000;22970;25590;29150;35690;3,0;3,700;0,259;71,8;63,1;2,6;6,1;28,8;8,7;6,6;2,7;2,5;1,4;-15,9
200006930;CC du Haut-Allier;2266;4541;3293,6;15510;19700;25210;9700;11650;14580;16300;18040;21620;23840;26970;31790;2,7;3,400;0,241;59,1;49,5;2,4;7,2;38,4;9,8;6,0;1,8;3,0;1,2;-13,3
200006971;CC du Perche;8461;17566;12526,6;16060;21020;26340;10280;11840;14810;17190;19190;22890;25010;27980;33020;2,8;3,500;0,240;58,8;50,5;2,7;5,6;40,3;9,2;6,3;2,1;2,8;1,4;-14,6
200007052;CC de la Marche Berrichonne;2732;5266;3896,9;14390;18520;23870;9480;10890;13510;15250;16750;20480;22590;25370;30010;2,8;3,500;0,243;49,0;38,7;2,3;8,0;47,3;10,8;5,3;1,5;2,9;0,9;-12,4
200007177;CC Pays de Nérondes;2101;4520;3177,0;15160;19890;24780;9620;11550;14220;16010;18030;21600;23810;26130;31360;2,7;3,300;0,234;58,1;49,7;2,6;5,8;38,3;9,0;7,3;2,4;3,5;1,4;-12,7
200010650;CA du Grand Dole;24695;53755;37521,3;16260;21400;27360;11100;12250;15040;17440;19480;23540;25940;29200;35270;2,9;3,500;0,247;67,0;60,1;2,4;4,5;34,6;7,7;6,3;2,2;2,8;1,3;-15,6
200010700;CA Caux Seine Agglo;31973;77127;51754,3;16390;21420;27320;10930;12550;15160;17480;19520;23540;25880;29070;34720;2,8;3,300;0,234;73,7;67,1;2,7;3,9;28,7;5,9;6,4;2,6;2,6;1,2;-14,7
