IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6017;DISP_Q117;DISP_MED17;DISP_Q317;DISP_EQ17;DISP_D117;DISP_D217;DISP_D317;DISP_D417;DISP_D617;DISP_D717;DISP_D817;DISP_D917;DISP_RD17;DISP_S80S2017;DISP_GI17;DISP_PACT17;DISP_PTSA17;DISP_PCHO17;DISP_PBEN17;DISP_PPEN17;DISP_PPAT17;DISP_PPSOC17;DISP_PPFAM17;DISP_PPMINI17;DISP_PPLOGT17;DISP_PIMPOT17;DISP_NOTE17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530203;Peloux;01053;Bourg-en-Bresse;14,6;14210;19390;26200;0,62;11130;13380;15010;17050;22080;24220;28130;34000;3,1;3,6;0,26;69,1;62,2;3,3;3,6;31,1;7,8;7,4;2,5;2,8;2,1;-15,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530301;Gare;01053;Bourg-en-Bresse;12,2;16400;22270;30300;0,62;12160;15160;17570;19640;24980;27980;33240;44130;3,6;4,7;0,31;73,2;66,0;2,7;4,5;31,1;11,2;4,1;1,1;1,7;1,3;-19,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530302;Brou;01053;Bourg-en-Bresse;21,6;13620;18720;25130;0,61;9940;12400;14740;16570;20700;23490;27210;34920;3,5;4,3;0,29;70,1;62,7;3,3;4,1;30,0;8,4;8,1;2,6;3,2;2,3;-16,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530401;Vennes-Ouest;01053;Bourg-en-Bresse;20,1;14180;18840;25120;0,58;9920;12600;15270;17040;20880;23460;26780;32820;3,3;4,0;0,27;61,3;53,6;3,3;4,4;36,8;8,4;7,9;3,1;2,9;1,9;-14,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530402;Vennes-Est;01053;Bourg-en-Bresse;9,0;16500;21820;28430;0,55;13040;15430;17570;19580;24270;26770;30710;36250;2,8;3,3;0,24;68,7;63,0;2,9;2,8;35,1;8,1;4,6;2,1;1,4;1,1;-16,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530501;Baudieres;01053;Bourg-en-Bresse;;16700;22980;30310;0,59;11760;15400;18120;20670;25210;28380;32870;41870;3,6;4,3;0,29;55,5;49,8;1,6;4,1;46,1;12,9;3,7;1,1;1,5;1,1;-18,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530502;Sardieres;01053;Bourg-en-Bresse;17,0;14510;19880;27050;0,63;10760;13330;15490;17740;22230;25520;29530;39070;3,6;4,8;0,32;65,2;56,2;2,4;6,6;34,3;12,1;5,9;2,5;1,9;1,5;-17,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530503;Croix Blanche;01053;Bourg-en-Bresse;39,8;10880;13930;18060;0,52;8710;10140;11580;12690;15440;17090;19150;23430;2,7;3,4;0,25;59,1;51,7;5,9;1,5;24,5;5,2;21,5;6,2;8,8;6,5;-10,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530601;Pont-des-Chevres;01053;Bourg-en-Bresse;34,2;11350;14770;20370;0,61;8760;10650;11980;13270;16930;19000;21860;26360;3,0;3,5;0,25;50,5;44,7;4,7;1,1;39,2;6,7;14,9;4,7;5,6;4,6;-11,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530602;Reyssouze-Ouest;01053;Bourg-en-Bresse;34,4;11140;14860;19860;0,59;8660;10410;12000;13470;16190;18570;20680;24800;2,9;3,4;0,24;52,4;45,7;5,0;1,7;36,7;5,5;16,0;5,3;6,0;4,7;-10,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
