IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6019;DISP_Q119;DISP_MED19;DISP_Q319;DISP_EQ19;DISP_D119;DISP_D219;DISP_D319;DISP_D419;DISP_D619;DISP_D719;DISP_D819;DISP_D919;DISP_RD19;DISP_S80S2019;DISP_GI19;DISP_PACT19;DISP_PTSA19;DISP_PCHO19;DISP_PBEN19;DISP_PPEN19;DISP_PPAT19;DISP_PPSOC19;DISP_PPFAM19;DISP_PPMINI19;DISP_PPLOGT19;DISP_PIMPOT19;DISP_NOTE19
692590303;Charles Perrault;69259;Vénissieux;45,8;10280;13900;18150;0,57;8490;9860;11110;12470;15050;17370;19340;23030;2,7;3,3;0,242;67,3;60,1;6,4;0,8;15,3;1,9;25,0;9,3;10,1;5,6;-9,5;0
692590401;Saint-Exupéry;69259;Vénissieux;28,7;12320;17480;23820;0,66;9510;11370;13260;15170;19690;22280;25030;28840;3,0;3,5;0,247;65,3;58,3;4,1;2,9;28,4;6,1;12,4;5,8;4,4;2,2;-12,2;0
692590402;Anatole France;69259;Vénissieux;60,1;9500;12030;15370;0,49;7810;9060;10020;11030;13130;14460;16430;19970;2,6;2,9;0,211;54,0;45,6;7,4;1,0;14,3;1,4;36,8;12,8;16,0;8,0;-6,5;0
692590403;Armstrong;69259;Vénissieux;34,3;11660;15220;19230;0,50;8900;10950;12410;14090;16480;18100;20700;24910;2,8;3,0;0,216;60,3;54,6;4,9;0,8;25,4;2,8;20,6;8,3;8,2;4,1;-9,1;0
692590501;Louis Pergaud;69259;Vénissieux;41,5;11070;14310;19630;0,60;8150;10150;11700;13000;16410;18460;20850;24900;3,1;3,4;0,239;55,3;49,6;4,5;1,2;29,3;3,2;21,6;7,8;9,0;4,8;-9,4;0
692590502;Léo Lagrange;69259;Vénissieux;48,4;10390;13380;17290;0,52;8240;9790;11020;12330;14700;16060;18450;21560;2,6;2,9;0,212;56,6;49,7;6,0;0,9;18,9;2,2;29,7;10,6;12,1;7,0;-7,4;0
692590601;Moulin à Vent;69259;Vénissieux;18,0;14790;20480;26340;0,56;10780;13550;15850;18270;22400;24850;28140;33130;3,1;3,6;0,244;75,3;69,6;3,7;2,0;24,6;5,9;9,0;3,4;3,5;2,1;-14,8;0
692590602;Ernest Renan;69259;Vénissieux;29,1;12470;18470;25510;0,71;9670;11900;13400;15970;21310;24190;27100;33180;3,4;4,0;0,275;68,9;63,4;3,5;2,0;27,6;7,0;10,8;3,6;4,6;2,6;-14,3;0
692590701;Georges Lévy;69259;Vénissieux;17,9;14840;19710;25890;0,56;10900;13720;15760;17860;21930;24510;27200;31500;2,9;3,2;0,230;68,7;62,5;3,3;2,9;32,1;5,6;7,7;3,3;2,7;1,7;-14,1;0
692590702;Joliot-Curie;69259;Vénissieux;22,9;13750;18240;22590;0,48;10400;12600;14580;16290;19770;21820;24170;28130;2,7;3,1;0,218;71,3;65,3;4,6;1,4;25,7;3,7;11,6;4,6;4,2;2,8;-12,3;0
692590801;Clos Verger;69259;Vénissieux;17,8;15130;20140;25800;0,53;10680;13780;15850;17980;22090;24490;27430;32830;3,1;3,7;0,256;71,5;65,4;3,7;2,4;28,2;7,3;8,0;3,2;3,0;1,8;-15,0;0
692590802;Parilly;69259;Vénissieux;24,0;13410;18600;24460;0,59;9420;12110;14540;16470;21270;23320;25890;30830;3,3;4,0;0,258;77,1;71,1;4,2;1,8;20,5;5,4;11,1;3,1;4,7;3,3;-14,1;1
692590803;Jules Guesde;69259;Vénissieux;33,4;11690;15900;21730;0,63;9050;10850;12500;14250;18100;20350;23250;27320;3,0;3,5;0,251;66,5;60,6;4,5;1,4;24,0;4,9;16,5;5,4;6,8;4,3;-11,9;0
692640201;Béligny Est;69264;Villefranche-sur-Saône;;10150;12550;16170;0,48;8470;9570;10820;11560;13550;14900;17610;20600;2,4;2,8;0,204;51,2;43,1;7,4;0,7;23,8;2,3;29,3;9,7;12,4;7,2;-6,6;0
