IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6016;DISP_Q116;DISP_MED16;DISP_Q316;DISP_EQ16;DISP_D116;DISP_D216;DISP_D316;DISP_D416;DISP_D616;DISP_D716;DISP_D816;DISP_D916;DISP_RD16;DISP_S80S2016;DISP_GI16;DISP_PACT16;DISP_PTSA16;DISP_PCHO16;DISP_PBEN16;DISP_PPEN16;DISP_PPAT16;DISP_PPSOC16;DISP_PPFAM16;DISP_PPMINI16;DISP_PPLOGT16;DISP_PIMPOT16;DISP_NOTE16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850106;Cours Berriat;38185;Grenoble;22,2;12969;18506;26345;0,72;9193;12119;13972;16450;21495;24373;28529;33882;3,7;4,430;0,282;83,3;74,3;4,6;4,3;17,3;6,8;8,5;1,4;3,6;3,4;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850107;Gabriel Peri;38185;Grenoble;15,9;14942;21523;30337;0,72;10623;13785;16561;19109;24609;28333;32615;38849;3,7;4,579;0,290;85,2;77,5;3,1;4,6;18,2;9,4;5,1;1,1;1,9;2,1;-17,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850108;Berriat-Ampere;38185;Grenoble;18,3;14219;20499;27683;0,66;9815;12818;15466;18031;23265;25839;29820;35382;3,6;4,296;0,276;84,9;77,2;4,5;3,1;17,7;7,4;6,5;1,6;2,4;2,5;-16,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850109;Saint-Bruno;38185;Grenoble;17,0;14641;21431;29421;0,69;10211;13306;15752;18531;23911;27524;31317;37615;3,7;4,573;0,287;82,9;75,2;4,2;3,5;19,7;8,0;6,5;1,6;2,7;2,2;-17,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850110;Waldec Rousseau;38185;Grenoble;18,6;14350;19931;27556;0,66;10110;12753;15648;17750;23077;26017;29939;36024;3,6;4,262;0,277;87,2;78,3;4,5;4,4;15,2;6,8;7,2;2,3;2,5;2,4;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850111;Lustucru;38185;Grenoble;10,1;16373;22964;31094;0,64;12485;14966;17837;20431;25683;29427;33348;40156;3,2;3,889;0,264;82,9;75,9;3,1;3,9;21,7;8,7;4,8;1,3;1,9;1,7;-18,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850201;Esplanade;38185;Grenoble;;15584;21993;31154;0,71;10451;13881;17069;19474;24369;28770;34060;44032;4,2;5,548;0,329;88,1;75,1;3,5;9,5;16,6;10,8;4,2;1,0;1,6;1,5;-19,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850202;Saint-Laurent-Lavalette;38185;Grenoble;27,5;12049;17377;26275;0,82;8937;11178;12877;14975;20345;23825;28692;36091;4,0;4,949;0,315;77,5;69,1;4,5;3,9;20,4;7,0;10,7;1,9;5,0;3,8;-15,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850203;Jean Jaures;38185;Grenoble;;19876;28393;38621;0,66;12990;18491;21863;24872;32202;36154;41511;51290;3,9;4,658;0,289;78,4;69,7;2,5;6,2;26,2;15,4;2,7;1,0;0,8;0,8;-22,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850204;Crequi-Victor Hugo;38185;Grenoble;;20680;30657;42535;0,71;13531;18371;22886;26740;34465;39468;47173;58945;4,4;5,794;0,335;75,5;64,3;1,7;9,5;26,0;21,8;2,7;0,8;1,1;0,9;-26,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850205;Grenette;38185;Grenoble;15,2;16466;25196;35727;0,76;10102;14470;17965;21981;28716;33264;39969;51878;5,1;6,343;0,346;87,4;71,9;3,5;11,9;19,6;12,7;4,0;0,8;1,6;1,5;-23,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850206;Saint-Andre;38185;Grenoble;;18878;27557;37940;0,69;11434;16881;20362;23803;31281;34775;41271;49078;4,3;5,333;0,308;81,6;69,8;2,9;8,8;24,0;13,3;3,0;0,8;1,0;1,2;-21,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850207;Notre Dame;38185;Grenoble;30,6;11552;17308;29183;1,02;9004;10774;12332;14186;20933;25782;32815;44017;4,9;6,174;0,378;71,4;62,3;3,4;5,7;26,6;11,0;9,3;2,0;4,5;2,9;-18,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850208;Trois Cours;38185;Grenoble;;18353;25684;35124;0,65;12522;17228;20083;23038;28931;32553;37719;44296;3,5;4,360;0,280;66,6;58,2;1,9;6,4;38,3;13,2;2,6;1,0;0,9;0,7;-20,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850209;Ile Verte-Saint Roch;38185;Grenoble;12,1;16528;25093;33480;0,68;11643;14757;18515;21738;28479;31481;36802;46118;4,0;4,726;0,300;76,3;68,2;2,3;5,9;26,1;15,3;4,1;1,2;1,4;1,5;-21,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850210;Ile Verte-Marechal Randon;38185;Grenoble;10,3;17839;24594;34918;0,69;12321;16619;19383;21763;28311;32483;38734;48412;3,9;4,605;0,294;75,4;67,7;2,3;5,4;28,5;13,3;3,6;1,0;1,2;1,4;-20,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850211;Genissieu;38185;Grenoble;10,1;18355;25471;33772;0,61;12445;16485;19679;22701;28099;31288;36628;45695;3,7;4,412;0,280;84,9;76,2;3,1;5,6;19,8;12,1;3,4;1,0;1,2;1,2;-20,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850212;Prefecture;38185;Grenoble;8,6;18549;26841;38548;0,75;13054;16807;20189;23566;30918;35270;41637;54113;4,1;5,333;0,326;77,1;66,1;2,1;8,9;26,2;17,7;3,0;1,0;0,9;1,0;-24,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850213;Hebert-Mutualite;38185;Grenoble;;18046;26039;35811;0,68;13252;16594;19799;22415;29572;33463;38632;47625;3,6;4,482;0,295;69,8;58,0;2,9;8,9;34,5;13,9;3,2;1,0;1,0;1,1;-21,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850214;Aigle;38185;Grenoble;12,1;16752;23337;31015;0,61;11177;15534;18033;20620;26262;29502;33143;39306;3,5;4,112;0,270;82,5;73,9;3,2;5,4;22,3;9,2;4,7;1,4;1,7;1,6;-18,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850215;Championnet;38185;Grenoble;11,2;16997;24124;33190;0,67;12040;15362;18415;21588;27333;30552;35856;44106;3,7;4,554;0,293;86,0;76,9;3,3;5,7;18,7;11,2;4,8;1,5;1,6;1,6;-20,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850216;Hoche;38185;Grenoble;23,8;12865;16613;22935;0,61;9577;11687;13460;14809;18994;21506;25489;33069;3,5;4,050;0,283;65,4;58,0;4,1;3,3;27,7;8,4;12,7;4,0;4,7;4,0;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850301;Drac-Ampere;38185;Grenoble;13,7;15502;21256;28321;0,60;11214;14294;16957;19042;23876;26717;30025;34932;3,1;3,584;0,245;83,0;77,0;3,1;2,9;20,9;6,5;6,5;2,0;2,5;2,0;-16,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850302;Clinique Mutualiste;38185;Grenoble;18,4;13949;19037;24611;0,56;9593;12854;15191;17157;21040;23538;25630;30457;3,2;3,758;0,250;73,2;66,8;3,7;2,6;27,0;7,1;7,1;1,6;3,2;2,3;-14,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850303;Vallier;38185;Grenoble;14,2;15140;20098;25482;0,51;11429;14040;16222;18067;21911;23863;27242;31516;2,8;3,485;0,241;74,9;69,3;3,6;2,0;26,7;8,3;5,6;1,8;1,9;1,8;-15,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850304;Jaures-Vallier;38185;Grenoble;13,4;15694;21060;28105;0,59;10705;14630;16959;18887;23888;26267;29830;35445;3,3;3,977;0,262;79,8;73,1;3,4;3,4;23,5;9,4;4,9;1,2;1,9;1,8;-17,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850305;Eaux Claires-Champs Elysees;38185;Grenoble;13,3;15819;21118;27870;0,57;10593;14557;17179;19028;23576;26048;30000;36901;3,5;3,985;0,261;79,9;72,2;3,7;4,0;24,1;8,3;5,2;1,4;2,3;1,6;-17,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850306;Sidi-Brahim;38185;Grenoble;13,7;16272;23114;31193;0,65;11006;14582;17919;20693;25869;29322;33115;40792;3,7;4,511;0,282;75,3;68,1;3,1;4,1;25,7;13,3;4,4;1,3;1,6;1,5;-18,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850307;Eaux Claires-Painleve;38185;Grenoble;13,3;16339;21585;27576;0,52;11467;15098;17428;19345;23699;26123;29246;33789;2,9;3,457;0,236;65,6;60,9;3,0;1,7;36,1;9,5;4,9;1,9;1,6;1,4;-16,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850308;Houille Blanche;38185;Grenoble;16,2;15202;21381;29095;0,65;10953;13569;16605;18909;23614;26491;31571;38572;3,5;4,308;0,285;63,3;57,6;2,4;3,3;35,9;12,7;5,4;1,7;2,0;1,6;-17,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850309;Mistral;38185;Grenoble;;9182;12410;15576;0,52;7196;8725;10177;11387;13420;14672;16624;19710;2,7;3,195;0,226;56,0;49,0;6,6;0,4;21,8;2,4;27,2;7,7;10,9;8,6;-7,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850310;Rondeau-Liberation;38185;Grenoble;16,1;14964;21508;29129;0,66;10747;13701;16526;19570;24565;27303;31917;39229;3,7;4,428;0,287;68,0;61,7;2,7;3,6;32,0;12,4;5,4;1,9;2,1;1,4;-17,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850311;Abry;38185;Grenoble;18,4;13865;18587;24687;0,58;10152;12741;14758;16795;20729;23148;26012;31998;3,2;3,625;0,253;73,3;67,0;3,7;2,7;25,5;7,9;8,2;2,4;3,2;2,6;-14,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850401;Foch Ouest;38185;Grenoble;14,2;15013;20684;28049;0,63;11217;13801;16477;18546;23434;26194;30445;35590;3,2;3,682;0,250;72,3;65,5;3,6;3,2;28,9;9,6;5,8;1,4;2,3;2,1;-16,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850402;Foch Est;38185;Grenoble;13,7;16303;22227;29884;0,61;11113;14753;17773;19830;24910;28106;31623;36683;3,3;3,975;0,261;73,3;66,6;2,7;4,0;28,6;11,0;4,5;0,9;1,8;1,7;-17,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850403;Gustave Rivet;38185;Grenoble;12,5;16467;22472;30053;0,60;11182;14563;17670;19794;24801;28222;31849;38016;3,4;3,999;0,263;76,6;69,5;3,4;3,7;27,0;10,3;4,5;1,3;1,7;1,6;-18,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850404;Diables Bleus;38185;Grenoble;11,2;16454;24599;34555;0,74;12124;14993;18051;21472;27953;31959;37535;47209;3,9;4,790;0,301;69,2;61,8;2,0;5,4;34,2;14,3;3,2;1,2;0,9;1,1;-20,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850405;Clemenceau;38185;Grenoble;;17747;23740;30804;0,55;12717;16253;18771;21226;25670;28762;33396;41565;3,3;3,982;0,270;72,4;65,7;2,6;4,1;31,4;12,1;2,9;1,1;0,9;0,9;-18,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850406;Reynies;38185;Grenoble;;17688;23808;31392;0,58;12644;15995;18849;21221;26042;29180;33681;39883;3,2;3,668;0,252;83,1;75,5;3,1;4,5;22,7;9,5;4,0;1,5;1,4;1,0;-19,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850407;Ferrie-Stalingrad;38185;Grenoble;25,2;12415;18016;24122;0,65;9148;11337;13578;15765;20150;22565;26589;33069;3,6;4,475;0,290;72,9;66,0;3,8;3,1;26,0;7,5;8,9;2,6;3,1;3,2;-15,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850408;Peretto;38185;Grenoble;9,7;17846;23486;31979;0,60;12536;16188;19013;21194;25838;29977;34668;40920;3,3;3,787;0,259;75,6;70,4;2,5;2,7;28,1;11,0;4,0;1,3;1,5;1,2;-18,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850409;Bajatiere Ouest;38185;Grenoble;13,5;15995;22293;30963;0,67;11233;14405;17045;19722;25180;28531;33819;40604;3,6;4,135;0,272;71,0;64,6;3,0;3,4;30,2;11,2;5,6;1,6;2,2;1,8;-18,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850410;Bajatiere Est;38185;Grenoble;10,9;16538;22050;29768;0,60;11865;15448;17574;19778;24364;28037;31875;38359;3,2;3,790;0,258;77,1;69,8;3,0;4,3;27,0;9,5;4,1;1,5;1,5;1,1;-17,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850411;Capuche;38185;Grenoble;14,3;14765;20363;27397;0,62;10675;13948;16044;18154;22765;25389;28685;33397;3,1;3,855;0,260;73,7;66,7;3,7;3,3;26,5;9,0;6,5;1,3;2,9;2,4;-15,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850412;Allies-Clos d'Or;38185;Grenoble;28,0;11797;16255;22684;0,67;8945;10947;12982;14798;18317;20979;24151;29686;3,3;3,947;0,263;72,7;67,8;3,3;1,6;24,3;6,0;10,5;3,1;4,1;3,3;-13,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850413;Alpins;38185;Grenoble;14,2;14723;19466;23940;0,47;11006;13905;15781;17753;21230;22901;25386;28545;2,6;2,928;0,203;75,2;68,8;4,0;2,4;26,6;5,0;6,6;2,4;2,3;1,9;-13,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850414;Beauvert;38185;Grenoble;11,6;15796;20703;25924;0,49;11681;14636;16959;19329;22391;24669;27479;32713;2,8;3,191;0,222;84,3;78,5;3,5;2,2;18,7;6,6;5,9;2,5;1,8;1,6;-15,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850501;Valmy;38185;Grenoble;23,7;12692;17794;24368;0,66;9479;11759;13535;15885;20135;22459;26341;31763;3,4;4,007;0,268;76,7;68,5;4,3;3,9;21,8;7,6;9,5;2,5;3,8;3,2;-15,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850502;Jeanne d'Arc;38185;Grenoble;15,5;15428;21035;27511;0,57;10475;14112;16604;18565;23177;26209;29157;35115;3,4;3,961;0,259;74,1;66,6;3,5;4,0;27,9;8,9;5,7;1,8;2,0;1,9;-16,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850503;Abbaye;38185;Grenoble;24,3;12653;18133;24769;0,67;8679;11245;13694;15777;20475;23270;26659;31918;3,7;4,404;0,280;71,0;65,2;3,7;2,1;26,4;6,9;10,4;2,3;4,8;3,3;-14,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850504;Jouhaux;38185;Grenoble;41,2;10485;13773;19352;0,64;7871;9541;11097;12213;15487;17824;21422;25997;3,3;3,891;0,265;64,5;58,4;5,1;1,0;21,0;3,7;21,4;5,9;8,6;6,9;-10,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850505;Poterne;38185;Grenoble;25,8;12174;16532;22983;0,65;9242;11268;13222;14806;18305;21728;24724;30498;3,3;3,681;0,261;60,6;55,0;3,5;2,1;33,4;5,8;12,9;3,3;5,6;3,9;-12,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850506;Paul Cocat;38185;Grenoble;36,8;10934;14523;20443;0,65;8405;10109;11628;13045;16600;18963;22174;26091;3,1;3,617;0,252;73,0;66,2;5,2;1,6;16,9;3,5;17,8;5,4;6,8;5,5;-11,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850507;Teisseire;38185;Grenoble;40,0;10580;13885;18932;0,60;8155;9780;11079;12493;15404;17383;20039;24982;3,1;3,564;0,252;58,8;52,0;5,6;1,1;27,7;5,3;19,1;5,7;6,9;6,5;-10,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850601;Malherbe;38185;Grenoble;24,7;12638;18069;24293;0,65;9459;11420;13553;15665;20057;22833;25837;31683;3,3;3,875;0,264;50,1;45,8;2,8;1,4;46,1;8,3;9,7;3,5;3,0;3,1;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850602;La Bruyere;38185;Grenoble;13,7;15993;21813;29799;0,63;11288;14453;17287;19371;24987;27919;31986;39075;3,5;4,119;0,276;59,9;53,0;2,6;4,2;41,4;11,5;4,8;1,6;1,8;1,5;-17,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850604;Arlequin;38185;Grenoble;55,3;9037;11885;15615;0,55;7450;8775;9410;10472;13131;14773;16499;19738;2,6;3,240;0,237;49,1;43,1;5,7;0,3;24,9;3,2;30,7;9,6;11,6;9,5;-7,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850605;Helbronner-Geants;38185;Grenoble;38,3;10573;14241;20156;0,67;8000;9942;11411;12722;16023;18698;21776;27251;3,4;3,910;0,269;60,1;53,6;5,1;1,4;29,5;4,8;17,3;5,9;6,5;4,9;-11,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850606;Constantine;38185;Grenoble;19,0;13654;19345;27431;0,71;10225;12625;14733;16912;22103;25571;31079;38461;3,8;4,227;0,288;56,6;49,8;2,8;4,0;43,2;9,1;8,0;3,0;2,7;2,3;-16,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850607;Baladins;38185;Grenoble;32,0;11281;16028;20926;0,60;8558;10415;12162;13939;17511;19997;22699;27915;3,3;3,950;0,269;61,4;56,0;4,5;0,9;32,1;4,7;14,5;4,7;5,6;4,2;-12,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850608;Vigny-Musset;38185;Grenoble;25,6;12426;17168;23242;0,63;9404;11568;13197;15158;19217;21733;24743;30089;3,2;3,621;0,251;80,5;74,3;4,9;1,4;18,0;4,4;11,3;4,0;3,7;3,5;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850609;Village Olympique Nord;38185;Grenoble;45,1;10035;12866;17754;0,60;8157;9306;10584;12059;14120;16160;19109;23776;2,9;3,472;0,251;50,4;44,8;4,6;1,0;34,2;4,2;20,9;7,0;7,5;6,4;-9,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381850610;Village Olympique Sud;38185;Grenoble;48,0;10251;12702;16734;0,51;8532;9793;10971;11754;13893;15827;17791;20137;2,4;2,817;0,212;53,9;;;;25,1;2,9;26,1;7,5;10,5;8,1;-8,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381930101;Fondbonniere;38193;L'Isle-d'Abeau;18,5;13464;17269;22492;0,52;10927;12783;14171;15580;19150;21412;23961;28676;2,6;3,029;0,223;89,7;82,7;5,7;1,4;7,7;2,9;12,2;6,3;2,5;3,4;-12,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381930102;St-Hubert;38193;L'Isle-d'Abeau;32,2;11625;15549;20264;0,56;9042;10784;12191;13913;17164;18907;21861;25705;2,8;3,230;0,232;77,1;69,6;6,5;1,1;14,1;2,8;17,0;5,5;5,7;5,8;-11,0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381930105;Trois Vallons-Le Lombard;38193;L'Isle-d'Abeau;10,0;16850;23659;31139;0,60;12408;15628;18232;20990;25905;28763;33613;39500;3,2;3,755;0,260;95,7;87,4;3,6;4,7;9,3;6,2;5,9;3,1;1,4;1,4;-17,1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381930106;Le Village-Côteaux de Chasse Nord;38193;L'Isle-d'Abeau;7,6;17343;23016;28774;0,50;13504;16088;18573;20819;24950;27450;30275;35844;2,7;3,011;0,216;92,8;86,8;3,6;2,4;12,6;4,7;5,8;3,5;0,9;1,3;-15,9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381930107;Le Village-Côteaux de Chasse Sud;38193;L'Isle-d'Abeau;16,4;14498;19368;25703;0,58;11375;13537;15653;17274;21486;23974;27194;32505;2,9;3,227;0,234;84,7;77,5;4,5;2,7;16,6;3,5;8,8;4,6;1,7;2,5;-13,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382290101;Bealieres;38229;Meylan;;17842;24747;33384;0,63;13110;16436;19092;21450;27937;31800;35476;42740;3,3;3,631;0,253;73,4;68,2;2,3;3,0;30,9;10,0;4,1;1,8;1,2;1,2;-18,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382290102;Grand Pre-Buclos-Eyminees;38229;Meylan;7,1;18939;25348;34000;0,59;13666;17519;20495;23019;27967;31432;36800;44831;3,3;3,745;0,255;63,9;57,4;1,9;4,6;39,4;11,7;3,4;1,3;1,2;0,9;-18,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382290201;Ayguinards;38229;Meylan;;19155;25469;34369;0,60;14609;17888;20528;23025;28521;31973;36645;45290;3,1;3,933;0,275;66,9;60,9;1,9;4,0;32,9;18,3;2,7;1,4;0,6;0,7;-20,8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382290202;Reviree;38229;Meylan;;19201;25449;34336;0,59;14560;18182;20247;23286;28397;32181;37094;45241;3,1;3,516;0,248;58,5;52,4;2,0;4,1;43,0;14,6;2,4;1,1;0,6;0,7;-18,5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
