IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6016;DISP_Q116;DISP_MED16;DISP_Q316;DISP_EQ16;DISP_D116;DISP_D216;DISP_D316;DISP_D416;DISP_D616;DISP_D716;DISP_D816;DISP_D916;DISP_RD16;DISP_S80S2016;DISP_GI16;DISP_PACT16;DISP_PTSA16;DISP_PCHO16;DISP_PBEN16;DISP_PPEN16;DISP_PPAT16;DISP_PPSOC16;DISP_PPFAM16;DISP_PPMINI16;DISP_PPLOGT16;DISP_PIMPOT16;DISP_NOTE16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530203;Peloux;01053;Bourg-en-Bresse;16,5;14498;19368;25912;0,59;10482;13177;15592;17151;21520;24306;28164;33176;3,2;3,743;0,261;68,6;61,5;3,0;4,1;31,6;8,0;7,1;2,5;2,6;2,0;-15,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530301;Gare;01053;Bourg-en-Bresse;13,6;15955;21895;29751;0,63;11426;14445;17157;19471;25197;27694;32039;42040;3,7;4,738;0,308;72,8;65,6;2,7;4,6;30,9;11,4;4,1;1,2;1,6;1,4;-19,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530302;Brou;01053;Bourg-en-Bresse;19,4;14110;18914;25269;0,59;10005;12616;15069;16929;21007;23558;27570;35683;3,6;4,378;0,292;71,5;64,0;3,3;4,2;28,5;8,6;7,8;2,5;2,9;2,5;-16,4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530401;Vennes-Ouest;01053;Bourg-en-Bresse;21,8;13124;18499;24796;0,63;9633;12197;13988;16571;20814;23187;26511;32182;3,3;4,057;0,275;60,2;52,8;3,3;4,1;37,8;8,9;7,3;2,7;2,7;1,9;-14,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530402;Vennes-Est;01053;Bourg-en-Bresse;9,7;16133;21590;27964;0,55;12614;15098;17088;19366;23971;26071;29997;36431;2,9;3,433;0,245;68,9;63,7;2,9;2,3;34,8;8,3;4,6;2,1;1,2;1,3;-16,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530501;Baudieres;01053;Bourg-en-Bresse;;16202;22454;30223;0,62;11838;15152;17564;20307;24910;28315;32457;40647;3,4;4,111;0,278;55,6;49,4;1,8;4,4;46,1;11,7;3,9;1,1;1,5;1,2;-17,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530502;Sardieres;01053;Bourg-en-Bresse;17,5;14324;19860;26614;0,62;10536;13035;15279;17650;21979;24917;29366;37879;3,6;4,605;0,306;65,6;57,1;2,5;6,0;33,6;12,0;6,1;2,6;1,9;1,6;-17,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530503;Croix-Blanche;01053;Bourg-en-Bresse;39,5;10823;13897;17960;0,51;8219;9958;11507;12555;15153;16791;19456;23108;2,8;3,433;0,246;60,2;52,0;6,2;2,0;24,2;5,1;21,2;6,2;8,3;6,7;-10,7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530601;Pont-des-Chevres;01053;Bourg-en-Bresse;34,1;11163;14677;20292;0,62;8848;10424;11868;13168;16521;18561;22169;26654;3,0;3,577;0,256;52,5;45,9;5,4;1,2;37,2;8,0;13,9;4,4;4,9;4,6;-11,6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
010530602;Reyssouze-Ouest;01053;Bourg-en-Bresse;35,7;10810;14326;18742;0,55;7983;10122;11639;13282;15683;17650;20154;24167;3,0;3,381;0,238;51,5;44,7;5,5;1,3;37,0;5,7;16,1;5,3;5,8;5,0;-10,3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
