IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6014;DISP_Q114;DISP_MED14;DISP_Q314;DISP_EQ14;DISP_D114;DISP_D214;DISP_D314;DISP_D414;DISP_D614;DISP_D714;DISP_D814;DISP_D914;DISP_RD14;DISP_S80S2014;DISP_GI14;DISP_PTSAC14;DISP_PBEN14;DISP_PPEN14;DISP_PPAT14;DISP_PPSOC14;DISP_PPFAM14;DISP_PPMINI14;DISP_PPLOGT14;DISP_PIMPOT14;note
940030107;Jules Ferry 2;94003;Arcueil;12,9;16187,7;23137,0;33042,8;0,7;10963,1;14694,0;17421,5;20052,9;26204,0;30228,0;36010,0;44443,5;4,1;4,9;0,3;80,1;5,4;21,8;9,8;3,6;1,4;1,2;1,1;-20,7;0
940030108;Laplace 1;94003;Arcueil;10,8;16608,5;23225,0;30680,0;0,6;11487,6;15302,5;18377,5;20869,2;25477,4;28847,0;32959,3;39902,0;3,5;4,2;0,3;87,0;3,0;16,3;7,7;5,1;2,5;1,3;1,3;-19,1;0
940030109;Laplace 2;94003;Arcueil;15,1;16188,0;24275,0;35647,0;0,8;9516,9;14693,0;17789,3;21104,4;28135,3;32936,7;38458,7;45791,7;4,8;5,7;0,3;74,9;3,0;29,3;11,7;3,3;1,4;1,1;0,9;-22,2;0
940040101;Les Hautes Varennes;94004;Boissy-Saint-Léger;20,8;12780,0;17048,3;22451,3;0,6;9492,0;12150,4;13541,2;15424,0;18579,7;20956,7;24083,3;28499,1;3,0;3,3;0,2;83,1;0,7;14,5;3,5;11,9;5,5;3,3;3,2;-13,7;0
940040102;Rostand;94004;Boissy-Saint-Léger;22,0;12742,4;17427,5;23068,9;0,6;9446,6;11756,2;13526,9;15215,0;19855,0;22057,0;24783,9;30334,7;3,2;3,6;0,2;78,9;1,8;19,5;4,3;10,0;4,5;3,2;2,3;-14,5;0
940040103;Prevert;94004;Boissy-Saint-Léger;;11027,0;15062,7;20144,7;0,6;8102,7;10305,5;11862,0;13283,3;16513,6;18916,0;21892,0;26594,0;3,3;3,8;0,3;76,5;1,1;17,3;2,6;14,6;5,1;5,1;4,3;-12,1;0
940040104;Savreau;94004;Boissy-Saint-Léger;15,1;15010,0;21520,3;28739,0;0,6;10491,7;13586,7;16158,8;18971,9;23923,3;27247,2;30541,4;36496,7;3,5;4,1;0,3;76,8;3,4;25,2;7,5;5,6;2,2;2,0;1,5;-18,5;0
940040105;Le Centre;94004;Boissy-Saint-Léger;14,1;14965,4;21086,0;28116,0;0,6;10659,4;13926,9;16639,5;18731,0;23789,3;26843,3;29957,3;36198,3;3,4;4,0;0,3;84,6;3,3;19,4;6,7;4,7;2,0;1,5;1,3;-18,7;0
940040106;Bois Clary;94004;Boissy-Saint-Léger;;20194,8;26444,5;33291,5;0,5;13712,3;18679,8;21460,0;24305,6;28840,0;31851,2;35443,2;42836,5;3,1;3,5;0,2;76,1;4,5;28,1;9,3;2,4;1,5;0,7;0,2;-20,4;0
940110102;Centre Ancien;94011;Bonneuil-sur-Marne;15,9;14831,7;20966,2;29444,8;0,7;10260,5;13460,0;16290,0;18644,7;23966,7;26630,8;31461,6;38212,0;3,7;4,6;0,3;71,4;4,5;25,9;12,4;4,6;2,4;1,2;1,1;-18,8;1
940110103;Haut Bonneuil;94011;Bonneuil-sur-Marne;12,4;16435,4;23876,0;33125,3;0,7;11788,6;15114,8;17250,7;20004,0;26997,9;30925,0;35388,5;43403,5;3,7;4,5;0,3;70,0;5,6;26,9;11,8;4,6;2,8;1,1;0,7;-18,9;0
940110104;Cite Fabien;94011;Bonneuil-sur-Marne;34,2;10266,9;14644,8;19471,2;0,6;8022,5;9183,3;11209,4;13200,0;16734,7;18510,8;20741,6;24137,0;3,0;3,6;0,2;;;;;;;;;;0
940110105;Saint-Exupery;94011;Bonneuil-sur-Marne;26,5;12037,2;15263,5;19682,5;0,5;9206,0;11167,5;12695,9;13812,2;16851,5;18880,0;21417,3;24965,0;2,7;3,0;0,2;;;;;;;;;;0
940110106;Salvador Allende;94011;Bonneuil-sur-Marne;26,8;11933,9;15475,0;20409,4;0,5;9024,3;11252,9;12737,5;14044,0;17300,0;19027,6;21438,8;26644,5;3,0;3,2;0,2;74,9;1,0;20,3;2,7;13,1;6,4;3,4;3,4;-12,0;0
940110107;Republique;94011;Bonneuil-sur-Marne;;12882,8;17658,7;22589,0;0,5;8740,7;11969,3;13936,7;15954,0;19498,6;21336,5;24004,7;26684,0;3,1;3,2;0,2;71,2;2,0;24,9;4,4;9,7;4,8;2,5;2,5;-12,2;0
940110108;Fosse aux Moines;94011;Bonneuil-sur-Marne;19,1;13289,2;18052,0;23096,7;0,5;9722,6;12319,7;14188,8;16188,3;19685,9;21932,0;24354,0;28792,7;3,0;3,4;0,2;88,1;1,7;12,4;2,8;9,6;4,5;2,2;2,9;-14,6;0
940150101;Pepiniere;94015;Bry-sur-Marne;;24957,5;35293,0;48945,5;0,7;17363,0;23065,5;27027,6;31324,8;39948,0;45467,8;53490,0;67557,8;3,9;4,8;0,3;77,3;9,3;21,1;17,9;1,6;1,1;0,3;0,2;-27,2;0
940150102;Carnot;94015;Bry-sur-Marne;;19920,9;27504,6;37654,3;0,6;13831,0;17944,8;21290,8;24630,4;30551,5;34768,1;41182,7;52297,3;3,8;4,7;0,3;81,5;5,1;22,7;11,0;2,4;1,4;0,5;0,4;-22,7;0
