IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6015;DISP_Q115;DISP_MED15;DISP_Q315;DISP_EQ15;DISP_D115;DISP_D215;DISP_D315;DISP_D415;DISP_D615;DISP_D715;DISP_D815;DISP_D915;DISP_RD15;DISP_S80S2015;DISP_GI15;DISP_PACT15;DISP_PTSA15;DISP_PCHO15;DISP_PBEN15;DISP_PPEN15;DISP_PPAT15;DISP_PPSOC15;DISP_PPFAM15;DISP_PPMINI15;DISP_PPLOGT15;DISP_PIMPOT15;DISP_NOTE15
010530102;Champ-de-Foire;01053;Bourg-en-Bresse;16,8;14386;19790;26932;0,63;9749;13043;15650;17943;22575;24945;29160;36437;3,7;4,6;0,30;54,1;47,7;2,7;3,7;43,5;14,0;5,5;1,0;2,5;2,0;-17,1;0
010530103;Prefecture;01053;Bourg-en-Bresse;14,3;15129;20747;31057;0,77;10850;13891;16558;18807;23426;28232;34089;46233;4,3;5,5;0,35;70,6;59,1;3,0;8,6;29,9;16,2;4,5;1,3;1,7;1,6;-21,2;0
010530201;Citadelle;01053;Bourg-en-Bresse;18,1;13869;19306;26002;0,63;10471;12839;15035;17143;21273;24136;28077;34779;3,3;4,2;0,28;65,7;60,0;2,8;2,9;34,2;10,0;6,5;2,0;2,4;2,2;-16,4;0
010530202;Mail;01053;Bourg-en-Bresse;30,9;11342;15798;22378;0,70;8546;10258;12239;13934;17731;20601;23794;29346;3,4;4,1;0,28;66,8;60,1;4,6;2,1;27,2;8,3;11,3;3,6;4,2;3,5;-13,6;0
010530203;Peloux;01053;Bourg-en-Bresse;16,6;14215;19167;25934;0,61;10738;13027;15051;17032;21696;24355;27737;33125;3,1;3,6;0,25;68,1;61,9;3,4;2,9;31,4;8,8;7,1;2,5;2,4;2,2;-15,4;0
010530301;Gare;01053;Bourg-en-Bresse;12,5;16642;22535;30100;0,60;11410;15178;17818;20146;24870;28289;33092;43087;3,8;4,8;0,31;73,1;65,4;3,0;4,6;29,8;13,3;3,6;1,1;1,2;1,3;-19,8;0
010530302;Brou;01053;Bourg-en-Bresse;19,5;13611;18412;25090;0,62;9741;12418;14563;16536;20614;23399;27857;35499;3,6;4,5;0,29;70,2;62,6;3,4;4,3;29,2;10,1;7,5;2,5;2,6;2,5;-17,0;0
010530401;Vennes-Ouest;01053;Bourg-en-Bresse;21,6;13117;18205;24817;0,64;9646;12089;14103;16136;20483;23100;26790;32669;3,4;4,0;0,27;59,6;51,6;3,5;4,5;38,8;8,4;7,6;2,9;2,5;2,2;-14,4;0
010530402;Vennes-Est;01053;Bourg-en-Bresse;9,8;16113;21325;27333;0,53;12495;14858;17035;19084;23198;25566;29776;35921;2,9;3,5;0,25;68,8;63,1;3,0;2,7;34,3;9,5;4,4;2,1;1,2;1,2;-17,0;0
010530501;Baudieres;01053;Bourg-en-Bresse;;16710;22597;29905;0,58;11916;15384;17574;19825;24818;28009;32768;39342;3,3;4,1;0,28;56,0;50,1;1,4;4,5;46,2;12,6;3,4;1,2;1,1;1,1;-18,2;0
010530502;Sardieres;01053;Bourg-en-Bresse;15,0;14569;19629;26793;0,62;10983;13398;15374;17961;21701;24932;28969;37350;3,4;4,4;0,30;66,8;58,0;2,3;6,5;33,3;12,3;5,8;2,6;1,6;1,6;-18,2;0
010530503;Croix-Blanche;01053;Bourg-en-Bresse;40,1;10568;13534;17797;0,53;8410;10073;11299;12318;15065;16791;19109;22498;2,7;3,6;0,26;60,4;52,3;5,8;2,3;24,2;6,0;20,2;5,7;7,9;6,6;-10,8;0
010530601;Pont-des-Chevres;01053;Bourg-en-Bresse;35,1;10919;14422;20040;0,63;8303;10067;11706;12928;16332;18393;21701;25721;3,1;3,8;0,26;52,1;46,3;4,7;1,0;36,7;8,5;14,2;4,6;4,9;4,7;-11,5;0
010530602;Reyssouze-Ouest;01053;Bourg-en-Bresse;35,3;10670;14156;18657;0,56;8351;10000;11569;12883;15759;17511;19884;24223;2,9;3,3;0,24;51,1;44,3;5,4;1,4;38,1;6,7;14,7;4,8;5,3;4,7;-10,6;0
010530603;Reyssouze-Est;01053;Bourg-en-Bresse;42,3;10366;13088;16912;0,50;8225;9556;10924;12040;14095;15931;17893;20667;2,5;2,8;0,21;47,3;;;;33,7;3,9;22,9;5,8;9,1;8,0;-7,8;0
010530604;Cenord-Grand-Challes;01053;Bourg-en-Bresse;;14309;20895;27005;0,61;10147;12928;15797;18325;22974;25373;28280;33351;3,3;4,0;0,26;56,4;50,8;2,4;3,2;42,3;10,7;6,0;1,9;2,3;1,8;-15,4;0
010530701;Granges-Bardes-Alagnier;01053;Bourg-en-Bresse;13,8;15144;19661;25229;0,51;11043;13891;15888;17661;21592;23487;27118;32284;2,9;3,5;0,25;73,4;68,7;2,9;1,8;27,3;8,3;6,9;3,2;2,1;1,7;-15,9;0
011730101;Centre;01173;Gex;12,9;16685;27167;42702;0,96;10741;14909;18742;23122;33014;38488;47293;60994;5,7;6,8;0,36;96,7;90,8;3,5;2,3;11,2;7,1;2,3;0,9;0,6;0,8;-17,3;0
011730102;Ouest;01173;Gex;10,5;19343;32041;48207;0,90;11959;16975;21977;26322;38205;44091;53275;66818;5,6;7,1;0,36;96,4;90,8;3,5;2,0;12,7;6,3;1,9;1,0;0,4;0,5;-17,3;0
011730103;Est;01173;Gex;10,3;20730;34726;50481;0,86;12211;17766;23483;29514;40323;46700;55505;72499;5,9;7,6;0,36;98,4;93,5;3,1;1,9;12,1;5,9;1,4;0,6;0,4;0,4;-17,8;0
012830102;Zus Centre;01283;Oyonnax;33,7;11407;14079;17919;0,46;8953;10638;11965;12961;15365;16803;18984;22546;2,5;2,9;0,21;62,7;54,9;7,5;0,4;25,3;3,9;16,6;6,8;4,7;5,1;-8,5;0
012830103;Zus Nord Est;01283;Oyonnax;31,7;11475;14525;18942;0,51;8790;10833;12132;13217;15877;17754;19935;24666;2,8;3,3;0,23;59,5;52,4;5,9;1,2;32,0;6,3;12,8;5,5;3,2;4,1;-10,6;0
012830104;Zus Ouest;01283;Oyonnax;39,0;10565;13420;17343;0,51;7980;9864;11133;12441;14669;16299;18088;21601;2,7;3,1;0,22;62,8;54,8;7,0;0,9;22,4;3,2;20,2;8,8;5,8;5,6;-8,6;0
012830201;Ville Sud;01283;Oyonnax;19,3;13494;18209;23565;0,55;9528;12560;14461;16508;20242;22286;25365;32317;3,4;4,5;0,30;63,0;56,9;3,8;2,4;34,1;13,1;6,2;2,7;1,6;1,9;-16,4;0
012830202;Ville Est;01283;Oyonnax;20,3;13177;17718;23349;0,57;9623;12236;14313;16143;19581;21957;24918;30490;3,2;4,0;0,27;69,1;62,2;3,9;3,1;28,4;10,2;6,8;2,7;2,0;2,1;-14,5;0
012830203;Nierme et Geilles;01283;Oyonnax;31,9;11475;15109;20901;0,62;9233;10841;12103;13511;17280;19491;22301;28448;3,1;3,8;0,27;59,4;50,5;5,6;3,2;32,8;8,8;11,6;4,1;4,0;3,5;-12,6;0
012830301;Ville Ouest;01283;Oyonnax;21,0;13029;17648;22815;0,55;9861;11998;14169;15889;19460;21502;24652;30938;3,1;4,1;0,28;71,1;62,5;4,9;3,7;28,3;8,5;7,0;2,8;2,0;2,1;-14,9;0
012830303;Ville Nord;01283;Oyonnax;22,1;12829;17605;23190;0,59;9530;11572;13770;15567;19750;21549;24776;30941;3,2;4,2;0,28;71,3;63,0;4,3;4,0;27,1;9,7;7,0;3,0;1,8;2,2;-15,1;0
012830304;Exterieur Est;01283;Oyonnax;17,4;14274;19338;24536;0,53;10117;13096;15318;17462;21149;22898;26080;33323;3,3;4,3;0,28;75,9;67,2;4,4;4,3;24,7;10,5;5,3;2,2;1,5;1,6;-16,4;0
012830305;Veyziat;01283;Oyonnax;;19172;25032;33164;0,56;15407;17994;20677;22614;27627;31272;35258;42410;2,8;3,8;0,28;74,7;69,2;2,1;3,4;27,2;17,6;1,9;1,2;0,2;0,5;-21,4;0
021680101;centre;02168;Château-Thierry;24,2;12461;16941;22605;0,60;8620;11580;13228;15146;18821;21225;23881;29586;3,4;4,7;0,30;70,0;59,4;4,1;6,5;26,3;10,4;8,7;2,3;3,2;3,1;-15,4;0
021680201;Chesneaux;02168;Château-Thierry;14,6;14797;20175;26623;0,59;10815;13583;16064;17928;22701;25108;29038;36394;3,4;4,2;0,29;70,1;58,3;3,4;8,4;29,4;13,4;5,4;2,1;1,7;1,7;-18,3;0
021680401;Mare Aubry;02168;Château-Thierry;16,9;14111;18624;25204;0,60;10234;13157;14936;16902;20795;23327;26771;33517;3,3;3,9;0,26;64,6;57,8;3,4;3,4;33,2;10,6;7,0;2,6;2,2;2,2;-15,4;0
021680501;Vaucrises;02168;Château-Thierry;;10202;13290;17284;0,53;7837;9478;10857;11906;14614;16406;18403;21656;2,8;3,3;0,23;59,2;50,9;7,6;0,8;24,6;3,1;21,9;6,5;8,0;7,4;-8,8;0
021680601;Gerbrois-St Martin-Le Buisson-Vincelles;02168;Château-Thierry;;16033;21967;29177;0,60;12191;14985;17402;19427;24004;26988;31977;38432;3,2;3,9;0,27;64,3;53,7;2,7;7,9;38,4;11,6;4,2;1,9;1,4;0,9;-18,5;0
021680701;Blanchard;02168;Château-Thierry;;11905;16740;21915;0,60;9248;10878;12776;14653;18667;20684;23326;28486;3,1;3,5;0,25;65,3;57,4;4,6;3,2;30,8;4,9;12,0;4,6;4,0;3,4;-13,0;0
021730101;Nord-Ouest;02173;Chauny;36,5;10440;14280;19480;0,63;8048;9742;11388;12828;15978;18148;20972;25373;3,2;3,8;0,26;55,3;49,3;4,2;1,7;33,8;4,3;17,1;4,4;7,3;5,4;-10,5;0
021730201;Sud-Ouest;02173;Chauny;24,5;12493;17249;22963;0,61;8865;11327;13452;15238;18996;21509;24780;30559;3,4;4,2;0,28;62,1;53,7;3,7;4,6;34,0;8,8;8,9;2,6;3,6;2,7;-13,8;0
021730301;Nord-Est;02173;Chauny;18,0;13855;19477;25542;0,60;10379;12761;15109;17214;21507;24073;27091;35479;3,4;4,2;0,28;70,1;58,0;3,0;9,1;31,8;7,8;6,6;2,3;2,3;2,0;-16,3;0
024080101;Saint-Exupery-Moulin Roux;02408;Laon;50,9;8700;12185;17006;0,68;7028;8142;9315;10705;13609;15604;18167;22891;3,3;3,9;0,27;46,7;;;;31,9;5,0;25,4;5,2;12,0;8,2;-9,0;0
024080102;Centre Social;02408;Laon;65,4;8648;10977;13640;0,45;7274;8240;9031;9980;11976;12841;14277;17031;2,3;2,6;0,20;43,7;;;;21,7;2,2;38,3;10,9;15,3;12,1;-5,9;0
024080103;La Fontaine;02408;Laon;49,0;8577;12417;18633;0,81;6780;8157;9327;10743;14172;17358;20681;26383;3,9;4,6;0,31;47,9;42,1;4,4;1,4;35,6;6,2;21,7;6,0;9,2;6,4;-11,4;0
024080201;Cite du Nord;02408;Laon;27,5;12020;16589;21769;0,59;9358;11353;12906;14703;18299;20567;23185;28580;3,1;3,5;0,25;60,0;54,0;3,2;2,8;35,4;6,4;11,1;4,0;4,0;3,0;-12,9;0
024080301;Gare Saint-Marcel;02408;Laon;22,0;12892;19272;25846;0,67;8826;11916;14252;16507;21814;23915;28383;36432;4,1;5,3;0,32;60,6;52,0;2,6;6,0;36,3;13,2;7,5;1,5;3,3;2,7;-17,6;0
024080401;Individuels;02408;Laon;;14661;21008;29225;0,69;11332;13597;15823;18620;23545;27444;31449;39325;3,5;4,0;0,28;62,4;55,2;2,3;4,9;38,3;12,0;5,3;1,8;1,9;1,6;-18,0;0
024080402;Prevert Maraichers;02408;Laon;29,8;11640;15164;19741;0,53;9231;10942;12364;13727;16707;18676;20978;24804;2,7;3,0;0,22;65,4;57,8;6,4;1,2;29,2;3,3;14,3;3,1;5,8;5,4;-12,2;0
024080501;Plateau;02408;Laon;27,1;11677;17819;26489;0,83;7924;10367;13002;15457;20732;24376;29237;39430;5,0;6,7;0,37;76,8;62,3;3,7;10,8;22,9;10,2;8,9;2,1;3,7;3,2;-18,8;0
024080601;Vaux;02408;Laon;20,9;13087;17967;24305;0,62;9465;12117;13934;15964;19873;23027;25586;30531;3,2;3,9;0,27;64,7;56,5;4,0;4,3;33,3;8,8;8,1;2,8;2,7;2,6;-14,9;0
024080801;Montreuil-La Neuville-Marquette;02408;Laon;31,8;11110;15750;21510;0,66;8475;10127;12006;13752;17860;19933;22966;28863;3,4;4,0;0,27;57,1;50,1;3,8;3,2;35,7;6,4;13,8;3,6;5,9;4,4;-13,0;0
024080901;Ardon-Leuilly-Semilly;02408;Laon;;16260;20900;28060;0,56;12410;15265;17415;19271;23142;25883;30098;38436;3,1;3,8;0,27;70,6;62,1;2,4;6,1;32,9;10,4;4,4;1,6;1,6;1,3;-18,3;0
026910101;centre ville 1;02691;Saint-Quentin;19,5;14009;20607;31345;0,84;8860;12554;15165;17948;23605;28202;34829;50417;5,7;7,0;0,38;76,1;54,7;3,1;18,3;24,2;14,2;6,6;1,9;2,6;2,2;-21,1;0
026910102;centre ville 2;02691;Saint-Quentin;16,7;14705;23746;38306;0,99;9385;13360;16318;19751;28493;33763;42861;59702;6,4;7,8;0,40;78,3;55,1;2,3;20,9;23,5;16,3;5,3;1,3;2,3;1,8;-23,4;0
026910103;centre ville 3;02691;Saint-Quentin;27,3;11699;17274;25685;0,81;8196;10415;13001;14828;19716;23352;28209;37609;4,6;6,5;0,38;71,4;57,7;3,8;10,0;24,0;14,3;9,1;1,9;4,1;3,2;-18,8;0
026910104;centre ville 4;02691;Saint-Quentin;30,6;11246;16683;24600;0,80;8336;10397;12249;14160;19563;22435;27669;36530;4,4;6,0;0,36;69,5;59,2;4,7;5,5;25,4;11,1;10,9;2,8;4,4;3,7;-16,9;0
026910201;europe-remicourt 1;02691;Saint-Quentin;16,4;14083;18684;26527;0,67;10434;13035;14804;16875;21437;24129;28920;37174;3,6;4,3;0,30;72,4;61,0;3,5;7,9;29,0;7,9;7,3;2,1;2,8;2,4;-16,6;0
026910202;europe-remicourt 2;02691;Saint-Quentin;16,3;14294;19179;24280;0,52;10771;13050;15239;17293;20775;23304;25932;31660;2,9;3,5;0,24;68,7;62,7;2,7;3,3;33,7;6,8;5,9;2,3;2,0;1,6;-15,1;0
026910203;europe-remicourt 3;02691;Saint-Quentin;19,3;13815;18488;26046;0,66;9856;12432;14636;16558;20910;23810;28225;35385;3,6;4,3;0,29;57,8;48,8;3,2;5,8;42,3;10,1;6,9;2,2;2,3;2,4;-17,1;0
026910204;europe-remicourt 4;02691;Saint-Quentin;51,3;8975;11978;17373;0,70;6963;8165;9459;10618;13857;15722;18753;22489;3,2;3,9;0,28;45,6;;;;31,6;6,0;27,1;7,7;10,8;8,6;-10,3;0
026910205;europe-remicourt 5;02691;Saint-Quentin;57,0;8752;11481;15129;0,56;7283;8125;9246;10122;12676;14119;15891;19239;2,6;3,0;0,22;42,5;;;;27,3;2,3;34,1;8,1;14,9;11,1;-6,2;0
026910206;europe-remicourt 6;02691;Saint-Quentin;48,0;9444;12563;17968;0,68;7798;9026;9927;11301;14213;16872;19203;23870;3,1;3,4;0,25;32,7;;;;51,1;5,6;19,9;5,0;8,3;6,6;-9,3;0
026910207;europe-remicourt 7;02691;Saint-Quentin;38,8;10170;14163;19542;0,66;7992;9413;10817;12401;16288;18261;20958;25493;3,2;3,5;0,25;37,2;;;;50,7;6,6;15,7;3,3;6,8;5,5;-10,2;0
026910208;europe-remicourt 8;02691;Saint-Quentin;12,8;15029;20848;27557;0,60;11049;14256;15957;18381;23304;25876;30951;38035;3,4;4,3;0,30;70,0;58,2;2,9;8,9;31,3;11,0;5,7;2,1;2,2;1,5;-18,0;0
026910209;europe-remicourt 9;02691;Saint-Quentin;20,0;13410;19466;29096;0,81;9923;12385;14459;16667;22734;26579;31981;41948;4,2;5,3;0,33;71,3;61,1;2,7;7,5;29,9;9,4;6,7;2,2;2,4;2,2;-17,3;0
026910301;isle 1;02691;Saint-Quentin;33,5;10954;15509;20604;0,62;8295;9805;11801;13299;17298;19320;22082;25925;3,1;3,9;0,27;65,5;57,2;5,2;3,1;26,3;5,7;14,6;3,9;6,1;4,5;-12,1;0
026910302;isle 2;02691;Saint-Quentin;22,9;13017;17444;21925;0,51;9308;11398;13905;15623;19006;21069;23045;27725;3,0;3,6;0,24;62,7;55,9;3,5;3,3;36,6;5,8;8,1;2,6;3,4;2,1;-13,2;0
026910303;isle 3;02691;Saint-Quentin;;10622;14470;18902;0,57;8199;9857;11520;12936;16360;17995;19967;22971;2,8;3,1;0,23;48,8;43,4;4,8;0,5;39,4;3,6;18,0;3,7;8,4;5,9;-9,8;0
026910304;isle 4;02691;Saint-Quentin;29,7;11493;15856;20472;0,57;8827;10597;12471;14036;17576;19476;21958;26493;3,0;3,6;0,26;59,0;50,8;5,0;3,2;33,2;5,6;13,8;3,9;5,5;4,4;-11,6;0
026910401;Saint-Martin-Oestres 1;02691;Saint-Quentin;25,5;12296;16620;21973;0,58;8975;11352;13081;15049;18731;20867;23527;28441;3,2;3,8;0,27;59,3;50,6;3,6;5,1;35,3;7,1;11,7;3,6;4,7;3,4;-13,4;0
026910402;Saint-Martin-Oestres 2;02691;Saint-Quentin;27,0;12036;16370;20600;0,52;8896;11143;13019;14733;18006;19506;21808;26184;2,9;3,3;0,23;66,0;58,6;4,7;2,7;30,0;4,4;11,4;3,4;4,8;3,2;-11,8;0
026910403;Saint-Martin-Oestres 3;02691;Saint-Quentin;19,5;13443;17891;22411;0,50;9897;12491;14313;16224;19877;21562;24369;28452;2,9;3,3;0,23;58,9;54,0;3,5;1,4;39,3;5,7;9,1;3,1;3,8;2,2;-13,0;0
026910501;vermandois 1;02691;Saint-Quentin;26,9;12016;16434;21195;0,56;8961;11286;12923;14672;18357;19937;22858;26937;3,0;3,6;0,25;61,4;54,5;4,2;2,7;32,4;7,3;11,7;3,4;4,9;3,4;-12,8;0
026910502;vermandois 2;02691;Saint-Quentin;28,7;11941;16379;22850;0,67;8725;10623;12490;14159;18651;21376;24795;30924;3,5;4,2;0,29;64,2;56,0;3,7;4,6;28,9;8,0;12,6;4,1;5,0;3,6;-13,7;0
026910503;vermandois 3;02691;Saint-Quentin;;9204;12492;16936;0,62;7230;8774;10011;11236;14021;15973;18491;22084;3,1;3,4;0,25;50,4;43,7;5,9;0,7;28,3;3,8;25,8;5,8;12,0;8,0;-8,3;0
026910504;vermandois 4;02691;Saint-Quentin;20,1;12942;18181;23576;0,58;9612;12255;13894;16221;20153;22352;25058;29601;3,1;3,5;0,25;54,9;49,0;3,0;2,9;43,4;6,2;8,8;3,2;3,4;2,1;-13,3;0
026910601;Saint-Jean;02691;Saint-Quentin;23,5;12778;17331;22701;0,57;9323;11720;13879;15673;19065;21375;24461;30502;3,3;3,9;0,27;66,7;58,7;3,8;4,2;29,3;7,9;10,2;3,2;4,3;2,8;-14,1;0
027220101;Presles 1;02722;Soissons;44,0;9913;13069;18396;0,65;7883;9133;10626;11982;14672;17072;20401;27212;3,5;4,3;0,30;44,3;37,1;4,6;2,7;38,7;10,0;19,7;5,8;7,8;6,1;-12,7;0
027220102;Presles 2;02722;Soissons;60,4;8632;11058;14403;0,52;6301;8039;9193;10300;12248;13627;15341;18656;3,0;3,3;0,23;50,6;;;;19,0;2,3;34,2;8,7;15,5;10,0;-6,1;0
027220103;Presles 3;02722;Soissons;45,2;9620;12978;17086;0,58;8151;9160;10348;11534;14397;15947;17981;21427;2,6;3,4;0,25;55,3;46,9;7,1;1,3;25,7;4,7;23,1;5,7;10,1;7,3;-8,8;0
027220201;Maupas;02722;Soissons;27,1;12011;15988;20034;0,50;8803;11065;12742;14240;17617;18974;21515;24460;2,8;3,1;0,22;53,4;;;;42,0;5,7;10,1;3,0;3,2;3,9;-11,2;0
027220301;Longues Baies;02722;Soissons;;17913;23486;31808;0,59;13401;16574;19117;21582;25845;29997;34332;43129;3,2;4,0;0,28;64,9;53,8;2,3;8,7;37,3;15,0;2,7;1,3;0,7;0,7;-19,9;0
027220401;Saint-Crepin;02722;Soissons;35,0;10702;14234;18525;0,55;8046;9693;11454;12938;15741;17415;19635;23429;2,9;3,3;0,24;46,7;;;;37,9;5,8;18,9;3,4;9,3;6,2;-9,3;0
027220501;Centre 1;02722;Soissons;10,7;16535;22171;30923;0,65;12122;15183;17612;19909;24649;28909;34185;45814;3,8;4,7;0,32;65,0;54,9;2,1;8,0;33,6;17,3;3,4;1,3;1,1;0,9;-19,3;0
027220502;Centre 2;02722;Soissons;19,0;13681;18184;25197;0,63;9351;12615;14536;16697;20793;23436;28143;36943;4,0;4,8;0,31;57,5;48,2;3,3;6,0;36,8;14,5;7,6;1,7;3,3;2,6;-16,4;0
027220503;Centre 3;02722;Soissons;18,7;13886;19501;28199;0,73;9085;12689;15059;17292;22332;26026;32799;45402;5,0;6,4;0,37;66,2;49,5;2,8;14,0;29,7;19,9;5,7;1,6;2,1;2,0;-21,5;0
027220601;Chevreux;02722;Soissons;;9247;12555;16788;0,60;7527;8775;9797;11074;13744;15334;18453;22776;3,0;3,5;0,25;57,1;50,9;5,3;1,0;20,6;4,1;27,2;9,7;10,0;7,6;-9,0;0
027220701;Saint-Waast;02722;Soissons;19,3;13973;18906;24852;0,58;10140;12619;14944;17283;20875;23501;26353;31573;3,1;4,0;0,27;68,3;59,5;3,3;5,4;30,3;10,1;7,2;2,6;2,5;2,2;-15,9;0
027220801;Saint-Medard;02722;Soissons;24,0;12611;16249;20659;0,50;9453;11686;13448;15101;17622;19642;22206;26240;2,8;3,3;0,23;70,6;63,3;5,4;1,8;23,5;6,7;11,8;3,6;4,2;3,9;-12,6;0
027220901;Gare;02722;Soissons;18,1;14364;19799;27403;0,66;9510;12879;15508;17638;22648;25463;30579;40086;4,2;5,5;0,33;69,1;58,5;2,6;8,0;30,1;14,1;5,5;1,9;1,9;1,7;-18,8;0
027380101;Quessy Centre;02738;Tergnier;25,8;12176;16678;21720;0,57;9270;10883;13266;14915;18133;20275;22905;27259;2,9;3,5;0,25;59,4;53,2;2,9;3,3;36,2;6,3;10,4;3,9;3,7;2,9;-12,3;0
027380102;Quessy Cite;02738;Tergnier;24,8;12344;15323;19369;0,46;9939;11549;12890;14215;16548;18458;20391;23618;2,4;2,6;0,19;67,7;;;;26,7;2,5;13,2;4,8;4,3;4,1;-10,1;0
027380201;Vouel;02738;Tergnier;23,1;12615;17322;22063;0,55;9029;11781;13686;15581;19508;21140;23442;27791;3,1;3,4;0,23;62,1;55,0;4,1;3,0;34,9;4,5;10,2;3,0;4,0;3,3;-11,7;0
027380301;Tergnier 1;02738;Tergnier;19,9;13052;17635;23314;0,58;9634;12368;14084;15617;19478;21922;25271;30002;3,1;3,5;0,24;56,5;49,8;3,6;3,1;39,8;7,0;9,4;3,2;3,4;2,8;-12,7;0
027380302;Tergnier 2;02738;Tergnier;34,9;10854;15133;19833;0,59;8533;10206;11500;13386;16726;18635;21114;24792;2,9;3,4;0,25;56,6;49,5;4,7;2,4;31,7;5,4;16,8;4,9;7,1;4,9;-10,5;0
027380401;Fargniers;02738;Tergnier;20,7;13072;17551;22011;0,51;9684;12166;14037;15774;19187;20977;23156;27562;2,8;3,3;0,23;62,0;55,4;3,6;3,0;34,7;6,7;9,0;3,2;3,3;2,5;-12,4;0
028100102;Avenue de Compiegne;02810;Villers-Cotterêts;15,5;14440;18939;24184;0,51;11067;13380;15374;16930;20814;22910;26120;32865;3,0;3,6;0,26;65,8;59,9;2,8;3,2;34,7;9,2;5,9;2,3;1,7;1,9;-15,6;0
028100202;Chateau;02810;Villers-Cotterêts;16,6;14391;19500;25525;0,57;10063;13239;15403;17367;21614;24168;27139;33467;3,3;4,2;0,28;73,6;65,4;3,6;4,7;27,1;10,9;5,5;2,1;1,5;1,8;-17,1;0
028100302;Pisseleux;02810;Villers-Cotterêts;9,1;16292;19982;24151;0,39;12604;15400;17072;18662;21489;23150;25747;30389;2,4;2,7;0,20;81,0;75,6;3,1;2,3;22,8;5,2;5,3;3,2;1,1;1,0;-14,3;0
028100401;Vivieres;02810;Villers-Cotterêts;29,5;11498;15215;19305;0,51;9065;10850;12497;13921;16880;18432;20501;23638;2,6;3,0;0,22;74,3;67,5;5,7;1,1;17,6;2,7;15,7;6,1;4,6;5,0;-10,3;0
030950101;Centre Historique;03095;Cusset;25,0;12332;17292;22589;0,59;9244;11127;13321;15260;19437;21466;24390;31210;3,4;4,3;0,29;52,8;41,3;3,2;8,2;40,3;11,9;9,7;2,2;4,3;3,2;-14,7;0
