IRIS;LIBIRIS;COM;LIBCOM;DISP_TP6015;DISP_Q115;DISP_MED15;DISP_Q315;DISP_EQ15;DISP_D115;DISP_D215;DISP_D315;DISP_D415;DISP_D615;DISP_D715;DISP_D815;DISP_D915;DISP_RD15;DISP_S80S2015;DISP_GI15;DISP_PACT15;DISP_PTSA15;DISP_PCHO15;DISP_PBEN15;DISP_PPEN15;DISP_PPAT15;DISP_PPSOC15;DISP_PPFAM15;DISP_PPMINI15;DISP_PPLOGT15;DISP_PIMPOT15;DISP_NOTE15
010040101;Les Perouses-Triangle d'Activite;01004;Ambérieu-en-Bugey;22,6;12918;18689;24628;0,63;9903;11590;14233;16769;21113;23799;26247;30989;3,1;3,6;0,25;68,0;61,3;4,1;2,6;29,7;7,8;8,4;3,2;2,8;2,4;-13,9;0
010040102;Longeray-Gare;01004;Ambérieu-en-Bugey;25,0;12311;16828;22614;0,61;9340;11375;13253;14997;18828;21355;23783;28452;3,0;3,6;0,25;69,0;62,8;4,2;2,0;26,1;7,1;10,6;3,5;3,8;3,4;-12,8;0
010040201;Centre-St Germain-Vareilles;01004;Ambérieu-en-Bugey;16,8;14162;19136;24829;0,56;10555;13155;15219;17164;21333;23543;26396;32641;3,1;3,7;0,26;71,7;64,1;3,4;4,2;27,9;8,7;6,9;2,8;2,0;2,1;-15,2;0
010040202;Tiret-Les Allymes;01004;Ambérieu-en-Bugey;9,6;17335;23059;30401;0,57;12655;16030;18463;20939;25624;28724;32342;38931;3,1;3,8;0,26;76,9;69,4;2,4;5,1;25,8;11,9;3,8;2,1;0,8;0,9;-18,4;0
010330101;Coupy-Vanchy;01033;Bellegarde-sur-Valserine;18,8;13931;20537;31224;0,84;9409;12546;15073;17259;23541;28087;35436;46317;4,9;5,7;0,34;78,0;72,7;4,4;0,9;24,3;6,0;4,5;1,8;1,5;1,2;-12,8;0
010330102;Centre Ville;01033;Bellegarde-sur-Valserine;19,1;13455;18685;27210;0,74;9987;12492;14456;16571;21250;24935;29796;37690;3,8;4,6;0,30;73,2;66,2;4,9;2,1;26,2;8,5;5,4;1,7;1,8;1,9;-13,3;0
010330201;Arc Vouvray-Gare-Chatillon;01033;Bellegarde-sur-Valserine;15,1;15480;22779;33143;0,78;10816;13808;17166;20053;25663;29899;36591;48613;4,5;5,3;0,32;78,3;70,4;3,6;4,3;26,1;6,8;3,4;1,5;1,0;0,9;-14,6;0
010330202;Plateau de Musinens;01033;Bellegarde-sur-Valserine;24,3;12462;17199;24461;0,70;9477;11446;13498;15127;19598;22565;27027;34670;3,7;4,5;0,30;69,8;64,4;4,6;0,9;28,5;5,7;8,4;3,2;2,7;2,5;-12,4;0
010330301;Arlod;01033;Bellegarde-sur-Valserine;20,9;13190;19231;26540;0,69;9808;12070;14741;17472;22467;25282;29743;37364;3,8;4,8;0,30;81,6;74,9;5,7;1,0;19,4;4,8;6,0;3,2;1,4;1,4;-11,8;0
010530101;Centre-Ville;01053;Bourg-en-Bresse;20,6;13103;18396;24900;0,64;9585;12264;13984;16120;20684;23226;28429;36700;3,8;4,8;0,31;70,7;61,9;4,5;4,3;22,9;15,7;7,3;1,6;3,0;2,7;-16,6;0
