CODGEO;LIBGEO;NBMEN14;NBPERS14;NBUC14;Q114;Q214;Q314;Q3_Q1;D114;D214;D314;D414;D614;D714;D814;D914;RD;S80S2014;GI14;PTSAC14;PBEN14;PPEN14;PPAT14;PPSOC14;PPFAM14;PPMINI14;PPLOGT14;PIMPOT14
2B229;Pietroso;122;254;181,5;;16955,3;;;;;;;;;;;;;;;;;;;;;;
2B233;Pino;73;134;102,9;;16407,6;;;;;;;;;;;;;;;;;;;;;;
2B236;Poggio-di-Nazza;61;98;77,4;;18450,0;;;;;;;;;;;;;;;;;;;;;;
2B238;Poggio-di-Venaco;69;152;106,4;;22095,5;;;;;;;;;;;;;;;;;;;;;;
2B239;Poggio-d'Oletta;82;181;127,7;;22911,6;;;;;;;;;;;;;;;;;;;;;;
2B242;Poggio-Mezzana;290;568;415,8;;16316,2;;;;;;;;;;;;;;;;;;;;;;
2B246;La Porta;82;158;117,0;;16403,5;;;;;;;;;;;;;;;;;;;;;;
2B250;Prunelli-di-Casacconi;75;149;109,0;;19159,0;;;;;;;;;;;;;;;;;;;;;;
2B251;Prunelli-di-Fiumorbo;1364;3113;2136,1;12245,0;16911,7;23070,7;10825,7;8982,7;11396,3;13209,6;15133,0;19469,3;21842,5;24272,5;30731,2;3,4;4,4;0,3;56,5;7,5;32,4;10,5;7,3;2,5;2,6;2,2;-14,2
2B252;Pruno;75;145;106,6;;15492,2;;;;;;;;;;;;;;;;;;;;;;
2B257;Rapale;65;132;96,4;;20789,1;;;;;;;;;;;;;;;;;;;;;;
2B260;Riventosa;69;130;97,9;;18916,3;;;;;;;;;;;;;;;;;;;;;;
2B261;Rogliano;220;471;331,4;;16447,9;;;;;;;;;;;;;;;;;;;;;;
2B265;Rutali;124;272;191,6;;18719,5;;;;;;;;;;;;;;;;;;;;;;
2B277;Serra-di-Fiumorbo;150;323;227,5;;18486,7;;;;;;;;;;;;;;;;;;;;;;
2B280;Silvareccio;58;111;81,8;;18257,6;;;;;;;;;;;;;;;;;;;;;;
2B281;Sisco;448;967;680,7;;17907,4;;;;;;;;;;;;;;;;;;;;;;
2B283;Solaro;312;671;474,3;;20772,0;;;;;;;;;;;;;;;;;;;;;;
2B286;Sorbo-Ocagnano;312;727;500,8;;16976,7;;;;;;;;;;;;;;;;;;;;;;
2B289;Soveria;45;113;74,6;;18373,3;;;;;;;;;;;;;;;;;;;;;;
2B290;Speloncato;114;223;162,8;;15448,7;;;;;;;;;;;;;;;;;;;;;;
2B293;Sant'Andréa-di-Cotone;90;186;133,2;;20985,3;;;;;;;;;;;;;;;;;;;;;;
2B298;Saint-Florent;696;1407;1017,7;;17679,5;;;;;;;;;;;;;;;;;;;;;;
2B303;San-Giuliano;233;524;365,3;;17934,7;;;;;;;;;;;;;;;;;;;;;;
2B305;San-Martino-di-Lota;1136;2515;1756,6;15610,0;21475,9;30175,6;14565,6;11787,3;14559,0;16614,3;18890,0;24682,7;28012,0;32757,3;42003,2;3,6;4,9;0,3;62,3;13,9;29,3;12,8;3,6;1,1;1,6;0,9;-21,9
2B307;Santa-Lucia-di-Moriani;544;1191;833,1;;16916,7;;;;;;;;;;;;;;;;;;;;;;
2B309;Santa-Maria-di-Lota;757;1855;1253,5;;22427,0;;;;;;;;;;;;;;;;;;;;;;
2B311;Santa-Maria-Poggio;295;608;435,6;;17436,2;;;;;;;;;;;;;;;;;;;;;;
2B313;San-Nicolao;785;1627;1155,0;;16090,8;;;;;;;;;;;;;;;;;;;;;;
2B314;Santo-Pietro-di-Tenda;145;293;214,2;;15316,9;;;;;;;;;;;;;;;;;;;;;;
2B315;Santo-Pietro-di-Venaco;101;211;150,5;;17956,0;;;;;;;;;;;;;;;;;;;;;;
2B316;Santa-Reparata-di-Balagna;398;859;604,4;;17113,3;;;;;;;;;;;;;;;;;;;;;;
2B318;Taglio-Isolaccio;208;471;328,3;;18037,2;;;;;;;;;;;;;;;;;;;;;;
2B319;Talasani;277;680;456,9;;17304,3;;;;;;;;;;;;;;;;;;;;;;
2B320;Tallone;122;294;200,6;;16006,3;;;;;;;;;;;;;;;;;;;;;;
2B327;Tomino;88;167;125,5;;19215,0;;;;;;;;;;;;;;;;;;;;;;
2B328;Tox;54;89;70,3;;21279,0;;;;;;;;;;;;;;;;;;;;;;
