CODGEO;LIBGEO;NBMEN15;NBPERS15;NBUC15;Q115;Q215;Q315;Q3_Q1;D115;D215;D315;D415;D615;D715;D815;D915;RD;S80S2015;GI15;PACT15;PCHO15;PTSA15;PBEN15;PPEN15;PPAT15;PPSOC15;PPFAM15;PPMINI15;PPLOGT15;PIMPOT15
01047;Blyes;369,0;1020,0;651,6;;25555,3;;;;;;;;;;;;;;;;;;;;;;;;
01049;La Boisse;1107,0;3027,5;1955,8;19063,5;24862,0;31477,7;12414,2;14879,1;17742,2;20279,6;22566,0;26815,6;29998,0;33194,3;38842,8;2,6;3,1;0,2;80,7;2,4;74,7;3,6;23,2;10,5;2,8;2,1;0,4;0,3;-17,2
01050;Boissey;127,0;342,0;217,1;;19351,0;;;;;;;;;;;;;;;;;;;;;;;;
01052;Bouligneux;126,0;298,0;204,3;;25812,7;;;;;;;;;;;;;;;;;;;;;;;;
01053;Bourg-en-Bresse;18630,0;38004,5;27042,4;13003,3;18165,7;24793,3;11790,0;9583,6;12020,0;14029,2;16119,6;20460,7;23149,0;27044,0;33753,8;3,5;4,4;0,3;64,4;3,4;57,2;3,7;33,2;10,5;7,9;2,6;2,8;2,5;-16,0
01054;Bourg-Saint-Christophe;502,0;1400,5;887,3;;24406,1;;;;;;;;;;;;;;;;;;;;;;;;
01056;Boyeux-Saint-Jérôme;146,0;340,5;230,0;;20848,9;;;;;;;;;;;;;;;;;;;;;;;;
01057;Boz;199,0;506,5;333,6;;20352,4;;;;;;;;;;;;;;;;;;;;;;;;
01058;Brégnier-Cordon;339,0;826,5;550,1;;20417,5;;;;;;;;;;;;;;;;;;;;;;;;
01059;Brénaz;43,0;105,0;70,8;;20038,0;;;;;;;;;;;;;;;;;;;;;;;;
01060;Brénod;237,0;538,0;371,7;;22522,5;;;;;;;;;;;;;;;;;;;;;;;;
01061;Brens;431,0;1190,0;764,3;;22872,6;;;;;;;;;;;;;;;;;;;;;;;;
01062;Bressolles;332,0;887,5;571,0;;26497,0;;;;;;;;;;;;;;;;;;;;;;;;
01063;Brion;210,0;512,5;345,1;;22333,8;;;;;;;;;;;;;;;;;;;;;;;;
01064;Briord;391,0;960,5;638,7;;20574,7;;;;;;;;;;;;;;;;;;;;;;;;
01065;Buellas;717,0;1846,5;1216,7;;23503,5;;;;;;;;;;;;;;;;;;;;;;;;
01067;Ceignes;103,0;262,5;172,4;;21795,2;;;;;;;;;;;;;;;;;;;;;;;;
01068;Cerdon;297,0;683,5;466,2;;20087,0;;;;;;;;;;;;;;;;;;;;;;;;
01069;Certines;599,0;1499,5;998,9;;22859,4;;;;;;;;;;;;;;;;;;;;;;;;
01071;Cessy;1752,0;4430,0;2896,4;22538,5;36747,3;54276,7;31738,2;14043,3;20212,8;25184,5;30373,3;43710,7;50298,8;59757,0;76185,2;5,4;6,9;0,4;95,8;3,1;90,3;2,4;13,0;7,8;1,1;0,6;0,2;0,3;-17,7
01072;Ceyzériat;1280,0;3019,5;2033,5;17962,1;22744,7;29721,0;11758,9;14297,5;16471,3;18905,0;20682,8;24873,2;27636,5;32226,0;37858,7;2,6;3,4;0,2;75,7;2,3;67,6;5,8;28,0;10,6;3,7;2,1;0,9;0,8;-18,0
01073;Ceyzérieu;440,0;1033,0;704,0;;21623,3;;;;;;;;;;;;;;;;;;;;;;;;
01074;Chalamont;936,0;2264,5;1508,2;15931,0;20860,0;26812,0;10881,0;12185,0;14769,0;17163,0;19043,9;22875,2;25470,6;28575,3;33481,0;2,7;3,6;0,3;79,5;2,5;73,7;3,3;22,6;9,2;4,5;2,6;0,9;1,0;-15,8
01075;Chaleins;473,0;1319,0;842,5;;22692,3;;;;;;;;;;;;;;;;;;;;;;;;
01076;Chaley;76,0;152,0;111,0;;20184,0;;;;;;;;;;;;;;;;;;;;;;;;
01077;Challes-la-Montagne;91,0;191,0;133,8;;21004,0;;;;;;;;;;;;;;;;;;;;;;;;
01078;Challex;484,0;1212,0;796,7;;40368,9;;;;;;;;;;;;;;;;;;;;;;;;
01079;Champagne-en-Valromey;298,0;669,5;458,5;;20704,0;;;;;;;;;;;;;;;;;;;;;;;;
01080;Champdor-Corcelles;274,0;651,0;438,2;;20582,3;;;;;;;;;;;;;;;;;;;;;;;;
01081;Champfromier;299,0;702,0;477,6;;22851,5;;;;;;;;;;;;;;;;;;;;;;;;
01082;Chanay;214,0;533,0;352,1;;23515,2;;;;;;;;;;;;;;;;;;;;;;;;
01083;Chaneins;332,0;889,5;578,4;;22493,8;;;;;;;;;;;;;;;;;;;;;;;;
01084;Chanoz-Châtenay;307,0;825,5;531,4;;20740,5;;;;;;;;;;;;;;;;;;;;;;;;
01085;La Chapelle-du-Châtelard;147,0;383,0;249,0;;21737,6;;;;;;;;;;;;;;;;;;;;;;;;
01087;Charix;115,0;284,5;189,4;;23723,2;;;;;;;;;;;;;;;;;;;;;;;;
01088;Charnoz-sur-Ain;336,0;937,5;603,0;;25472,9;;;;;;;;;;;;;;;;;;;;;;;;
01089;Château-Gaillard;769,0;2081,0;1335,9;17238,3;21980,9;27398,4;10160,1;13120,4;15934,3;18384,3;20446,7;23764,7;26459,1;28993,3;33456,0;2,5;2,8;0,2;81,8;3,4;73,9;4,6;22,1;6,5;4,2;2,7;0,6;0,8;-14,6
01090;Châtenay;143,0;339,5;226,7;;21576,1;;;;;;;;;;;;;;;;;;;;;;;;
01091;Châtillon-en-Michaille;1313,0;3488,5;2261,3;18601,3;25464,0;35734,0;17132,7;12894,4;17101,5;19932,0;22699,3;29387,5;33503,6;39453,6;48873,3;3,8;4,9;0,3;81,4;3,7;74,5;3,1;19,8;11,3;2,6;1,5;0,6;0,5;-15,1
01092;Châtillon-la-Palud;628,0;1648,5;1074,5;;22610,8;;;;;;;;;;;;;;;;;;;;;;;;
01093;Châtillon-sur-Chalaronne;2096,0;4557,0;3188,9;16345,0;20684,6;26611,0;10266,0;12473,5;15328,0;17274,0;19023,0;22683,1;25378,7;28758,5;34958,5;2,8;3,5;0,3;66,4;2,9;59,1;4,3;32,7;11,8;4,6;2,1;1,2;1,3;-15,5
01094;Chavannes-sur-Reyssouze;314,0;778,5;518,6;;20638,8;;;;;;;;;;;;;;;;;;;;;;;;
01095;Chavannes-sur-Suran;265,0;628,0;421,3;;20239,5;;;;;;;;;;;;;;;;;;;;;;;;
01096;Chaveyriat;373,0;1007,5;651,6;;21255,6;;;;;;;;;;;;;;;;;;;;;;;;
01097;Chavornay;100,0;212,0;150,8;;21069,8;;;;;;;;;;;;;;;;;;;;;;;;
01098;Chazey-Bons;365,0;940,0;616,8;;19958,9;;;;;;;;;;;;;;;;;;;;;;;;
01099;Chazey-sur-Ain;624,0;1548,0;1030,3;;23765,4;;;;;;;;;;;;;;;;;;;;;;;;
01100;Cheignieu-la-Balme;72,0;142,5;103,8;;20115,0;;;;;;;;;;;;;;;;;;;;;;;;
01101;Chevillard;71,0;165,0;114,0;;22030,6;;;;;;;;;;;;;;;;;;;;;;;;
01102;Chevroux;365,0;951,0;616,0;;21309,3;;;;;;;;;;;;;;;;;;;;;;;;
01103;Chevry;557,0;1403,5;919,7;;38792,2;;;;;;;;;;;;;;;;;;;;;;;;
01104;Chézery-Forens;186,0;440,5;297,0;;23032,4;;;;;;;;;;;;;;;;;;;;;;;;
01105;Civrieux;626,0;1725,0;1106,7;;25438,0;;;;;;;;;;;;;;;;;;;;;;;;
01106;Cize;70,0;165,0;111,3;;19020,7;;;;;;;;;;;;;;;;;;;;;;;;
01107;Cleyzieu;60,0;128,0;89,4;;22194,7;;;;;;;;;;;;;;;;;;;;;;;;
01108;Coligny;505,0;1079,0;756,6;;20831,1;;;;;;;;;;;;;;;;;;;;;;;;
01109;Collonges;753,0;1963,5;1267,8;;29818,0;;;;;;;;;;;;;;;;;;;;;;;;
01110;Colomieu;67,0;154,0;106,1;;19662,9;;;;;;;;;;;;;;;;;;;;;;;;
01111;Conand;55,0;121,5;82,6;;19509,3;;;;;;;;;;;;;;;;;;;;;;;;
01112;Condamine;164,0;454,5;288,7;;21881,3;;;;;;;;;;;;;;;;;;;;;;;;
01113;Condeissiat;327,0;809,0;536,6;;19817,6;;;;;;;;;;;;;;;;;;;;;;;;
