CODGEO;LIBGEO;NBMEN16;NBPERS16;NBUC16;Q116;Q216;Q316;Q3_Q1;D116;D216;D316;D416;D616;D716;D816;D916;RD;S80S2016;GI16;PACT16;PTSA16;PCHO16;PBEN16;PPEN16;PPAT16;PPSOC16;PPFAM16;PPMINI16;PPLOGT16;PIMPOT16
35278;Saint-Grégoire;3945;9793;6542,8;21079;28896;38307;17228;15354;19375;22587;25511;32293;35899;41544;52316;3,4;4,323;0,290;83,2;72,8;2,3;8,1;23,9;13,9;2,5;1,2;0,6;0,7;-23,5
35279;Saint-Guinoux;455;1251;794,4;;19588;;;;;;;;;;;;;;;;;;;;;;;;
35280;Saint-Hilaire-des-Landes;404;1004;667,2;;19539;;;;;;;;;;;;;;;;;;;;;;;;
35281;Saint-Jacques-de-la-Lande;5508;11591;8114,8;14726;19493;24990;10264;11017;13707;15650;17553;21340;23512;26517;31826;2,9;3,368;0,235;80,4;73,5;3,9;3,1;21,5;5,9;7,8;2,6;2,6;2,5;-15,6
35282;Saint-Jean-sur-Couesnon;447;1183;761,8;;21164;;;;;;;;;;;;;;;;;;;;;;;;
35283;Saint-Jean-sur-Vilaine;488;1326;851,0;;21873;;;;;;;;;;;;;;;;;;;;;;;;
35284;Saint-Jouan-des-Guérets;1153;2663;1839,7;17317;22641;29003;11686;13944;16212;18354;20478;24921;27042;30964;37305;2,7;3,153;0,231;66,1;59,0;2,7;4,4;35,5;11,4;3,1;1,5;0,8;0,8;-16,1
35285;Saint-Just;477;1098;751,6;;19245;;;;;;;;;;;;;;;;;;;;;;;;
35286;Saint-Léger-des-Prés;92;237;152,6;;20438;;;;;;;;;;;;;;;;;;;;;;;;
35287;Saint-Lunaire;1156;2512;1773,6;17735;23969;33111;15376;13174;16328;18721;21362;27059;30865;36265;45418;3,4;4,374;0,294;55,6;47,3;2,0;6,2;44,2;17,5;2,3;1,0;0,8;0,5;-19,6
35288;Saint-Malo;23594;45110;33314,3;15470;21066;29064;13594;11820;14394;16567;18790;23587;26957;31702;40237;3,4;4,243;0,291;57,4;48,1;2,9;6,4;42,0;13,2;5,0;1,3;2,1;1,6;-17,6
35289;Saint-Malo-de-Phily;407;1037;670,1;;20237;;;;;;;;;;;;;;;;;;;;;;;;
35290;Saint-Malon-sur-Mel;236;581;383,2;;18964;;;;;;;;;;;;;;;;;;;;;;;;
35291;Saint-Marcan;204;433;306,5;;18439;;;;;;;;;;;;;;;;;;;;;;;;
35292;Saint-Marc-le-Blanc;558;1404;925,3;;19230;;;;;;;;;;;;;;;;;;;;;;;;
35293;Saint-Marc-sur-Couesnon;231;584;384,1;;20922;;;;;;;;;;;;;;;;;;;;;;;;
35294;Sainte-Marie;920;2297;1522,1;15954;19865;24726;8772;12261;14781;16920;18670;21600;23581;26370;31947;2,6;2,960;0,211;69,7;62,4;3,2;4,1;31,1;7,4;5,3;2,8;1,5;0,9;-13,5
35295;Saint-Maugan;202;548;351,6;;19569;;;;;;;;;;;;;;;;;;;;;;;;
35296;Saint-Médard-sur-Ille;474;1286;828,0;;22303;;;;;;;;;;;;;;;;;;;;;;;;
