codgeo;libgeo;an;p_licsport014_f
01215;Surjoux-Lhopital;2018;
01216;Lhuis;2018;32,80
01219;Lompnas;2018;50,00
01224;Loyettes;2018;24,60
01225;Lurcy;2018;38,20
01227;Magnieu;2018;47,80
01228;Maillat;2018;36,40
01229;Malafretaz;2018;39,40
01230;Mantenay-Montlin;2018;57,10
01231;Manziat;2018;39,00
01232;Marboz;2018;35,30
01233;Marchamp;2018;16,70
01234;Marignieu;2018;7,70
01235;Marlieux;2018;32,70
01236;Marsonnas;2018;35,40
01237;Martignat;2018;44,50
01238;Massieux;2018;31,00
01239;Massignieu-de-Rives;2018;38,90
01240;Matafelon-Granges;2018;47,10
01241;Meillonnas;2018;35,40
01242;Mérignat;2018;0,00
01243;Messimy-sur-Saône;2018;45,50
01244;Meximieux;2018;35,30
01245;Bohas-Meyriat-Rignat;2018;40,70
01246;Mézériat;2018;51,00
01247;Mijoux;2018;32,90
01248;Mionnay;2018;35,70
01249;Miribel;2018;38,60
01250;Misérieux;2018;36,80
01252;Mogneneins;2018;44,70
01254;Montagnat;2018;47,50
01255;Montagnieu;2018;36,80
01257;Montanges;2018;42,00
01258;Montceaux;2018;37,50
01259;Montcet;2018;27,90
01260;Le Montellier;2018;37,50
01261;Monthieux;2018;39,00
01262;Montluel;2018;36,80
01263;Montmerle-sur-Saône;2018;40,60
01264;Montracol;2018;36,60
01265;Montréal-la-Cluse;2018;36,50
01266;Montrevel-en-Bresse;2018;41,30
01267;Nurieux-Volognat;2018;43,90
01268;Murs-et-Gélignieux;2018;45,00
01269;Nantua;2018;36,00
01272;Neuville-les-Dames;2018;37,00
01273;Neuville-sur-Ain;2018;49,30
01274;Les Neyrolles;2018;38,00
01275;Neyron;2018;45,70
01276;Niévroz;2018;28,40
01277;Nivollet-Montgriffon;2018;28,60
01279;Oncieu;2018;100,00
01280;Ordonnaz;2018;100,00
01281;Ornex;2018;38,40
01282;Outriaz;2018;53,60
01283;Oyonnax;2018;37,90
01284;Ozan;2018;45,70
01285;Parcieux;2018;42,50
01286;Parves et Nattages;2018;39,10
01288;Péron;2018;40,90
01289;Péronnas;2018;35,20
01290;Pérouges;2018;35,70
01291;Perrex;2018;51,40
01293;Peyriat;2018;25,00
01294;Peyrieu;2018;37,80
01295;Peyzieux-sur-Saône;2018;40,00
01296;Pirajoux;2018;23,10
01297;Pizay;2018;44,40
01298;Plagne;2018;25,00
01299;Le Plantay;2018;37,50
01301;Polliat;2018;43,80
01302;Pollieu;2018;57,10
01303;Poncin;2018;50,80
01304;Pont-d'Ain;2018;39,70
01305;Pont-de-Vaux;2018;47,60
01306;Pont-de-Veyle;2018;51,60
01307;Port;2018;33,30
01308;Pougny;2018;27,50
01309;Pouillat;2018;14,30
01310;Prémeyzel;2018;40,00
01311;Prémillieu;2018;60,00
01313;Prévessin-Moëns;2018;38,30
01314;Priay;2018;41,40
01317;Ramasse;2018;45,50
01318;Rancé;2018;41,10
01319;Relevant;2018;43,60
01320;Replonges;2018;34,40
01321;Revonnas;2018;43,20
01322;Reyrieux;2018;40,60
01323;Reyssouze;2018;46,80
01325;Rignieux-le-Franc;2018;20,80
01328;Romans;2018;52,60
01329;Rossillon;2018;0,00
01330;Ruffieu;2018;45,80
01331;Saint-Alban;2018;28,60
01332;Saint-André-de-Bâgé;2018;41,90
01333;Saint-André-de-Corcy;2018;39,30
01334;Saint-André-d'Huiriat;2018;32,40
01335;Saint-André-le-Bouchoux;2018;46,20
01336;Saint-André-sur-Vieux-Jonc;2018;21,60
01337;Saint-Bénigne;2018;34,10
01338;Groslée-Saint-Benoit;2018;33,30
01339;Saint-Bernard;2018;43,90
01342;Sainte-Croix;2018;47,00
01343;Saint-Cyr-sur-Menthon;2018;38,60
01344;Saint-Denis-lès-Bourg;2018;28,50
01345;Saint-Denis-en-Bugey;2018;40,30
01346;Saint-Didier-d'Aussiat;2018;55,00
01347;Saint-Didier-de-Formans;2018;44,20
01348;Saint-Didier-sur-Chalaronne;2018;34,20
01349;Saint-Éloi;2018;43,80
01350;Saint-Étienne-du-Bois;2018;48,00
01351;Saint-Étienne-sur-Chalaronne;2018;38,80
01352;Saint-Étienne-sur-Reyssouze;2018;34,00
