codgeo;disp_q1_a17;disp_q2_a17;disp_q3_a17;disp_q1q3q2_a17;disp_d1_a17;disp_d2_a17;disp_d3_a17;disp_d4_a17;disp_d6_a17;disp_d7_a17;disp_d8_a17;disp_d9_a17;disp_d1d9_a17;disp_gini_a17;disp_s80s20_a17;disp_pact_a17;disp_pcho_a17;disp_ppen_a17;disp_ppat_a17;disp_ppsoc_a17;disp_ppfam_a17;disp_ppmini_a17;disp_pplogt_a17;disp_pimpot_a17;tp60_a17;note
Ensemble;10360;13490;17870;0,6;8190;9710;10990;12230;14960;16790;19160;23070;2,8;0,24;3,38;61,4;5,9;21,6;3,1;23,3;6,7;9,8;6,8;-9,4;43,5;0
QP001001;10840;13790;18100;0,5;8620;10280;11510;12830;15340;17080;19350;22860;2,7;0,224;3,131;53,4;5,6;32;4,1;19,8;6,1;7,6;6,1;-9,3;38,9;0
QP001002;10190;12850;16040;0,5;8070;9650;10800;11860;13850;15260;16930;19180;2,4;0,192;2,65;49;6,9;27,6;2,4;27,6;6,2;12,7;8,7;-6,6;48,4;0
QP001003;11760;15680;22350;0,7;7250;10740;12680;13790;18410;20530;24130;33780;4,7;0,337;5,976;78,2;6;19;3,3;10,7;3,9;3,2;3,6;-11,2;29,4;0
QP001004;11050;14480;19740;0,6;8800;10350;11700;12980;15570;17710;21280;27000;3,1;0,263;3,651;70,3;5,6;20,1;2,9;16,6;6;4,9;5,7;-9,9;37,5;0
QP001005;10250;13000;17280;0,5;8420;9650;10740;11830;14430;16480;18660;22180;2,6;0,222;3,01;61,9;6,2;19,6;2,9;24;7,5;9,1;7,4;-8,4;47;0
QP001006;11030;13710;17130;0,4;8990;10490;11460;12530;14840;16280;18090;20800;2,3;0,19;2,591;58;7,6;25,9;2,3;21,2;8,2;6,9;6,1;-7,4;41,7;0
QP001007;10860;13540;16770;0,4;8800;10070;11560;12810;15160;16320;18430;21170;2,4;0,193;2,644;67,4;6,7;16,2;1,9;22,4;8,4;7,2;6,8;-7,9;37,9;0
QP001008;9910;12250;14970;0,4;8090;9320;10520;11440;13260;14520;16270;18570;2,3;0,19;2,541;54,3;6;25,1;2;25,8;9,1;9,6;7,1;-7,2;54,8;0
QP001009;11790;14560;18970;0,5;9310;11210;12160;13230;15620;17970;19920;24040;2,6;0,205;2,791;68,9;6,2;21,8;2,3;16,3;5,9;5,3;5,1;-9,3;35,2;0
QP002001;9920;12960;17640;0,6;8250;9370;10420;11630;14430;16310;18880;22790;2,8;0,237;3,168;37,4;4,8;41,5;4,5;25;6,5;11;7,5;-8,4;47,5;0
QP002002;10740;14400;18920;0,6;8590;10080;11340;13030;15900;17840;20210;24840;2,9;0,258;3,549;58,6;4,9;27,4;4;20,5;5,2;9,1;6,2;-10,5;38;0
QP002003;9890;13350;16960;0,5;8200;9350;10710;12140;14150;15830;18050;20830;2,5;0,207;2,84;42,9;5,8;32,4;1,6;30,1;5,8;14,7;9,6;-7;43,4;0
QP002004;9380;12130;16110;0,6;8020;8980;9890;11040;13400;15140;17250;20090;2,5;0,221;2,869;46,7;6;24,5;2,1;33,8;6,6;17,2;10;-7,1;53,8;0
QP002005;10030;12990;17590;0,6;8060;9230;10600;11670;14620;16760;18960;23880;3;0,249;3,453;44,9;5,6;32;5,2;26,4;5,2;13;8,2;-8,5;47;0
QP002006;10090;13370;18760;0,6;8310;9330;10550;11880;14700;17160;19650;24340;2,9;0,255;3,42;44,9;3,7;36,4;5,3;22,5;4,9;11;6,6;-9,1;44,9;0
QP002007;9880;12680;17620;0,6;7930;9340;10400;11530;14090;16140;18850;23120;2,9;0,275;3,821;56,1;6,1;23,2;5,2;25,6;6,9;11;7,7;-10,1;49,9;0
QP002008;9770;12840;17520;0,6;8230;9230;10350;11720;14190;16280;18660;23180;2,8;0,255;3,337;51,2;5,8;23,7;4,7;29;6,2;14,3;8,5;-8,6;49;0
QP002009;9480;11830;14890;0,5;7770;8970;9840;10830;12770;14070;16030;18960;2,4;0,198;2,669;42,1;6,4;23,9;1,7;37,9;7,2;18,6;12,1;-5,6;58,4;0
QP002010;9340;12370;16500;0,6;7920;8970;9820;11250;13600;15190;17780;21540;2,7;0,251;3,415;43,7;5,7;31,4;3,6;29,3;6,1;13,8;9,4;-8;53,5;0
QP002011;9240;11590;14900;0,5;7460;8760;9640;10560;12600;14110;16010;19680;2,6;0,225;3,091;42,2;6,9;27,5;3;34,2;8,1;15,5;10,6;-6,9;60,4;0
QP002012;10380;13450;16850;0,5;8560;9530;11130;12310;14580;16050;17810;20680;2,4;0,197;2,712;45,6;6,4;32,2;2,7;26,2;4,6;13,6;8;-6,7;42,8;0
QP002013;9430;12060;15560;0,5;7850;9000;9930;11170;13240;14600;16460;19260;2,5;0,204;2,795;50,6;7,7;20,7;1,8;33,2;8,9;14,5;9,8;-6,3;55,6;0
QP002014;9180;11440;14090;0,4;7260;8750;9670;10700;12260;13550;15120;17930;2,5;0,199;2,69;42,8;6,2;15,6;1,1;45,3;13,6;19,1;12,6;-4,8;64;1
QP002015;10930;14010;18370;0,5;8690;10450;11810;12840;15640;17290;19170;21670;2,5;0,204;2,788;65,1;5,9;20,5;1,3;21,6;5,6;9,3;6,7;-8,5;38,4;0
QP002016;9750;12960;17110;0,6;7940;9060;10480;11730;14680;16360;17740;20420;2,6;0,223;3,09;60,6;7,8;16,8;2,8;28;8,4;11;8,6;-8,2;46,6;0
QP002017;9860;12560;16050;0,5;8150;9270;10430;11360;13670;15140;16980;19980;2,5;0,207;2,809;56,7;9,4;21,2;2,1;27,2;7,4;11,1;8,7;-7,2;51,5;0
QP003001;10490;14220;19390;0,6;8310;9690;11330;12810;16010;18210;20710;25030;3;0,261;3,766;54,2;5,4;29,1;7,1;20;3,1;10,7;6,2;-10,4;39;0
QP003002;10420;12870;16740;0,5;8910;10100;10950;11880;14090;15560;17710;20780;2,3;0,194;2,55;37,7;5,4;37,3;3,7;28,2;6,2;13;9;-6,9;47,8;1
QP003003;10400;13640;17860;0,5;8560;9840;11070;12440;14990;16860;18880;21740;2,5;0,222;3,042;44,1;4,8;34,9;4,4;25;5,4;12;7,6;-8,4;41,7;0
