codgeo;disp_q1_a16;disp_q2_a16;disp_q3_a16;disp_q1q3q2_a16;disp_d1_a16;disp_d2_a16;disp_d3_a16;disp_d4_a16;disp_d6_a16;disp_d7_a16;disp_d8_a16;disp_d9_a16;disp_d1d9_a16;disp_gini_a16;disp_s80s20_a16;disp_pact_a16;disp_pcho_a16;disp_ppen_a16;disp_ppat_a16;disp_ppsoc_a16;disp_ppfam_a16;disp_ppmini_a16;disp_pplogt_a16;disp_pimpot_a16;tp60_a16;note
QP062049;10770;13320;17340;0,5;8650;10190;11260;12250;14680;16310;18320;21230;2,5;0,198;2,674;51,9;5,5;33,3;2,1;21,5;4,9;9;7,7;-8,8;41,7;0
QP062050;10150;13470;18210;0,6;8190;9550;10770;12110;15120;17310;19680;23750;2,9;0,271;3,789;63,9;8;18,3;4,4;24,6;3,1;12,2;9,2;-11,2;43,1;0
QP062051;9860;12240;15650;0,5;8320;9330;10280;11300;13430;14980;16560;19480;2,3;0,202;2,705;47,2;6,4;25,2;2,2;32,8;8,2;14;10,7;-7,4;52;0
QP062052;10340;14150;18510;0,6;8530;9850;11210;12720;15810;17450;19390;21960;2,6;0,215;2,909;58,3;6,3;28,3;3,1;19,8;5,8;7,7;6,3;-9,5;37,3;0
QP062053;11080;13740;16990;0,4;9010;10540;11440;12510;15100;16280;17920;20440;2,3;0,179;2,398;51,8;5,7;34;2,2;20,3;4,5;9;6,8;-8,3;40;0
QP062054;10110;12650;15800;0,4;8350;9580;10710;11540;13730;14920;16580;19390;2,3;0,181;2,426;49,2;8,3;28,7;1,4;28,2;6,9;11,6;9,7;-7,5;47,6;0
QP062055;9550;12260;16680;0,6;8120;9110;10010;11000;13980;15710;18080;21550;2,7;0,233;3,119;54,6;5,6;23,6;2,7;27,8;7,6;11,9;8,2;-8,7;51,5;0
QP062056;9090;11150;14490;0,5;7670;8660;9470;10270;12380;13610;15560;18110;2,4;0,201;2,71;44,4;7;21,6;1,4;38,9;8,7;17,7;12,4;-6,3;60,8;0
QP062057;9960;13560;18600;0,6;7920;9210;10480;12060;14910;17100;19980;24380;3,1;0,274;3,879;60,1;5,4;23,6;5,2;21,8;5,4;9,3;7;-10,7;42,5;0
QP062058;10050;13130;18100;0,6;8160;9540;10680;11890;15100;17040;19950;25050;3,1;0,288;3,999;61,8;5,6;21,4;5,9;22;4,7;10,1;7,1;-11,1;44,9;0
QP062059;10480;13100;16540;0,5;8700;9970;10850;12080;14450;15700;17270;20180;2,3;0,204;2,758;55,2;7,2;24,2;2,5;26,1;7;11,3;7,8;-8;45,3;0
QP062060;9980;12640;16100;0,5;8310;9350;10430;11550;13730;15330;17170;19890;2,4;0,213;2,849;58;7,9;20,9;1,8;27,3;4,5;12,5;10,2;-8;49,2;0
QP062061;9520;12190;15960;0,5;7770;8930;10000;11040;13390;14890;17130;20520;2,6;0,229;3,114;53,8;7;22,1;2,3;30,3;6,9;13,8;9,6;-8,5;52,3;0
QP062062;9640;12300;15880;0,5;8170;9290;9940;11100;13580;14940;17050;20230;2,5;0,222;2,928;53,4;6,7;22,2;2,1;30,7;6,7;13,6;10,3;-8,4;51,6;0
QP062063;11010;14840;19610;0,6;8760;10480;11690;13560;16730;18540;20810;26120;3;0,26;3,595;61,6;3,4;26,8;3;19,6;6,3;8,2;5,1;-11;33,7;0
QP062064;10210;12880;16210;0,5;8350;9710;10750;11720;13980;15440;17270;19780;2,4;0,187;2,551;57,7;7,7;21,6;1,4;27,1;5,5;11,9;9,7;-7,8;46,6;0
QP063001;10850;13510;17110;0,5;8760;9980;11190;12350;15060;16250;18370;21800;2,5;0,207;2,745;46,7;5;35,5;4,6;21;5,2;8,7;7,1;-7,8;41,2;0
QP063002;8870;11690;15270;0,5;6780;8110;9360;10600;12910;14400;16560;19740;2,9;0,243;3,514;48,3;6,1;28,4;3,1;28,1;5,5;13,7;9;-7,9;56,5;0
QP063003;9300;12200;16290;0,6;7330;8760;9890;10950;13520;15410;17640;21270;2,9;0,239;3,347;49,7;5,8;32;4;22,9;7,4;9,1;6,4;-8,6;52,4;0
QP063004;9600;12530;16150;0,5;7850;8990;10160;11350;13650;15280;17420;20830;2,7;0,227;3,123;54;6,4;26,8;3;24,9;8;9,5;7,5;-8,7;49,5;0
QP063005;10190;13090;16850;0,5;8030;9540;10700;11820;14310;15860;17640;20840;2,6;0,21;2,903;54,9;5,5;29,5;3,2;21,1;5,9;8,6;6,6;-8,7;45,1;0
QP063006;10490;13300;16990;0,5;8640;10010;10960;12060;14710;16100;17830;21150;2,4;0,196;2,615;60,2;6,5;23,1;2,6;22,8;6;9,1;7,7;-8,7;43,5;0
QP063007;9840;13460;17720;0,6;7660;8990;10900;12020;15190;16860;18690;22800;3;0,273;3,974;54,3;6,9;29,7;6,1;20;3,8;9,7;6,5;-10,1;42,5;0
QP064001;11610;14570;18600;0,5;8700;10870;12160;13290;15840;17470;19740;24490;2,8;0,229;3,275;62,9;5,6;22,5;4;20,5;2,8;10,6;7;-9,9;32,2;0
QP064002;11130;13940;17580;0,5;8900;10660;11750;12820;15000;16440;18620;21080;2,4;0,195;2,706;57,9;6;25,1;2,9;22,5;5,2;10;7,3;-8,4;36,1;0
QP064003;9680;12910;16510;0,5;7400;9060;10420;11580;14130;15570;17700;20880;2,8;0,234;3,377;44,2;5,2;33,5;3,2;27,1;5,8;12,3;9,1;-8;46,9;0
QP064004;9240;12060;14520;0,4;7520;8660;9760;11030;12840;14050;15620;18530;2,5;0,204;2,854;43,2;7,4;22,6;1,5;37,8;8,4;17,4;12,1;-5,1;54,5;0
QP065001;8970;11210;14570;0,5;6750;8630;9560;10320;12320;13830;15540;18180;2,7;0,225;3,099;47,8;8,2;21,1;2,3;35,7;8,8;15,2;11,7;-6,9;61,8;0
QP065002;9510;12160;15520;0,5;7510;8980;9940;11000;13220;14630;16700;19170;2,6;0,215;2,982;48,3;7,6;23,3;2,6;32,6;6,7;15;10,8;-6,8;52,2;0
QP065003;10710;14050;18920;0,6;8160;10120;11330;12660;15770;17900;20140;24500;3;0,253;3,612;53,3;4,8;33,3;5,5;18,7;3,7;8,6;6,4;-10,8;38,4;0
QP065004;10390;13490;16850;0,5;7730;9620;11110;12310;14510;15900;17450;19670;2,5;0,199;2,874;57,8;12,2;21,8;1,7;25,8;5,3;12,3;8,3;-7,1;41,1;0
QP066001;10940;14750;19600;0,6;8430;10390;11680;13050;16640;18570;21360;25840;3,1;0,257;3,566;62,5;6,7;25,1;7,4;16,3;3,6;7,8;4,9;-11,3;35,4;0
QP066002;10320;13560;18430;0,6;8040;9720;10950;12140;15290;17270;20000;25140;3,1;0,278;3,947;48,6;6,1;33,9;6,3;21,8;4,6;9,4;7,8;-10,6;42,4;0
QP066003;10200;13060;17220;0,5;8220;9620;10810;11970;14230;16140;18520;22590;2,7;0,244;3,385;52,7;6,9;27,2;5,4;24,6;5,1;10,9;8,6;-9,9;44,9;0
QP066004;8690;10730;13170;0,4;6570;8160;9090;9870;11630;12790;13900;16570;2,5;0,204;2,868;37,1;8;18,8;1,4;47,2;12,2;20;15;-4,5;67,8;0
QP066005;8860;11070;14540;0,5;6700;8430;9230;10200;12260;13520;15670;19860;3;0,25;3,55;37,3;5,6;22,7;4,2;42,4;9,7;20;12,7;-6,6;62;0
