codgeo;libgeo;an;p_licsport014
200000172;CC Faucigny-Glières;2018;64,80
200000438;CC du Pays de Pontchâteau Saint-Gildas-des-Bois;2018;52,90
200000545;CC des Portes de Romilly-sur-Seine;2018;33,50
200000628;CC Rhône Lez Provence;2018;45,40
200000800;CC Cœur de Sologne;2018;47,90
200000925;CC de la Plaine Dijonnaise;2018;43,80
200000933;CC Sauldre et Sologne;2018;58,00
200004802;CC du Pays de Fayence;2018;49,70
200005932;CC des Portes de Sologne;2018;56,30
200005957;CC de la Région de Rambervillers;2018;83,10
200006682;CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay;2018;53,30
200006716;CC du Nogentais;2018;33,30
200006930;CC du Haut-Allier;2018;119,30
200006971;CC du Perche;2018;43,10
200007052;CC de la Marche Berrichonne;2018;51,60
200007177;CC Pays de Nérondes;2018;48,10
200010650;CA du Grand Dole;2018;55,20
200010700;CA Caux Seine Agglo;2018;38,40
200011773;CA Annemasse-les Voirons-Agglomération;2018;36,40
200011781;CC Portes du Berry entre Loire et Val d'Aubois;2018;57,60
200013050;CC Sauer-Pechelbronn;2018;47,60
200015162;CC de l'Oriente;2018;28,80
200016905;CC du Pays de Lamastre;2018;48,50
200017341;CC Lodévois et Larzac;2018;39,00
200017846;CA Étampois Sud-Essonne;2018;45,60
200018083;CC de Desvres-Samer;2018;31,50
200018166;CC Le Grésivaudan;2018;64,40
200018406;CC du Romorantinais et du Monestois;2018;54,60
200018521;CC du Val de Bouzanne;2018;56,40
200018653;CA Cap Excellence;2018;34,70
200022986;CC du Grand Pic Saint-Loup;2018;52,40
200023075;CC du Pays de Maîche;2018;58,30
200023125;CC Les Portes Briardes entre Villes et Forêts;2018;50,40
200023240;CC Pays de Nemours;2018;38,40
200023299;CC Cœur de Tarentaise;2018;47,80
200023307;CA du Grand Villeneuvois;2018;43,90
200023372;CC de la Vallée de Chamonix-Mont-Blanc;2018;115,50
200023414;Métropole Rouen Normandie;2018;44,80
200023620;CC de la Gascogne Toulousaine;2018;68,70
200023737;CA du Grand Cahors;2018;69,60
200023778;CC du Pays de Saint-Gilles-Croix-de-Vie;2018;54,80
200023794;CC de Blaye;2018;44,50
200023919;CC Gâtinais Val de Loing;2018;43,40
200026573;CC Haut-Jura Saint-Claude;2018;65,70
200027027;CC Arc Sud Bretagne;2018;60,10
200027076;CC Arnon Boischaut Cher;2018;72,00
200027100;CC Méditerranée Porte des Maures;2018;62,00
200027183;CU Perpignan Méditerranée Métropole;2018;43,30
200027217;CC Sarlat-Périgord Noir;2018;67,20
200027308;CC d'Auberive Vingeanne et Montsaugeonnais;2018;28,40
200027548;CC des Savanes;2018;33,40
200029734;CC des 4B Sud Charente;2018;75,70
200029999;CC Rives de l'Ain - Pays du Cerdon;2018;53,70
200030195;Métropole Nice Côte d'Azur;2018;50,70
200030385;CA de Blois Agglopolys;2018;46,40
200030435;CC d'Aire-sur-l'Adour;2018;59,60
200030526;CC du Ried de Marckolsheim;2018;56,90
200030633;CA du Caudrésis et du Catésis;2018;37,50
200030658;CC du Trièves;2018;48,10
200030674;CA Val de Garonne Agglomération;2018;62,20
200032514;CC Berry-Loire-Vauvise;2018;55,30
200033025;CA de Bar-le-Duc - Sud Meuse;2018;75,00
200033090;CC Plaines et Monts de France;2018;54,40
200033116;CC Cluses-Arve et Montagnes;2018;52,80
200033173;CC de la Haute Vallée de Chevreuse;2018;69,90
200033181;CA Chartres Métropole;2018;48,40
200033298;CC des Coëvrons;2018;49,00
200033579;CU d'Arras;2018;41,70
200033827;CC de Fium'orbu Castellu;2018;49,70
200033868;CC des Ballons des Hautes-Vosges;2018;38,10
200034023;CC Tarn-Agout;2018;59,60
200034031;CC des Monts d'Alban et du Villefranchois;2018;84,40
200034049;CC Centre Tarn;2018;48,60
200034056;CC du Lautrécois et du Pays d'Agout;2018;62,80
200034064;CC du Cordais et du Causse (4 C);2018;58,00
200034098;CC des Montagnes du Giffre;2018;91,10
200034130;CC Gally Mauldre;2018;74,50
200034197;CC de Montaigne Montravel et Gurson;2018;43,10
200034205;CC de la Costa Verde;2018;32,30
200034270;CC du Pays de Barr;2018;58,50
200034379;CC Pays d'Uzès;2018;56,60
200034411;CC du Piémont Cévenol;2018;50,30
200034601;CC Causses Aigoual Cévennes;2018;23,90
200034635;CC du Kochersberg;2018;66,80
200034692;CA du Gard Rhodanien;2018;46,90
200034700;CA Durance-Lubéron-Verdon Agglomération;2018;61,30
200034718;CC de Vitry, Champagne et Der;2018;39,20
200034726;CC Bastides de Lomagne;2018;54,30
200034825;CA du Grand Guéret;2018;73,30
200034833;CC des Bastides Dordogne-Périgord;2018;44,40
200034874;CC Côtes de Meuse Woëvre;2018;47,60
200034882;CC Pays du Mont-Blanc;2018;69,00
200034957;CC du Frontonnais;2018;44,80
200035087;CA Terre de Provence;2018;65,80
200035103;CC de la Vallée de la Haute-Sarthe;2018;43,20
200035111;CC des Sources de l'Orne;2018;43,80
200035129;CC de Cèze Cévennes;2018;35,00
200035137;CC Marche Occitane - Val d'Anglin;2018;61,20
200035202;CC Charlieu-Belmont;2018;51,80
200035319;CA Var Estérel Méditerranée (Cavem);2018;55,10
200035327;CC Cazals-Salviac;2018;31,40
200035442;CC du Sud-Artois;2018;38,30
200035459;CA d'Agen;2018;46,80
200035533;CC du Grand Saint-Émilionnais;2018;48,10
200035541;CC des Landes d'Armagnac;2018;57,20
200035632;CC Armagnac Adour;2018;62,90
200035707;CC Piège Lauragais Malepère;2018;50,40
200035715;CA Carcassonne Agglo;2018;50,60
200035723;CC Ventoux Sud;2018;40,60
200035731;CA Roannais Agglomération;2018;55,90
200035756;CC Astarac Arros en Gascogne;2018;49,10
200035764;CC de la Beauce Loirétaine;2018;47,40
200035772;CC du Pays du Saintois;2018;43,80
200035814;CA Flers Agglo;2018;42,30
200035848;CC du Châtillonnais en Berry;2018;48,50
200035855;CC Castelnaudary Lauragais Audois;2018;49,00
200035863;CC Région Lézignanaise, Corbières et Minervois;2018;45,50
200035970;CC Vexin Centre;2018;60,20
200036069;CC du Pays de Mortagne-au-Perche;2018;47,60
200036077;CC du Golfe de Saint-Tropez;2018;63,80
200036135;CC Cœur de France;2018;44,50
200036150;CC des Hauts du Val de Saône;2018;32,60
200036465;CC de Thann-Cernay;2018;68,70
200036473;CA de Saintes;2018;42,30
200036499;CC de Marana-Golo;2018;50,30
200036523;CC des Bastides en Haut-Agenais Périgord;2018;57,10
200036549;CC Val de Gray;2018;71,10
200036572;CC Porte d'Aquitaine en Pays de Serres;2018;51,90
200037059;CC de la Haute-Somme;2018;68,10
200037133;CC du Provinois;2018;56,40
200038958;CC de la Pieve de l'Ornano et du Taravo;2018;57,60
200038990;CC de Saint-Méen Montauban;2018;39,60
200039022;CA Vitré Communauté;2018;46,70
200039055;CC Ouche et Montagne;2018;58,30
200039063;CC Forêts, Seine et Suzon;2018;38,70
200039204;CC de Lacq-Orthez;2018;52,00
200039519;CC du Quercy Blanc;2018;60,20
200039642;CC Le Tonnerrois en Bourgogne;2018;34,90
200039709;CC du Serein;2018;38,00
200039758;CC Avallon, Vézelay, Morvan;2018;47,30
200039808;CC des Gorges de l'Ardèche;2018;49,40
200039824;CC Ardèche des Sources et Volcans;2018;38,50
200039832;CC Pays des Vans en Cévennes;2018;44,00
200039857;CA du Pays de Grasse;2018;53,90
200039865;Metz Métropole;2018;52,10
200039907;CC du Sud Messin;2018;78,70
200039915;CA Cannes Pays de Lérins;2018;51,00
200039931;CC Alpes d'Azur;2018;56,20
200039949;CC Rives de Moselle;2018;49,10
200040038;CC Saône Doubs Bresse;2018;37,60
200040095;CC Isle Vern Salembre en Périgord;2018;50,00
200040111;CC Cœur de Chartreuse;2018;67,10
200040137;CC des Lacs de Champagne;2018;61,30
200040178;CC de l'Outre-Forêt;2018;52,10
200040202;CC Provence Verdon;2018;37,00
200040210;CC Lacs et Gorges du Verdon;2018;37,10
200040244;CA du Bocage Bressuirais;2018;60,10
200040251;CC Bassée-Montois;2018;37,40
200040277;CA du Pays de Dreux;2018;46,10
200040293;CC du Clunisois;2018;44,80
200040350;CC Bugey Sud;2018;43,00
200040384;CC Isle Double Landais;2018;41,80
200040392;CA Le Grand Périgueux;2018;56,90
200040400;CC du Périgord Ribéracois;2018;46,50
200040418;CC du Pays de Serres en Quercy;2018;51,90
200040426;CC du Val de l'Oise;2018;45,60
200040442;CA Luberon Monts de Vaucluse;2018;45,70
200040459;CA Montélimar Agglomération;2018;41,90
200040475;CC Loué - Brûlon - Noyen;2018;34,90
200040491;CC Porte de Drômardèche;2018;44,50
200040509;CC du Crestois et de Pays de Saillans Cœur de Drôme;2018;42,20
200040558;CC Écueillé-Valençay;2018;36,60
200040566;CA de l'Ouest Rhodanien;2018;57,60
200040574;CC Beaujolais Pierres Dorées;2018;56,70
200040590;CA Villefranche Beaujolais Saône;2018;58,60
200040624;CC Pays d'Apt-Luberon;2018;46,00
200040657;CC de la Matheysine;2018;39,70
200040681;CC Enclave des Papes-Pays de Grignan;2018;45,40
200040715;Grenoble-Alpes-Métropole;2018;47,90
200040764;CC du Sud Corse;2018;77,30
200040772;CC du Perche et Haut Vendômois;2018;44,00
200040798;CC Val Vanoise;2018;94,80
200040814;CC Briance Sud Haute Vienne;2018;82,20
200040830;CC du Pays de Fénelon;2018;46,40
200040889;CC de Portes Sud Périgord;2018;43,70
200040905;CC Carmausin-Ségala;2018;52,00
200040947;CC de Flandre Intérieure;2018;52,80
200040954;CC des Hauts de Flandre;2018;60,70
200041010;CC Cœur de Savoie;2018;58,50
200041051;CC Vallée de la Dordogne et Forêt Bessède;2018;56,50
200041150;CC du Terrassonnais en Périgord Noir Thenon Hautefort;2018;46,00
200041168;CC de la Vallée de l'Homme;2018;46,30
200041283;CC de la Plaine du Rhin;2018;49,30
200041317;CA du Niortais;2018;58,40
200041325;CC du Pays Rhénan;2018;58,90
200041333;CC de Parthenay-Gâtine;2018;72,20
200041366;CC Rhône Crussol;2018;57,80
200041416;CC Airvaudais-Val du Thouet;2018;60,50
200041440;CC de Domme-Villefranche du Périgord;2018;36,50
200041465;CC Val Eyrieux;2018;53,20
200041499;CC Aunis Atlantique;2018;45,40
200041507;CA La Riviera du Levant;2018;42,20
200041515;CC du Bassin de Pont-à-Mousson;2018;69,20
200041523;CC de la Haute-Saintonge;2018;70,80
200041556;CC Portes de la Creuse en Marche;2018;98,80
200041572;CC Dronne et Belle;2018;54,10
200041614;CC Aunis Sud;2018;39,30
200041622;CC Ardennes Thiérache;2018;31,30
200041630;CA Ardenne Métropole;2018;45,50
200041689;CC des Vals de Saintonge Communauté;2018;49,20
200041721;CC de la Haute Comté;2018;44,90
200041762;CA Rochefort Océan;2018;45,10
200041788;CA du Pays Nord Martinique;2018;41,90
200041853;CC du Pays de Montbozon et du Chanois;2018;62,20
200041861;CC du Triangle Vert;2018;44,10
200041879;CC Terres de Saône;2018;51,00
200041887;CC du Val Marnaysien;2018;62,70
200041960;CC Pévèle-Carembault;2018;53,40
200041994;CC Haut Val de Sèvre;2018;69,10
200042000;CC Bruyères-Vallons des Vosges;2018;50,50
200042174;CA Lorient Agglomération;2018;60,00
200042182;CC du Mont des Avaloirs;2018;53,80
200042190;CA de la Porte du Hainaut;2018;35,00
200042372;CC des Coteaux Arrats Gimone;2018;54,00
200042414;CC Bresse Revermont 71;2018;45,80
200042463;CC de la Montagne Noire;2018;54,90
200042497;CC Dombes Saône Vallée;2018;49,40
200042604;CC de Granville, Terre et Mer;2018;66,30
200042620;CC de la Région de Suippes;2018;47,70
200042646;CC Grand Orb;2018;49,20
200042653;CC Sud-Hérault;2018;64,10
200042703;CC de l'Argonne Champenoise;2018;54,20
200042729;CC de la Baie du Cotentin;2018;29,10
200042901;CC Drôme Sud Provence;2018;56,50
200042935;CA Haut - Bugey Agglomération;2018;44,90
200042943;CC du Cap Corse;2018;36,00
200042992;CC Perthois-Bocage et Der;2018;31,60
200043016;CC Val de Charente;2018;42,70
200043065;CC du Val d'Amboise;2018;60,40
200043081;CC Chinon, Vienne et Loire;2018;53,10
200043123;CC Auray Quiberon Terre Atlantique;2018;69,60
200043156;CC du Pays Rethélois;2018;38,40
200043172;CA du Bassin de Brive;2018;57,60
200043263;CC Cœur de l'Avesnois;2018;38,60
200043321;CC du Pays de Mormal;2018;47,10
200043354;CC de Villedieu Intercom;2018;33,50
200043396;CA Maubeuge Val de Sambre;2018;35,40
200043404;CC du Sud Avesnois;2018;44,40
200043438;CC de la Moivre à la Coole;2018;50,20
200043495;CA du Pays de Laon;2018;40,40
200043602;CC des Albères, de la Côte Vermeille et de l'Illibéris;2018;65,80
200043628;CC des Vallées du Clain;2018;61,90
200043693;CC Terre Lorraine du Longuyonnais;2018;36,20
200043776;CC Pyrénées Audoises;2018;67,20
200043974;CC du Sud Gironde;2018;52,00
200043982;CC du Bazadais;2018;51,60
200043990;CC Vallons de Haute-Bretagne Communauté;2018;53,10
200044014;CC Creuse Grand Sud;2018;52,90
200044030;CC des Sept Vallées;2018;29,80
200044048;CC Osartis Marquion;2018;41,10
200044253;CC du Bassin de Joinville en Champagne;2018;93,60
200044394;CC du Réolais en Sud Gironde;2018;38,80
200044469;CC du Pays de Mirepoix;2018;53,30
200044618;CA Douaisis Agglo;2018;41,90
200044691;CA du Nord Grande Terre;2018;39,00
200046977;Métropole de Lyon;2018;47,20
200048551;CC du Pays de Craon;2018;52,00
200049187;CA du Grand Verdun;2018;66,40
200049211;CC Conflent-Canigó;2018;43,40
200049484;CC Berry Grand Sud;2018;50,70
200050532;CC de Petite-Terre;2018;
200054781;Métropole du Grand Paris;2018;36,50
200054807;Métropole d'Aix-Marseille-Provence;2018;50,30
200055481;CC Beauce Val de Loire;2018;51,50
200055655;CA Roissy Pays de France;2018;35,00
200055887;CC Mayenne Communauté;2018;63,00
200056232;CA Communauté Paris-Saclay;2018;56,60
200056380;CA Plaine Vallée;2018;41,90
200057859;CA Cœur d'Essonne Agglomération;2018;66,30
