codgeo;libgeo;an;tx_morta
94;Corse;1968-1975;11,50
94;Corse;1975-1982;11,30
94;Corse;1982-1990;11,10
94;Corse;1990-1999;10,70
94;Corse;1999-2007;9,80
94;Corse;1999-2008;9,70
94;Corse;2007-2012;9,30
94;Corse;2008-2013;9,30
94;Corse;2012-2017;9,30
94;Corse;2013-2018;9,40
;;;
