CODGEO;LIBGEO;NBMEN18;NBPERS18;NBUC18;Q118;Q218;Q318;Q3_Q1;D118;D218;D318;D418;D618;D718;D818;D918;RD;S80S2018;GI18;PACT18;PTSA18;PCHO18;PBEN18;PPEN18;PPAT18;PPSOC18;PPFAM18;PPMINI18;PPLOGT18;PIMPOT18
02;Martinique;146373;322328;224859,1;12010;17880;26520;14510;8800;10940;13080;15390;20760;24350;29170;37400;4,3;5,5;0,335;72,2;63,1;3,7;5,4;24,4;6,2;11,8;2,7;7,0;2,1;-14,6
04;La Réunion;316016;855515;548923,7;10730;15440;24210;13480;8240;10000;11500;13260;18160;21840;27150;36130;4,4;5,5;0,346;75,0;62,1;5,3;7,6;15,5;6,6;16,6;4,5;8,8;3,3;-13,7
11;Île-de-France;4934157;11902249;7960184,4;16060;23860;34200;18140;11020;14470;17640;20720;27310;31520;37520;48990;4,4;6,0;0,355;86,6;78,5;2,9;5,2;20,9;11,6;4,4;1,9;1,5;1,0;-23,5
24;Centre-Val de Loire;1117896;2496978;1725451,3;16320;21560;27790;11480;11990;15050;17480;19560;23710;26230;29740;36040;3,0;3,7;0,255;70,1;62,4;2,8;4,9;32,2;8,8;5,5;2,2;2,0;1,3;-16,6
27;Bourgogne-Franche-Comté;1223882;2675398;1865534,2;16240;21480;27850;11600;12110;15020;17390;19470;23660;26230;29860;36570;3,0;3,7;0,259;70,3;61,9;2,7;5,7;32,3;8,8;5,3;2,1;2,0;1,2;-16,7
28;Normandie;1417268;3187278;2196593,1;16040;21200;27360;11320;11910;14830;17180;19220;23320;25810;29260;35550;3,0;3,7;0,257;70,2;62,1;2,8;5,3;31,6;8,5;6,0;2,3;2,3;1,4;-16,3
32;Hauts-de-France;2430999;5763277;3888762,8;14680;20110;26550;11870;10890;13520;15810;17980;22350;24980;28490;34950;3,2;4,0;0,274;73,1;64,8;3,1;5,2;27,6;8,0;7,6;2,8;3,0;1,8;-16,3
44;Grand Est;2341552;5270851;3636448,4;15850;21610;28710;12850;11480;14540;17100;19380;24030;26900;30940;38420;3,3;4,2;0,281;70,4;62,1;2,8;5,5;28,8;12,2;5,4;2,0;2,1;1,3;-16,8
52;Pays de la Loire;1608172;3688813;2520345,7;16860;21620;27480;10610;12750;15690;17910;19810;23600;25990;29330;35550;2,8;3,5;0,246;72,4;64,5;2,8;5,1;29,8;9,2;5,2;2,3;1,7;1,2;-16,6
53;Bretagne;1461067;3232895;2242680,2;16850;21750;27820;10960;12740;15670;17920;19870;23810;26280;29730;36090;2,8;3,5;0,248;69,2;60,3;2,8;6,1;32,9;9,6;5,1;2,1;1,9;1,1;-16,8
75;Nouvelle-Aquitaine;2657735;5760106;4036461,4;16030;21290;27740;11720;11870;14810;17170;19250;23500;26120;29760;36470;3,1;3,8;0,265;68,3;59,1;3,0;6,2;33,5;9,8;5,4;1,9;2,2;1,3;-17,0
76;Occitanie;2575622;5626349;3924416,7;15050;20740;27650;12600;10890;13790;16240;18520;23120;25930;29760;36680;3,4;4,2;0,281;68,9;59,1;3,3;6,5;31,5;10,3;6,4;2,1;2,7;1,6;-17,1
84;Auvergne-Rhône-Alpes;3373235;7650107;5247908,1;16630;22480;29960;13330;12090;15280;17890;20220;24980;28020;32400;40760;3,4;4,3;0,288;74,9;66,9;2,9;5,1;27,3;10,8;4,8;2,0;1,7;1,1;-17,8
93;Provence-Alpes-Côte d'Azur;2245875;4953997;3441580,7;15140;21350;28990;13860;10730;13770;16450;18930;23970;27060;31360;39180;3,7;4,7;0,301;70,3;60,5;3,4;6,4;30,9;12,2;5,7;1,9;2,4;1,4;-19,1
94;Corse;123148;256260;182695,3;14640;20670;28210;13570;10520;13400;15870;18290;23320;26320;30440;37810;3,6;4,7;0,303;68,9;57,3;2,8;8,8;32,1;11,8;5,8;1,5;2,9;1,4;-18,6
