CODGEO;LIBGEO;NBMEN19;NBPERS19;NBUC19;Q119;Q219;Q319;Q3_Q1;D119;D219;D319;D419;D619;D719;D819;D919;RD;S80S2019;GI19;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19
02;Martinique;149292;324217;227429,9;12590;18570;26980;14390;9090;11400;13710;16080;21390;24860;29530;37360;4,1;5,300;0,323;71,2;62,5;3,5;5,2;24,7;5,6;12,2;2,6;7,6;2,0;-13,7
04;La Réunion;322669;867558;557997,6;11020;15890;24450;13430;8400;10300;11840;13660;18570;22150;27320;36210;4,3;5,400;0,339;73,6;60,7;5,1;7,8;15,7;6,5;17,3;4,4;9,6;3,3;-13,1
11;Île-de-France;5001831;11997450;8042224,7;16240;24060;34370;18120;11110;14640;17840;20910;27510;31680;37690;49090;4,4;6,000;0,352;85,8;77,8;2,9;5,1;20,8;11,7;4,6;1,8;1,8;1,0;-22,9
24;Centre-Val de Loire;1131828;2511648;1739881,0;16470;21710;27920;11450;12130;15200;17670;19740;23860;26370;29820;36070;3,0;3,700;0,253;69,1;61,5;2,7;4,9;32,4;8,4;5,9;2,2;2,5;1,2;-15,8
27;Bourgogne-Franche-Comté;1240046;2690327;1881377,5;16400;21640;28030;11630;12230;15170;17570;19650;23830;26400;30020;36830;3,0;3,700;0,259;69,3;61,1;2,6;5,6;32,4;8,5;5,7;2,0;2,5;1,2;-15,9
28;Normandie;1438006;3208287;2217642,8;16230;21380;27500;11270;12040;14990;17380;19440;23500;25980;29380;35610;3,0;3,700;0,255;69,2;61,2;2,7;5,3;31,7;8,1;6,5;2,3;2,8;1,4;-15,5
32;Hauts-de-France;2459959;5782651;3913871,1;14880;20360;26760;11880;11040;13720;16020;18230;22580;25190;28690;35040;3,2;3,900;0,270;72,0;63,9;3,0;5,1;27,8;7,7;8,0;2,7;3,6;1,7;-15,5
44;Grand Est;2366349;5284290;3656714,2;16020;21800;28880;12850;11590;14700;17310;19600;24220;27070;31090;38560;3,3;4,200;0,280;69,4;61,2;2,8;5,4;28,9;11,9;5,8;2,0;2,5;1,3;-16,0
52;Pays de la Loire;1642803;3742819;2564457,2;17080;21850;27750;10670;12880;15880;18150;20040;23860;26260;29600;35770;2,8;3,400;0,244;71,5;63,6;2,8;5,1;29,8;8,8;5,5;2,3;2,1;1,1;-15,6
53;Bretagne;1490113;3274174;2277769,0;17090;21990;28090;11000;12890;15870;18170;20110;24070;26550;29980;36210;2,8;3,500;0,246;68,1;59,3;2,8;6,0;33,0;9,2;5,5;2,1;2,3;1,1;-15,8
75;Nouvelle-Aquitaine;2706556;5823188;4092082,9;16250;21540;27990;11750;12010;15010;17420;19520;23750;26360;29980;36620;3,0;3,800;0,263;67,2;58,2;2,9;6,1;33,4;9,7;5,7;1,8;2,7;1,2;-16,0
76;Occitanie;2623383;5679741;3974982,4;15250;20980;27880;12630;11020;13980;16470;18790;23370;26160;29960;36770;3,3;4,200;0,278;67,8;58,3;3,2;6,3;31,5;9,9;6,9;2,1;3,2;1,6;-16,1
84;Auvergne-Rhône-Alpes;3434965;7738614;5321788,5;16740;22610;30070;13320;12160;15370;18040;20360;25100;28140;32470;40870;3,4;4,300;0,288;74,1;66,2;2,9;5,0;27,4;10,2;5,2;2,0;2,1;1,1;-16,9
93;Provence-Alpes-Côte d'Azur;2275217;4978534;3468474,9;15320;21590;29210;13900;10860;13950;16660;19180;24220;27320;31530;39310;3,6;4,700;0,300;69,1;59,4;3,3;6,4;30,8;11,9;6,2;1,9;2,9;1,4;-18,0
94;Corse;126908;261298;187055,1;14940;20950;28400;13470;10730;13660;16150;18590;23540;26580;30590;38020;3,5;4,600;0,299;67,9;56,6;2,7;8,6;32,1;11,5;6,1;1,4;3,4;1,3;-17,6
